Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mark Acres,C,27,ORL,80,50,1691,138,285,0.484,3,4,0.75,135,281,0.48,0.489,83,120,0.6920000000000001,154,277,431,67,36,25,70,248,362
Michael Adams,PG,27,DEN,79,74,2690,398,989,0.402,158,432,0.366,240,557,0.431,0.48200000000000004,267,314,0.85,49,176,225,495,121,3,141,133,1221
Mark Aguirre,SF,30,DET,78,40,2005,438,898,0.488,31,93,0.33299999999999996,407,805,0.506,0.505,192,254,0.7559999999999999,117,188,305,145,34,19,121,201,1099
Danny Ainge,PG,30,SAC,75,68,2727,506,1154,0.43799999999999994,108,289,0.374,398,865,0.46,0.485,222,267,0.831,69,257,326,453,113,18,185,238,1342
Mark Alarie,PF,26,WSB,82,10,1893,371,785,0.473,10,49,0.204,361,736,0.49,0.479,108,133,0.812,151,223,374,142,60,39,101,219,860
Steve Alford,PG,25,DAL,41,0,302,63,138,0.457,7,22,0.318,56,116,0.483,0.48200000000000004,35,37,0.946,2,23,25,39,15,3,16,22,168
Randy Allen,SG,25,SAC,63,6,746,106,239,0.444,0,7,0.0,106,232,0.457,0.444,23,43,0.535,49,89,138,23,16,19,28,102,235
Greg Anderson,PF,25,MIL,60,28,1291,219,432,0.507,0,0,0.0,219,432,0.507,0.507,91,170,0.535,112,261,373,24,32,54,80,176,529
Nick Anderson,SG,22,ORL,81,9,1785,372,753,0.494,1,17,0.059000000000000004,371,736,0.504,0.495,186,264,0.705,107,209,316,124,69,34,138,140,931
Richard Anderson,PF,29,CHH,54,2,604,88,211,0.41700000000000004,37,100,0.37,51,111,0.45899999999999996,0.505,18,23,0.7829999999999999,33,94,127,55,20,9,26,64,231
Ron Anderson,SF,31,PHI,78,3,2089,379,841,0.451,3,21,0.14300000000000002,376,820,0.45899999999999996,0.452,165,197,0.838,81,214,295,143,72,13,78,143,926
Willie Anderson,SG,23,SAS,82,81,2788,532,1082,0.49200000000000005,7,26,0.26899999999999996,525,1056,0.49700000000000005,0.495,217,290,0.748,115,257,372,364,111,58,198,252,1288
Michael Ansley,SF,22,ORL,72,5,1221,231,465,0.49700000000000005,0,0,0.0,231,465,0.49700000000000005,0.49700000000000005,164,227,0.722,187,175,362,40,24,17,50,152,626
B.J. Armstrong,PG,22,CHI,81,0,1291,190,392,0.485,3,6,0.5,187,386,0.484,0.489,69,78,0.885,19,83,102,199,46,6,83,105,452
John Bagley,PG,29,BOS,54,17,1095,100,218,0.45899999999999996,1,18,0.055999999999999994,99,200,0.495,0.461,29,39,0.7440000000000001,26,63,89,296,40,4,90,77,230
Thurl Bailey,SF,28,UTA,82,33,2583,470,977,0.48100000000000004,0,8,0.0,470,969,0.485,0.48100000000000004,222,285,0.779,116,294,410,137,32,100,139,175,1162
Ken Bannister,PF,29,LAC,52,1,589,77,161,0.478,0,1,0.0,77,160,0.48100000000000004,0.478,52,110,0.473,39,73,112,18,17,7,44,92,206
Charles Barkley*,SF,26,PHI,79,79,3085,706,1177,0.6,20,92,0.217,686,1085,0.632,0.608,557,744,0.7490000000000001,361,548,909,307,148,50,243,250,1989
Dana Barros,PG,22,SEA,81,25,1630,299,738,0.405,95,238,0.39899999999999997,204,500,0.408,0.47,89,110,0.809,35,97,132,205,53,1,123,97,782
John Battle,SG,27,ATL,60,48,1477,275,544,0.506,2,13,0.154,273,531,0.514,0.507,102,135,0.7559999999999999,27,72,99,154,28,3,89,115,654
Kenny Battle,SG,25,PHO,59,8,729,93,170,0.547,1,4,0.25,92,166,0.5539999999999999,0.55,55,82,0.6709999999999999,44,80,124,38,35,11,32,94,242
William Bedford,C,26,DET,42,0,246,54,125,0.43200000000000005,1,6,0.16699999999999998,53,119,0.445,0.436,9,22,0.409,15,43,58,4,3,17,21,39,118
Benoit Benjamin,C,25,LAC,71,58,2313,362,688,0.526,0,1,0.0,362,687,0.527,0.526,235,321,0.732,156,501,657,159,59,187,187,217,959
Winston Bennett,SF,24,CLE,55,34,990,137,286,0.479,0,0,0.0,137,286,0.479,0.479,64,96,0.667,84,104,188,54,23,10,62,133,338
Larry Bird*,SF,33,BOS,75,75,2944,718,1517,0.473,65,195,0.33299999999999996,653,1322,0.494,0.495,319,343,0.93,90,622,712,562,106,61,243,173,1820
Uwe Blab,C,27,TOT,47,33,531,39,98,0.39799999999999996,0,0,0.0,39,98,0.39799999999999996,0.39799999999999996,20,37,0.541,29,79,108,25,1,22,35,102,98
Rolando Blackman,SG,30,DAL,80,80,2934,626,1256,0.498,13,43,0.302,613,1213,0.505,0.504,287,340,0.8440000000000001,88,192,280,289,77,21,174,128,1552
