Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,38,LAL,79,79,2629,755,1338,0.564,0,2,0.0,755,1336,0.565,0.564,336,439,0.765,133,345,478,280,67,130,203,248,1846
Alvan Adams,C,31,PHO,78,45,2005,341,679,0.502,0,2,0.0,341,677,0.504,0.502,159,203,0.7829999999999999,148,329,477,324,103,46,206,272,841
Michael Adams,PG,23,SAC,18,0,139,16,44,0.364,0,3,0.0,16,41,0.39,0.364,8,12,0.667,2,4,6,22,9,1,11,9,40
Mark Aguirre,SF,26,DAL,74,73,2501,668,1327,0.503,16,56,0.28600000000000003,652,1271,0.513,0.509,318,451,0.705,177,268,445,339,62,14,252,229,1670
Danny Ainge,SG,26,BOS,80,78,2407,353,701,0.504,26,73,0.35600000000000004,327,628,0.521,0.522,123,136,0.904,47,188,235,405,94,7,129,204,855
Ron Anderson,SF,27,TOT,77,30,1676,310,628,0.494,2,9,0.222,308,619,0.498,0.495,85,127,0.669,130,144,274,144,56,6,82,125,707
John Bagley,PG,25,CLE,78,77,2472,366,865,0.423,9,37,0.243,357,828,0.431,0.428,170,215,0.7909999999999999,76,199,275,735,122,10,239,165,911
James Bailey,PF,28,NYK,48,36,1245,202,443,0.456,0,4,0.0,202,439,0.46,0.456,129,167,0.772,102,232,334,50,33,40,99,207,533
Thurl Bailey,PF,24,UTA,82,13,2358,483,1077,0.44799999999999995,0,7,0.0,483,1070,0.451,0.44799999999999995,230,277,0.83,148,345,493,153,42,114,144,160,1196
Greg Ballard,SF,31,GSW,75,14,1792,272,570,0.47700000000000004,17,35,0.486,255,535,0.47700000000000004,0.49200000000000005,101,126,0.802,132,285,417,83,65,8,54,174,662
Gene Banks,SF,26,CHI,82,33,2139,356,688,0.517,0,19,0.0,356,669,0.532,0.517,183,255,0.718,178,182,360,251,81,10,139,212,895
Ken Bannister,PF,25,NYK,70,15,1405,235,479,0.491,0,1,0.0,235,478,0.49200000000000005,0.491,131,249,0.526,89,233,322,42,42,24,129,208,601
Charles Barkley*,PF,22,PHI,80,80,2952,595,1041,0.5720000000000001,17,75,0.22699999999999998,578,966,0.598,0.58,396,578,0.685,354,672,1026,312,173,125,350,333,1603
John Battle,SG,23,ATL,64,0,639,101,222,0.455,0,7,0.0,101,215,0.47,0.455,75,103,0.728,12,50,62,74,23,3,47,80,277
Benoit Benjamin,C,21,LAC,79,37,2088,324,661,0.49,1,3,0.33299999999999996,323,658,0.491,0.491,229,307,0.746,161,439,600,79,64,206,145,286,878
Kent Benson,C,31,DET,72,51,1344,201,415,0.484,1,2,0.5,200,413,0.484,0.486,66,83,0.795,118,258,376,80,58,51,58,196,469
Larry Bird*,SF,29,BOS,82,81,3113,796,1606,0.496,82,194,0.423,714,1412,0.506,0.521,441,492,0.8959999999999999,190,615,805,557,166,51,266,182,2115
Otis Birdsong,SG,30,NJN,77,74,2395,542,1056,0.513,8,22,0.364,534,1034,0.516,0.517,122,210,0.581,88,114,202,261,85,17,179,228,1214
Uwe Blab,C,23,DAL,48,0,409,44,94,0.46799999999999997,0,0,0.0,44,94,0.46799999999999997,0.46799999999999997,36,67,0.537,25,66,91,17,3,12,28,65,124
