Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,36,LAL,80,80,2622,716,1238,0.578,0,1,0.0,716,1237,0.579,0.578,285,394,0.723,169,418,587,211,55,143,221,211,1717
Alvan Adams,C,29,PHO,70,13,1452,269,582,0.462,0,4,0.0,269,578,0.465,0.462,132,160,0.825,118,201,319,219,73,31,117,195,670
Mark Aguirre,SF,24,DAL,79,79,2900,925,1765,0.524,15,56,0.268,910,1709,0.532,0.528,465,621,0.7490000000000001,161,308,469,358,80,22,285,246,2330
Danny Ainge,SG,24,BOS,71,3,1154,166,361,0.46,6,22,0.273,160,339,0.47200000000000003,0.46799999999999997,46,56,0.821,29,87,116,162,41,4,70,143,384
J.J. Anderson,SF,23,UTA,48,0,311,55,130,0.423,0,3,0.0,55,127,0.433,0.423,12,29,0.414,38,25,63,22,15,9,20,28,122
Richard Anderson,PF,23,DEN,78,17,1380,272,638,0.426,3,19,0.158,269,619,0.435,0.429,116,150,0.773,136,270,406,193,46,28,109,183,663
Tiny Archibald*,PG,35,MIL,46,46,1038,136,279,0.48700000000000004,4,18,0.222,132,261,0.506,0.495,64,101,0.634,16,60,76,160,33,0,78,78,340
Ken Austin,SF,22,DET,7,0,28,6,13,0.462,0,0,0.0,6,13,0.462,0.462,0,0,0.0,2,1,3,1,1,1,3,7,12
John Bagley,PG,23,CLE,76,19,1712,257,607,0.423,2,17,0.11800000000000001,255,590,0.43200000000000005,0.425,157,198,0.7929999999999999,49,107,156,333,78,4,170,113,673
James Bailey,PF,26,HOU,73,0,1174,254,517,0.491,0,1,0.0,254,516,0.49200000000000005,0.491,138,192,0.7190000000000001,104,190,294,79,33,40,101,197,646
Thurl Bailey,PF,22,UTA,81,54,2009,302,590,0.512,0,0,0.0,302,590,0.512,0.512,88,117,0.752,115,349,464,129,38,122,105,193,692
Greg Ballard,SF,29,WSB,82,82,2701,510,1061,0.48100000000000004,2,15,0.133,508,1046,0.486,0.48200000000000004,166,208,0.7979999999999999,140,348,488,290,94,35,142,214,1188
Gene Banks,PF,24,SAS,80,66,2600,424,747,0.568,1,6,0.16699999999999998,423,741,0.5710000000000001,0.568,200,270,0.741,204,378,582,254,105,23,166,256,1049
Dave Batton,C,27,SAS,4,0,31,5,10,0.5,0,0,0.0,5,10,0.5,0.5,0,0,0.0,1,3,4,3,0,3,4,5,10
Kent Benson,C,29,DET,82,58,1734,248,451,0.55,0,1,0.0,248,450,0.551,0.55,83,101,0.8220000000000001,117,292,409,130,71,53,79,230,579
