Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3,14,0.214,0,0,0.0,3,14,0.214,0.214,4,4,1.0,6,4,10,4,1,0,1,9,10
Arron Afflalo,SG,22,DET,75,9,970,99,241,0.41100000000000003,10,48,0.20800000000000002,89,193,0.461,0.43200000000000005,68,87,0.782,36,101,137,52,31,8,34,83,276
Maurice Ager,SG,23,TOT,26,3,165,21,65,0.32299999999999995,3,19,0.158,18,46,0.391,0.34600000000000003,6,12,0.5,4,9,13,8,0,1,6,17,51
Blake Ahearn,PG,23,MIA,12,0,177,15,57,0.263,10,34,0.294,5,23,0.217,0.35100000000000003,30,31,0.968,1,18,19,19,6,0,16,20,70
LaMarcus Aldridge,PF,22,POR,76,76,2649,561,1160,0.484,1,7,0.14300000000000002,560,1153,0.486,0.484,227,298,0.762,220,358,578,122,55,94,126,240,1350
Malik Allen,PF,29,TOT,73,16,1096,157,327,0.48,1,2,0.5,156,325,0.48,0.48200000000000004,23,25,0.92,66,130,196,44,19,31,45,149,338
Ray Allen*,SG,32,BOS,73,73,2624,439,986,0.445,180,452,0.39799999999999996,259,534,0.485,0.537,215,237,0.907,75,193,268,225,65,16,127,147,1273
Tony Allen,SG,26,BOS,75,11,1373,169,389,0.434,18,57,0.316,151,332,0.455,0.45799999999999996,138,181,0.762,34,134,168,114,62,21,109,168,494
Lance Allred,C,26,CLE,3,0,10,1,4,0.25,0,0,0.0,1,4,0.25,0.25,1,2,0.5,0,1,1,0,0,0,0,1,3
Morris Almond,SG,22,UTA,9,0,39,4,15,0.267,1,4,0.25,3,11,0.273,0.3,4,6,0.667,0,2,2,3,1,0,2,5,13
Rafer Alston,PG,31,HOU,74,74,2526,364,924,0.39399999999999996,143,407,0.35100000000000003,221,517,0.42700000000000005,0.47100000000000003,98,137,0.715,28,232,260,392,98,18,160,139,969
Lou Amundson,PF,25,PHI,16,0,64,8,16,0.5,0,0,0.0,8,16,0.5,0.5,2,7,0.28600000000000003,7,5,12,0,1,1,2,13,18
Chris Andersen,C,29,NOH,5,0,34,2,7,0.28600000000000003,0,0,0.0,2,7,0.28600000000000003,0.28600000000000003,2,4,0.5,2,7,9,0,0,4,1,6,6
Derek Anderson,SG,33,CHA,28,0,396,47,125,0.376,19,52,0.365,28,73,0.384,0.452,28,38,0.737,9,43,52,44,12,1,25,49,141
