Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,27,SAC,75,51,2131,411,924,0.445,94,246,0.382,317,678,0.46799999999999997,0.496,115,136,0.846,16,106,122,189,56,6,119,174,1031
Shareef Abdur-Rahim,PF,20,VAN,80,71,2802,550,1214,0.45299999999999996,7,27,0.259,543,1187,0.457,0.456,387,519,0.746,216,339,555,175,79,79,225,199,1494
Rafael Addison,SF,32,CHH,41,3,355,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.7859999999999999,19,26,45,34,8,3,17,52,128
Cory Alexander,PG,23,SAS,80,6,1454,194,490,0.396,94,252,0.373,100,238,0.42,0.49200000000000005,95,129,0.736,29,94,123,254,82,16,146,148,577
Jerome Allen,SG,24,TOT,76,1,943,78,221,0.353,30,93,0.32299999999999995,48,128,0.375,0.42100000000000004,42,72,0.583,25,73,98,152,31,4,69,84,228
Ray Allen*,SG,21,MIL,82,81,2532,390,908,0.43,117,298,0.39299999999999996,273,610,0.44799999999999995,0.494,205,249,0.823,97,229,326,210,75,10,149,218,1102
Derrick Alston,C,24,ATL,2,0,11,0,5,0.0,0,0,0.0,0,5,0.0,0.0,0,2,0.0,3,1,4,0,0,0,0,0,0
Ashraf Amaya,PF,25,WSB,31,0,144,12,40,0.3,1,1,1.0,11,39,0.282,0.313,15,28,0.536,19,33,52,3,7,3,10,29,40
Greg Anderson,C,32,SAS,82,48,1659,130,262,0.496,0,1,0.0,130,261,0.498,0.496,62,93,0.667,157,291,448,34,63,67,73,225,322
Kenny Anderson,PG,26,POR,82,81,3081,485,1137,0.42700000000000005,132,366,0.361,353,771,0.45799999999999996,0.485,334,435,0.768,91,272,363,584,162,15,193,222,1436
Nick Anderson,SG,29,ORL,63,61,2163,288,725,0.397,143,405,0.353,145,320,0.45299999999999996,0.496,38,94,0.40399999999999997,66,238,304,182,120,32,86,160,757
Shandon Anderson,SG,23,UTA,65,0,1066,147,318,0.462,24,47,0.511,123,271,0.45399999999999996,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386
Willie Anderson,SG,30,MIA,28,1,303,29,64,0.45299999999999996,8,19,0.42100000000000004,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83
Greg Anthony,PG,29,VAN,65,44,1863,199,507,0.39299999999999996,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616
B.J. Armstrong,PG,29,GSW,49,17,1020,148,327,0.45299999999999996,25,90,0.278,123,237,0.519,0.491,68,79,0.861,7,67,74,126,25,2,53,56,389
Darrell Armstrong,PG,28,ORL,67,0,1010,132,345,0.38299999999999995,55,181,0.304,77,164,0.47,0.462,92,106,0.868,35,41,76,175,61,9,99,114,411
Vincent Askew,SG,30,TOT,43,0,838,81,186,0.435,7,24,0.292,74,162,0.457,0.45399999999999996,70,88,0.795,25,73,98,90,17,6,46,123,239
Keith Askins,SF,29,MIA,78,30,1773,138,319,0.433,69,172,0.401,69,147,0.469,0.541,39,58,0.672,86,185,271,75,53,19,59,196,384
Stacey Augmon,SG,28,TOT,60,10,942,105,220,0.47700000000000004,0,0,0.0,105,220,0.47700000000000004,0.47700000000000004,69,97,0.711,47,91,138,56,42,17,64,87,279
Isaac Austin,C,27,MIA,82,17,1881,321,639,0.502,0,3,0.0,321,636,0.505,0.502,150,226,0.664,136,342,478,101,45,43,161,244,792
Vin Baker,PF,25,MIL,78,78,3159,632,1251,0.505,15,54,0.278,617,1197,0.515,0.511,358,521,0.687,267,537,804,211,81,112,245,275,1637
Charles Barkley*,PF,33,HOU,53,53,2009,335,692,0.484,58,205,0.28300000000000003,277,487,0.569,0.526,288,415,0.6940000000000001,212,504,716,248,69,25,151,153,1016
Dana Barros,PG,29,BOS,24,8,708,110,253,0.435,43,105,0.41,67,148,0.45299999999999996,0.52,37,43,0.86,5,43,48,81,26,6,39,34,300
Brent Barry,SG,25,LAC,59,0,1094,155,379,0.409,56,173,0.324,99,206,0.48100000000000004,0.483,76,93,0.8170000000000001,30,80,110,154,51,15,76,88,442
Jon Barry,SG,27,ATL,58,8,965,100,246,0.40700000000000003,48,124,0.387,52,122,0.426,0.504,37,46,0.804,26,73,99,115,55,3,59,56,285
Benoit Benjamin,C,32,TOR,4,3,44,5,12,0.41700000000000004,0,0,0.0,5,12,0.41700000000000004,0.41700000000000004,3,4,0.75,3,6,9,1,1,0,2,5,13
Elmer Bennett,PG,26,TOT,9,0,75,6,19,0.316,3,9,0.33299999999999996,3,10,0.3,0.395,7,10,0.7,0,4,4,11,4,0,10,7,22
Travis Best,PG,24,IND,76,46,2064,274,620,0.442,57,155,0.368,217,465,0.467,0.488,149,197,0.7559999999999999,36,130,166,318,98,5,153,221,754
Mookie Blaylock,PG,29,ATL,78,78,3056,501,1159,0.43200000000000005,221,604,0.366,280,555,0.505,0.528,131,174,0.753,114,299,413,463,212,20,185,141,1354
Corie Blount,PF,28,LAL,58,18,1009,92,179,0.514,1,3,0.33299999999999996,91,176,0.517,0.517,56,83,0.675,113,163,276,35,22,26,50,121,241
Muggsy Bogues,PG,32,CHH,65,65,1880,204,443,0.46,60,144,0.41700000000000004,144,299,0.48200000000000004,0.528,54,64,0.8440000000000001,25,116,141,469,82,2,108,114,522
Dexter Boney,SG,26,PHO,8,0,48,6,19,0.316,1,6,0.16699999999999998,5,13,0.385,0.342,6,8,0.75,3,3,6,0,2,1,1,3,19
Melvin Booker,PG,24,TOT,21,4,430,46,105,0.43799999999999994,12,37,0.324,34,68,0.5,0.495,18,20,0.9,7,22,29,53,3,2,27,28,122
Bruce Bowen,SF,25,MIA,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0
Donnie Boyce,SG,23,ATL,22,2,154,21,63,0.33299999999999996,2,16,0.125,19,47,0.40399999999999997,0.349,11,22,0.5,7,8,15,13,10,4,16,17,55
Shawn Bradley,C,24,TOT,73,70,2288,406,905,0.449,0,8,0.0,406,897,0.45299999999999996,0.449,149,228,0.654,221,390,611,52,40,248,134,237,961
Mark Bradtke,C,28,PHI,36,0,251,25,58,0.431,0,0,0.0,25,58,0.431,0.431,9,13,0.6920000000000001,26,42,68,7,5,5,9,34,59
Terrell Brandon,PG,26,CLE,78,78,2868,575,1313,0.43799999999999994,101,271,0.373,474,1042,0.455,0.47600000000000003,268,297,0.902,48,253,301,490,138,30,178,177,1519
Frank Brickowski,PF,37,BOS,17,2,255,32,73,0.43799999999999994,7,20,0.35,25,53,0.47200000000000003,0.486,10,14,0.7140000000000001,6,28,34,15,5,4,19,42,81
Scott Brooks,PG,31,NYK,38,0,251,19,39,0.48700000000000004,5,12,0.41700000000000004,14,27,0.519,0.551,14,15,0.9329999999999999,6,12,18,29,21,0,17,35,57
Chucky Brown,SF,28,TOT,70,1,757,78,154,0.506,1,6,0.16699999999999998,77,148,0.52,0.51,47,70,0.6709999999999999,41,107,148,28,9,22,19,100,204
Dee Brown,PG,28,BOS,21,2,522,61,166,0.36700000000000005,20,65,0.308,41,101,0.406,0.428,18,22,0.818,8,40,48,67,31,7,24,45,160
Marcus Brown,PG,22,POR,21,0,184,28,70,0.4,13,32,0.406,15,38,0.395,0.493,13,19,0.684,4,11,15,20,8,2,13,26,82
Mike Brown,C,33,PHO,6,1,83,5,12,0.41700000000000004,0,0,0.0,5,12,0.41700000000000004,0.41700000000000004,6,10,0.6,9,16,25,5,1,1,2,9,16
P.J. Brown,PF,27,MIA,80,71,2592,300,656,0.457,0,2,0.0,300,654,0.45899999999999996,0.457,161,220,0.732,239,431,670,92,85,98,113,283,761
Randy Brown,PG,28,CHI,72,3,1057,140,333,0.42,4,22,0.182,136,311,0.43700000000000006,0.426,57,84,0.679,34,77,111,133,81,17,58,116,341
Kobe Bryant,SG,18,LAL,71,6,1103,176,422,0.41700000000000004,51,136,0.375,125,286,0.43700000000000006,0.47700000000000004,136,166,0.8190000000000001,47,85,132,91,49,23,112,102,539
Mark Bryant,PF,31,PHO,41,18,1018,152,275,0.5529999999999999,0,0,0.0,152,275,0.5529999999999999,0.5529999999999999,76,108,0.7040000000000001,67,145,212,47,22,5,46,136,380
Jud Buechler,SF,28,CHI,76,0,703,58,158,0.36700000000000005,18,54,0.33299999999999996,40,104,0.385,0.424,5,14,0.35700000000000004,45,81,126,60,23,21,27,50,139
Matt Bullard,PF,29,HOU,71,12,1025,114,284,0.401,67,183,0.366,47,101,0.465,0.519,25,34,0.735,13,104,117,67,21,18,38,68,320
Scott Burrell,SF,26,TOT,57,2,939,98,271,0.36200000000000004,41,116,0.353,57,155,0.368,0.43700000000000006,57,76,0.75,49,109,158,74,28,19,53,120,294
Willie Burton,SF,28,ATL,24,2,380,39,116,0.336,13,46,0.28300000000000003,26,70,0.371,0.392,57,68,0.838,11,30,41,11,8,3,26,55,148
Mitchell Butler,SG,26,POR,49,1,465,52,125,0.41600000000000004,12,39,0.308,40,86,0.465,0.46399999999999997,32,50,0.64,19,34,53,30,13,2,27,55,148
Jason Caffey,PF,23,CHI,75,19,1405,205,385,0.532,0,1,0.0,205,384,0.534,0.532,139,211,0.659,135,166,301,89,25,9,97,149,549
Michael Cage,C,35,PHI,82,24,1247,66,141,0.46799999999999997,0,0,0.0,66,141,0.46799999999999997,0.46799999999999997,19,41,0.46299999999999997,112,208,320,43,48,42,17,118,151
Adrian Caldwell,PF,30,TOT,45,0,569,40,92,0.435,0,2,0.0,40,90,0.444,0.435,21,50,0.42,58,109,167,12,16,8,28,87,101
Marcus Camby,C,22,TOR,63,38,1897,375,778,0.48200000000000004,2,14,0.14300000000000002,373,764,0.488,0.483,183,264,0.693,131,263,394,97,66,130,134,214,935
Elden Campbell,PF,28,LAL,77,77,2516,442,942,0.469,1,4,0.25,441,938,0.47,0.47,263,370,0.711,207,408,615,126,46,117,130,276,1148
Antoine Carr,PF,35,UTA,82,0,1460,252,522,0.483,0,3,0.0,252,519,0.486,0.483,99,127,0.78,60,135,195,74,24,63,75,214,603
Chris Carr,SG,22,MIN,55,10,830,125,271,0.461,31,88,0.35200000000000004,94,183,0.514,0.518,56,73,0.767,31,82,113,48,24,10,37,93,337
Jimmy Carruth,PF,27,MIL,4,0,21,2,3,0.667,0,0,0.0,2,3,0.667,0.667,1,1,1.0,0,4,4,0,0,2,1,4,5
Sam Cassell,PG,27,TOT,61,44,1714,337,783,0.43,81,231,0.35100000000000003,256,552,0.46399999999999997,0.48200000000000004,212,251,0.845,47,135,182,305,77,19,168,200,967
Duane Causwell,C,28,SAC,46,8,581,48,94,0.511,2,3,0.667,46,91,0.505,0.521,20,37,0.541,57,70,127,20,15,38,34,131,118
Cedric Ceballos,SF,27,TOT,50,40,1426,282,617,0.457,26,102,0.255,256,515,0.49700000000000005,0.478,139,186,0.747,102,228,330,64,33,23,85,113,729
Tom Chambers,PF,37,CHH,12,5,83,7,31,0.226,2,3,0.667,5,28,0.179,0.258,3,4,0.75,3,11,14,4,1,0,9,14,19
Rex Chapman,SG,29,PHO,65,33,1833,332,749,0.44299999999999995,110,314,0.35,222,435,0.51,0.517,124,149,0.8320000000000001,25,156,181,182,52,7,96,108,898
Calbert Cheaney,SG,25,WSB,79,79,2411,369,730,0.505,4,30,0.133,365,700,0.521,0.508,95,137,0.693,70,198,268,114,77,18,94,226,837
Pete Chilcutt,PF,28,VAN,54,1,662,72,165,0.436,25,69,0.36200000000000004,47,96,0.49,0.512,13,22,0.591,67,89,156,47,26,17,28,52,182
Randolph Childress,PG,24,TOT,23,0,155,14,40,0.35,5,19,0.263,9,21,0.429,0.413,6,8,0.75,1,5,6,17,9,0,18,16,39
