Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,28,SAC,31,0,530,103,273,0.377,5,31,0.161,98,242,0.405,0.386,16,16,1.0,6,31,37,58,16,1,19,31,227
Tariq Abdul-Wahad,SG,23,SAC,59,16,959,144,357,0.40299999999999997,4,19,0.21100000000000002,140,338,0.414,0.409,84,125,0.672,44,72,116,51,35,13,65,81,376
Shareef Abdur-Rahim,SF,21,VAN,82,82,2950,653,1347,0.485,21,51,0.41200000000000003,632,1296,0.488,0.493,502,640,0.784,227,354,581,213,89,76,257,201,1829
Cory Alexander,PG,24,TOT,60,22,1298,171,400,0.428,66,176,0.375,105,224,0.469,0.51,80,102,0.784,17,129,146,209,70,11,112,98,488
Ray Allen*,SG,22,MIL,82,82,3287,563,1315,0.428,134,368,0.364,429,947,0.45299999999999996,0.479,342,391,0.875,127,278,405,356,111,12,263,244,1602
Derek Anderson,SF,23,CLE,66,13,1839,239,586,0.408,17,84,0.20199999999999999,222,502,0.442,0.42200000000000004,275,315,0.873,55,132,187,227,86,13,128,136,770
Greg Anderson,C,33,ATL,50,0,398,36,81,0.444,0,5,0.0,36,76,0.474,0.444,16,41,0.39,39,79,118,15,19,10,17,85,88
Kenny Anderson,PG,27,TOT,61,56,1858,268,674,0.39799999999999996,57,160,0.35600000000000004,211,514,0.41100000000000003,0.44,153,194,0.789,39,134,173,345,87,1,143,135,746
Nick Anderson,SF,30,ORL,58,44,1701,343,754,0.455,77,214,0.36,266,540,0.493,0.506,127,199,0.638,98,199,297,119,72,23,85,98,890
Shandon Anderson,SG,24,UTA,82,2,1602,269,500,0.5379999999999999,7,32,0.21899999999999997,262,468,0.56,0.545,136,185,0.735,86,141,227,89,66,18,91,145,681
Chris Anstey,C,23,DAL,41,8,680,92,231,0.39799999999999996,3,16,0.188,89,215,0.414,0.405,53,74,0.716,53,104,157,35,31,27,41,95,240
Greg Anthony,PG,30,SEA,80,0,1021,150,349,0.43,66,159,0.415,84,190,0.442,0.524,53,80,0.6629999999999999,18,93,111,205,64,3,91,97,419
B.J. Armstrong,PG,30,TOT,66,0,831,105,213,0.493,9,35,0.257,96,178,0.539,0.514,42,50,0.84,16,60,76,150,29,0,42,74,261
Darrell Armstrong,PG,29,ORL,48,17,1236,156,380,0.41100000000000003,25,68,0.368,131,312,0.42,0.44299999999999995,105,123,0.8540000000000001,65,94,159,236,58,5,112,96,442
Vincent Askew,SG,31,POR,30,5,443,19,54,0.35200000000000004,0,2,0.0,19,52,0.365,0.35200000000000004,28,39,0.718,21,47,68,38,19,5,35,39,66
Keith Askins,SF,30,MIA,46,12,681,39,122,0.32,21,74,0.284,18,48,0.375,0.406,12,19,0.632,28,73,101,29,27,12,26,107,111
Stacey Augmon,SG,29,POR,71,23,1445,154,372,0.414,1,7,0.14300000000000002,153,365,0.419,0.415,94,156,0.603,104,131,235,88,57,32,81,144,403
Isaac Austin,C,28,TOT,78,50,2266,406,871,0.466,0,8,0.0,406,863,0.47,0.466,243,363,0.669,199,358,557,175,61,56,206,231,1055
Vin Baker,C,26,SEA,82,82,2944,631,1164,0.542,1,7,0.14300000000000002,630,1157,0.545,0.5429999999999999,311,526,0.591,286,370,656,152,91,86,174,278,1574
Charles Barkley*,PF,34,HOU,68,41,2243,361,744,0.485,18,84,0.214,343,660,0.52,0.49700000000000005,296,397,0.746,241,553,794,217,71,28,147,187,1036
Dana Barros,PG,30,BOS,80,15,1686,281,609,0.461,100,246,0.40700000000000003,181,363,0.499,0.544,122,144,0.847,28,125,153,286,83,6,107,124,784
Brent Barry,SG,26,TOT,58,36,1600,213,506,0.42100000000000004,90,229,0.39299999999999996,123,277,0.444,0.51,115,134,0.858,29,142,171,153,64,27,104,118,631
