Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,414,955,0.434,121,309,0.392,293,646,0.45399999999999996,0.49700000000000005,146,157,0.93,26,112,138,389,64,3,115,117,1095
Michael Adams,PG,33,CHH,21,3,329,37,83,0.446,14,41,0.341,23,42,0.5479999999999999,0.53,26,35,0.743,5,17,22,67,21,4,25,25,114
Rafael Addison,SF,31,CHH,53,0,516,77,165,0.467,0,9,0.0,77,156,0.494,0.467,17,22,0.773,25,65,90,30,9,9,27,74,171
Cory Alexander,PG,22,SAS,60,0,560,63,155,0.406,26,66,0.39399999999999996,37,89,0.41600000000000004,0.49,16,25,0.64,9,33,42,121,27,2,68,94,168
Jerome Allen,SG,23,MIN,41,0,362,36,105,0.34299999999999997,10,33,0.303,26,72,0.361,0.39,26,36,0.722,5,20,25,49,21,5,34,42,108
Derrick Alston,C,23,PHI,73,41,1614,198,387,0.512,1,3,0.33299999999999996,197,384,0.513,0.513,55,112,0.491,127,175,302,61,56,52,59,191,452
John Amaechi,PF,25,CLE,28,3,357,29,70,0.414,0,0,0.0,29,70,0.414,0.414,19,33,0.5760000000000001,13,39,52,9,6,11,34,49,77
Ashraf Amaya,PF,24,VAN,54,34,1104,121,252,0.48,0,1,0.0,121,251,0.48200000000000004,0.48,97,149,0.6509999999999999,114,189,303,33,22,10,57,151,339
Greg Anderson,PF,31,SAS,46,7,344,24,47,0.511,0,1,0.0,24,46,0.522,0.511,6,25,0.24,29,71,100,10,9,24,22,66,54
Kenny Anderson,PG,25,TOT,69,64,2344,349,834,0.418,92,256,0.359,257,578,0.445,0.474,260,338,0.769,63,140,203,575,111,14,146,178,1050
Nick Anderson,SG,28,ORL,77,77,2717,400,904,0.442,168,430,0.391,232,474,0.489,0.535,166,240,0.6920000000000001,92,323,415,279,121,46,141,135,1134
Willie Anderson,SG,29,TOT,76,44,2060,288,660,0.436,34,120,0.28300000000000003,254,540,0.47,0.462,132,163,0.81,48,198,246,197,75,59,143,230,742
Greg Anthony,PG,28,VAN,69,68,2096,324,781,0.415,90,271,0.332,234,510,0.45899999999999996,0.47200000000000003,229,297,0.7709999999999999,29,145,174,476,116,11,160,137,967
B.J. Armstrong,PG,28,GSW,82,64,2262,340,727,0.46799999999999997,98,207,0.473,242,520,0.465,0.535,234,279,0.8390000000000001,22,162,184,401,68,6,128,147,1012
Darrell Armstrong,PG,27,ORL,13,0,41,16,32,0.5,6,12,0.5,10,20,0.5,0.594,4,4,1.0,0,2,2,5,6,0,6,4,42
