Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Acker,SG,26,TOT,25,0,199,30,76,0.395,7,20,0.35,23,56,0.41100000000000003,0.441,5,10,0.5,8,16,24,12,5,4,7,9,72
Hassan Adams,SG,24,TOR,12,0,52,4,13,0.308,0,0,0.0,4,13,0.308,0.308,3,6,0.5,1,6,7,1,1,1,4,4,11
Arron Afflalo,SG,23,DET,74,8,1234,131,300,0.43700000000000006,43,107,0.402,88,193,0.456,0.508,58,71,0.8170000000000001,30,104,134,44,28,13,43,144,363
Maurice Ager,SG,24,NJN,20,0,97,15,43,0.349,0,6,0.0,15,37,0.405,0.349,4,8,0.5,3,7,10,3,1,2,4,17,34
Blake Ahearn,PG,24,SAS,3,0,19,2,6,0.33299999999999996,2,4,0.5,0,2,0.0,0.5,2,2,1.0,0,1,1,2,1,0,1,3,8
Alexis Ajinça,PF,20,CHA,31,4,182,25,69,0.36200000000000004,0,2,0.0,25,67,0.373,0.36200000000000004,20,28,0.7140000000000001,9,21,30,3,7,6,12,34,70
LaMarcus Aldridge,PF,23,POR,81,81,3004,601,1243,0.484,7,28,0.25,594,1215,0.489,0.486,261,334,0.7809999999999999,234,371,605,157,77,77,121,207,1470
Joe Alexander,SF,22,MIL,59,0,716,102,245,0.41600000000000004,16,46,0.348,86,199,0.43200000000000005,0.449,58,83,0.6990000000000001,44,71,115,42,15,29,52,107,278
Malik Allen,PF,30,MIL,49,3,579,73,170,0.429,0,1,0.0,73,169,0.43200000000000005,0.429,10,21,0.47600000000000003,35,68,103,35,7,12,20,89,156
Ray Allen*,SG,33,BOS,79,79,2876,499,1040,0.48,199,486,0.409,300,554,0.542,0.575,237,249,0.9520000000000001,66,212,278,218,69,13,134,157,1434
Tony Allen,SG,27,BOS,46,2,887,137,284,0.48200000000000004,6,27,0.222,131,257,0.51,0.493,79,109,0.725,22,82,104,66,54,23,77,98,359
Morris Almond,SG,23,UTA,25,1,255,33,81,0.40700000000000003,5,17,0.294,28,64,0.43799999999999994,0.43799999999999994,21,26,0.8079999999999999,9,27,36,7,4,4,16,31,92
Rafer Alston,PG,32,TOT,77,76,2447,316,820,0.385,112,331,0.33799999999999997,204,489,0.41700000000000004,0.45399999999999996,156,208,0.75,33,194,227,406,108,10,140,135,900
Lou Amundson,PF,26,PHO,76,0,1044,134,250,0.536,0,1,0.0,134,249,0.5379999999999999,0.536,53,120,0.442,128,142,270,28,32,65,56,154,321
Chris Andersen,C,30,DEN,71,1,1460,160,292,0.5479999999999999,2,10,0.2,158,282,0.56,0.551,130,181,0.718,163,279,442,31,41,175,69,174,452
Ryan Anderson,PF,20,NJN,66,30,1312,160,407,0.39299999999999996,69,189,0.365,91,218,0.41700000000000004,0.478,98,116,0.845,104,207,311,52,44,20,63,157,487
Carmelo Anthony,SF,24,DEN,66,66,2277,535,1207,0.44299999999999995,63,170,0.371,472,1037,0.455,0.469,371,468,0.7929999999999999,106,344,450,222,75,24,199,195,1504
Joel Anthony,C,26,MIA,65,28,1048,57,118,0.483,0,0,0.0,57,118,0.483,0.483,30,46,0.652,89,108,197,27,20,93,41,139,144
Gilbert Arenas,PG,27,WAS,2,2,63,6,23,0.261,2,7,0.28600000000000003,4,16,0.25,0.304,12,16,0.75,1,8,9,20,0,1,1,4,26
Trevor Ariza,SF,23,LAL,82,20,1999,274,596,0.46,61,191,0.319,213,405,0.526,0.511,120,169,0.71,111,241,352,145,137,24,87,166,729
Hilton Armstrong,C,24,NOH,70,29,1092,138,246,0.561,0,2,0.0,138,244,0.5660000000000001,0.561,62,98,0.633,81,114,195,29,26,45,80,181,338
