Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,26,TOT,54,0,506,118,231,0.511,0,2,0.0,118,229,0.515,0.511,20,35,0.5710000000000001,37,77,114,13,15,12,45,104,256
Mahmoud Abdul-Rauf,PG,25,DEN,73,43,2082,472,1005,0.47,83,215,0.386,389,790,0.49200000000000005,0.511,138,156,0.885,32,105,137,263,77,9,119,126,1165
Michael Adams,PG,32,CHH,29,0,443,67,148,0.45299999999999996,29,81,0.358,38,67,0.5670000000000001,0.551,25,30,0.833,6,23,29,95,23,1,26,41,188
Rafael Addison,SF,30,DET,79,16,1776,279,586,0.47600000000000003,24,83,0.289,255,503,0.507,0.49700000000000005,74,99,0.747,67,175,242,109,53,25,76,236,656
Danny Ainge,SG,35,PHO,74,1,1374,194,422,0.46,78,214,0.364,116,208,0.5579999999999999,0.552,105,130,0.8079999999999999,25,84,109,210,46,7,79,155,571
Victor Alexander,C,25,GSW,50,29,1237,230,447,0.515,6,25,0.24,224,422,0.531,0.521,36,60,0.6,87,204,291,60,28,29,76,145,502
Derrick Alston,C,22,PHI,64,1,1032,120,258,0.465,0,4,0.0,120,254,0.47200000000000003,0.465,59,120,0.49200000000000005,98,121,219,33,39,35,53,107,299
Greg Anderson,PF,30,ATL,51,0,622,57,104,0.5479999999999999,0,0,0.0,57,104,0.5479999999999999,0.5479999999999999,34,71,0.479,62,126,188,17,23,32,32,103,148
Kenny Anderson,PG,24,NJN,72,70,2689,411,1031,0.39899999999999997,97,294,0.33,314,737,0.426,0.446,348,414,0.841,73,177,250,680,103,14,225,184,1267
Nick Anderson,SG,27,ORL,76,76,2588,439,923,0.47600000000000003,179,431,0.415,260,492,0.528,0.573,143,203,0.7040000000000001,85,250,335,314,125,22,141,124,1200
Willie Anderson,SG,28,SAS,38,11,556,76,162,0.469,3,19,0.158,73,143,0.51,0.478,30,41,0.732,15,40,55,52,26,10,38,71,185
Greg Anthony,PG,27,NYK,61,2,943,128,293,0.43700000000000006,56,155,0.361,72,138,0.522,0.532,60,76,0.789,7,57,64,160,50,7,57,99,372
B.J. Armstrong,PG,27,CHI,82,82,2577,418,894,0.46799999999999997,108,253,0.42700000000000005,310,641,0.484,0.528,206,233,0.884,25,161,186,244,84,8,103,159,1150
Darrell Armstrong,PG,26,ORL,3,0,8,3,8,0.375,2,6,0.33299999999999996,1,2,0.5,0.5,2,2,1.0,1,0,1,3,1,0,1,3,10
