Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,29,SEA,27,0,223,35,75,0.467,0,0,0,35,75,0.467,0.467,16,29,0.552,30,46,76,16,8,15,0,29,86
Kareem Abdul-Jabbar*,C,28,LAL,82,0,3379,914,1728,0.529,0,0,0,914,1728,0.529,0.529,447,636,0.703,272,1111,1383,413,119,338,0,292,2275
Alvan Adams,C,21,PHO,80,0,2656,629,1341,0.469,0,0,0,629,1341,0.469,0.469,261,355,0.735,215,512,727,450,121,116,0,274,1519
Don Adams,SF,28,BUF,56,0,704,67,170,0.39399999999999996,0,0,0,67,170,0.39399999999999996,0.39399999999999996,40,57,0.7020000000000001,38,107,145,73,30,7,0,128,174
Lucius Allen,PG,28,LAL,76,0,2388,461,1004,0.45899999999999996,0,0,0,461,1004,0.45899999999999996,0.45899999999999996,197,254,0.7759999999999999,64,150,214,357,101,20,0,241,1119
Dan Anderson,PG,25,POR,52,0,614,88,181,0.486,0,0,0,88,181,0.486,0.486,51,61,0.836,15,47,62,85,20,2,0,58,227
Jerome Anderson,SG,22,BOS,22,0,126,25,45,0.556,0,0,0,25,45,0.556,0.556,11,16,0.688,4,9,13,6,3,3,0,25,61
Tiny Archibald*,PG,27,KCK,78,0,3184,717,1583,0.45299999999999996,0,0,0,717,1583,0.45299999999999996,0.45299999999999996,501,625,0.802,67,146,213,615,126,15,0,169,1935
Jim Ard,C,27,BOS,81,0,853,107,294,0.364,0,0,0,107,294,0.364,0.364,71,100,0.71,96,193,289,48,12,36,0,141,285
Dennis Awtrey,C,27,PHO,74,0,1376,142,304,0.467,0,0,0,142,304,0.467,0.467,75,109,0.688,93,200,293,159,21,22,0,153,359
Gus Bailey,SG,24,HOU,30,0,262,28,77,0.364,0,0,0,28,77,0.364,0.364,14,28,0.5,20,30,50,41,14,8,0,33,70
Mike Bantom,SF,24,TOT,73,0,1571,220,476,0.462,0,0,0,220,476,0.462,0.462,136,199,0.6829999999999999,140,251,391,105,28,28,0,221,576
Jim Barnett,SG,31,NYK,71,0,1026,164,371,0.442,0,0,0,164,371,0.442,0.442,90,114,0.789,48,40,88,90,24,3,0,86,418
Rick Barry*,SF,31,GSW,81,0,3122,707,1624,0.435,0,0,0,707,1624,0.435,0.435,287,311,0.9229999999999999,74,422,496,496,202,27,0,215,1701
Jerry Baskerville,SF,24,PHI,21,0,105,8,26,0.308,0,0,0,8,26,0.308,0.308,10,16,0.625,13,15,28,3,6,5,0,32,26
Butch Beard,PG,28,TOT,75,0,1704,228,496,0.46,0,0,0,228,496,0.46,0.46,144,192,0.75,103,207,310,218,81,8,0,216,600
Ron Behagen,PF,25,NOJ,66,0,1733,308,691,0.446,0,0,0,308,691,0.446,0.446,144,179,0.804,190,363,553,139,67,26,0,222,760
Dennis Bell,SF,24,NYK,10,0,76,8,21,0.381,0,0,0,8,21,0.381,0.381,3,7,0.429,4,10,14,3,6,1,0,11,19
