Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,22,POR,43,0,290,55,116,0.474,0,0,0.0,55,116,0.474,0.474,25,44,0.568,27,62,89,12,4,12,22,39,135
Mahmoud Abdul-Rauf,PG,21,DEN,67,19,1505,417,1009,0.413,24,100,0.24,393,909,0.43200000000000005,0.425,84,98,0.857,34,87,121,206,55,4,110,149,942
Mark Acres,C,28,ORL,68,0,1313,109,214,0.509,1,3,0.33299999999999996,108,211,0.512,0.512,66,101,0.653,140,219,359,25,25,25,42,218,285
Michael Adams,PG,28,DEN,66,66,2346,560,1421,0.39399999999999996,167,564,0.29600000000000004,393,857,0.45899999999999996,0.45299999999999996,465,529,0.879,58,198,256,693,147,6,240,162,1752
Mark Aguirre,SF,31,DET,78,13,2006,420,909,0.462,24,78,0.308,396,831,0.47700000000000004,0.475,240,317,0.757,134,240,374,139,47,20,128,209,1104
Danny Ainge,SG,31,POR,80,0,1710,337,714,0.47200000000000003,102,251,0.406,235,463,0.508,0.5429999999999999,114,138,0.826,45,160,205,285,63,13,100,195,890
Mark Alarie,PF,27,WSB,42,1,587,99,225,0.44,5,21,0.23800000000000002,94,204,0.461,0.451,41,48,0.8540000000000001,41,76,117,45,15,8,40,88,244
Steve Alford,PG,26,DAL,34,0,236,59,117,0.504,7,23,0.304,52,94,0.5529999999999999,0.534,26,31,0.8390000000000001,10,14,24,22,8,1,16,11,151
Greg Anderson,PF,26,TOT,68,2,924,116,270,0.43,0,1,0.0,116,269,0.431,0.43,60,115,0.522,97,221,318,16,35,45,84,140,292
Nick Anderson,SG,23,ORL,70,42,1971,400,857,0.467,17,58,0.293,383,799,0.479,0.47700000000000004,173,259,0.6679999999999999,92,294,386,106,74,44,113,145,990
Ron Anderson,SF,32,PHI,82,13,2340,512,1055,0.485,9,43,0.209,503,1012,0.49700000000000005,0.49,165,198,0.833,103,264,367,115,65,13,100,163,1198
Willie Anderson,SG,24,SAS,75,75,2592,453,991,0.457,7,35,0.2,446,956,0.467,0.461,170,213,0.7979999999999999,68,283,351,358,79,46,167,226,1083
Michael Ansley,SF,23,ORL,67,1,877,144,263,0.5479999999999999,0,0,0.0,144,263,0.5479999999999999,0.5479999999999999,91,127,0.7170000000000001,122,131,253,25,27,7,32,125,379
B.J. Armstrong,PG,23,CHI,82,0,1731,304,632,0.48100000000000004,15,30,0.5,289,602,0.48,0.493,97,111,0.8740000000000001,25,124,149,301,70,4,107,118,720
Vincent Askew,SG,24,GSW,7,0,85,12,25,0.48,0,0,0.0,12,25,0.48,0.48,9,11,0.818,7,4,11,13,2,0,6,21,33
Keith Askins,SF,23,MIA,39,1,266,34,81,0.42,6,25,0.24,28,56,0.5,0.457,12,25,0.48,30,38,68,19,16,13,11,46,86
Miloš Babić,PF,22,CLE,12,0,52,6,19,0.316,0,0,0.0,6,19,0.316,0.316,7,12,0.583,6,3,9,4,1,1,5,7,19
Thurl Bailey,PF,29,UTA,82,22,2486,399,872,0.45799999999999996,0,3,0.0,399,869,0.45899999999999996,0.45799999999999996,219,271,0.8079999999999999,101,306,407,124,53,91,130,160,1017
Cedric Ball,PF,22,LAC,7,0,26,3,8,0.375,0,0,0.0,3,8,0.375,0.375,2,2,1.0,5,6,11,0,0,2,2,5,8
Ken Bannister,PF,30,LAC,47,3,339,43,81,0.531,0,1,0.0,43,80,0.5379999999999999,0.531,25,65,0.385,34,62,96,9,5,7,25,73,111
Charles Barkley*,SF,27,PHI,67,67,2498,665,1167,0.57,44,155,0.284,621,1012,0.614,0.589,475,658,0.722,258,422,680,284,110,33,210,173,1849
Dana Barros,PG,23,SEA,66,0,750,154,311,0.495,32,81,0.395,122,230,0.53,0.547,78,85,0.9179999999999999,17,54,71,111,23,1,54,40,418
John Battle,SG,28,ATL,79,2,1863,397,862,0.461,14,49,0.28600000000000003,383,813,0.47100000000000003,0.469,270,316,0.8540000000000001,34,125,159,217,45,6,113,145,1078
Kenny Battle,SG,26,TOT,56,8,945,133,282,0.47200000000000003,3,24,0.125,130,258,0.504,0.47700000000000004,70,93,0.753,83,93,176,62,60,18,53,108,339
William Bedford,C,27,DET,60,4,562,106,242,0.43799999999999994,5,13,0.385,101,229,0.441,0.44799999999999995,55,78,0.705,55,76,131,32,2,36,32,76,272
Benoit Benjamin,C,26,TOT,70,65,2236,386,778,0.496,0,0,0.0,386,778,0.496,0.496,210,295,0.7120000000000001,157,566,723,119,54,145,235,184,982
Winston Bennett,SF,25,CLE,27,13,334,40,107,0.374,0,0,0.0,40,107,0.374,0.374,35,47,0.745,30,34,64,28,8,2,20,50,115
Larry Bird*,SF,34,BOS,60,60,2277,462,1017,0.45399999999999996,77,198,0.389,385,819,0.47,0.49200000000000005,163,183,0.8909999999999999,53,456,509,431,108,58,187,118,1164
Rolando Blackman,SG,31,DAL,80,80,2965,634,1316,0.48200000000000004,40,114,0.35100000000000003,594,1202,0.494,0.49700000000000005,282,326,0.865,63,193,256,301,69,19,159,153,1590
Lance Blanks,SG,24,DET,38,0,214,26,61,0.426,2,16,0.125,24,45,0.5329999999999999,0.44299999999999995,10,14,0.7140000000000001,4,16,20,26,9,2,18,35,64
Mookie Blaylock,PG,23,NJN,72,70,2585,432,1039,0.41600000000000004,14,91,0.154,418,948,0.441,0.423,139,176,0.79,67,182,249,441,169,40,207,180,1017
Muggsy Bogues,PG,26,CHH,81,46,2299,241,524,0.46,0,12,0.0,241,512,0.47100000000000003,0.46,86,108,0.7959999999999999,58,158,216,669,137,3,120,160,568
Manute Bol,C,28,PHI,82,6,1522,65,164,0.396,1,14,0.071,64,150,0.42700000000000005,0.39899999999999997,24,41,0.585,66,284,350,20,16,247,63,184,155
Anthony Bonner,PF,22,SAC,34,6,750,103,230,0.44799999999999995,0,0,0.0,103,230,0.44799999999999995,0.44799999999999995,44,76,0.579,59,102,161,49,39,5,41,62,250
