Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeff Adrien,PF,24,GSW,23,0,196,23,54,0.426,0,0,0.0,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57
Arron Afflalo,SG,25,DEN,69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867
Maurice Ager,SG,26,MIN,4,0,29,6,11,0.545,3,4,0.75,3,7,0.429,0.682,0,0,0.0,0,2,2,1,1,0,4,4,15
Alexis Ajinça,C,22,TOT,34,2,340,59,133,0.444,12,34,0.353,47,99,0.475,0.489,13,18,0.722,17,61,78,10,11,19,18,73,143
Solomon Alabi,C,22,TOR,12,0,59,3,15,0.2,0,0,0.0,3,15,0.2,0.2,0,2,0.0,7,7,14,2,2,2,3,5,6
Cole Aldrich,C,22,OKC,18,0,142,8,15,0.5329999999999999,0,0,0.0,8,15,0.5329999999999999,0.5329999999999999,2,4,0.5,13,22,35,4,5,7,8,30,18
LaMarcus Aldridge,PF,25,POR,81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.7909999999999999,278,431,709,170,82,94,153,220,1769
Malik Allen,PF,32,ORL,18,0,178,11,31,0.355,0,0,0.0,11,31,0.355,0.355,1,2,0.5,12,20,32,4,1,4,3,30,23
Ray Allen*,SG,35,BOS,80,80,2890,480,978,0.491,168,378,0.444,312,600,0.52,0.5770000000000001,193,219,0.8809999999999999,51,223,274,219,77,16,117,147,1321
Tony Allen,SG,29,MEM,72,31,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643
Al-Farouq Aminu,SF,20,LAC,81,14,1452,160,406,0.39399999999999996,45,143,0.315,115,263,0.43700000000000006,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457
Lou Amundson,PF,28,GSW,46,7,691,83,183,0.45399999999999996,0,0,0.0,83,183,0.45399999999999996,0.45399999999999996,34,87,0.391,81,104,185,17,14,33,24,87,200
Chris Andersen,C,32,DEN,45,0,732,82,137,0.599,0,1,0.0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250
David Andersen,PF,30,TOT,40,0,373,56,121,0.46299999999999997,8,23,0.348,48,98,0.49,0.496,14,22,0.636,20,64,84,13,5,9,22,40,134
James Anderson,SF,21,SAS,26,2,286,31,81,0.38299999999999995,18,46,0.391,13,35,0.371,0.494,14,18,0.778,2,21,23,18,3,6,13,24,94
Ryan Anderson,PF,22,ORL,64,14,1424,226,525,0.43,134,341,0.39299999999999996,92,184,0.5,0.5579999999999999,95,117,0.812,129,226,355,52,30,38,49,137,681
Carmelo Anthony,SF,26,TOT,77,77,2751,684,1503,0.455,95,251,0.37799999999999995,589,1252,0.47,0.48700000000000004,507,605,0.838,118,445,563,221,68,46,206,224,1970
Joel Anthony,C,28,MIA,75,11,1463,53,99,0.535,0,0,0.0,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153
