Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mahmoud Abdul-Rauf,PG,26,DEN,57,2029,18.6,0.535,0.324,0.16399999999999998,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,4.3,-3.1,1.1,1.6
Michael Adams,PG,33,CHH,21,329,16.1,0.579,0.494,0.42200000000000004,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,0.6,0.2,0.8,0.11699999999999999,1.2,-1.9,-0.8,0.1
Rafael Addison,SF,31,CHH,53,516,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,0.0,0.2,0.2,0.019,-3.8,-1.5,-5.2,-0.4
Cory Alexander,PG,22,SAS,60,560,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,-0.5,0.7,0.2,0.021,-3.1,-1.6,-4.7,-0.4
Jerome Allen,SG,23,MIN,41,362,7.8,0.447,0.314,0.34299999999999997,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,-0.5,0.3,-0.3,-0.033,-4.4,-1.6,-6.1,-0.4
Derrick Alston,C,23,PHI,73,1614,11.8,0.518,0.008,0.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,1.0,0.8,1.7,0.052000000000000005,-2.2,0.5,-1.8,0.1
John Amaechi,PF,25,CLE,28,357,3.1,0.456,0.0,0.47100000000000003,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,-0.9,0.4,-0.6,-0.075,-9.1,0.1,-9.0,-0.6
Ashraf Amaya,PF,24,VAN,54,1104,11.8,0.534,0.004,0.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,0.7,1.1,1.8,0.078,-3.4,-0.5,-3.9,-0.5
Greg Anderson,PF,31,SAS,46,344,7.7,0.466,0.021,0.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,-0.3,0.7,0.4,0.055999999999999994,-5.6,3.8,-1.8,0.0
Kenny Anderson,PG,25,TOT,69,2344,19.5,0.534,0.307,0.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,6.1,1.6,7.7,0.158,4.2,-1.9,2.3,2.6
Nick Anderson,SG,28,ORL,77,2717,16.5,0.562,0.47600000000000003,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.4,0.7,3.1,3.5
Willie Anderson,SG,29,TOT,76,2060,11.3,0.507,0.182,0.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,0.0,1.5,1.4,0.033,-2.4,-0.1,-2.5,-0.3
Greg Anthony,PG,28,VAN,69,2096,18.6,0.53,0.34700000000000003,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,2.9,1.9,4.8,0.111,2.9,-1.6,1.3,1.7
B.J. Armstrong,PG,28,GSW,82,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.8,-2.7,0.1,1.2
Darrell Armstrong,PG,27,ORL,13,41,32.4,0.622,0.375,0.125,0.0,5.6,2.8,29.3,7.7,0.0,15.1,43.8,0.0,0.1,0.1,0.158,8.0,-1.4,6.6,0.1
Vincent Askew,SG,29,SEA,69,1725,11.9,0.574,0.19699999999999998,0.369,4.7,10.0,7.5,14.6,1.4,0.7,15.9,15.6,2.2,2.2,4.3,0.12,-0.5,0.3,-0.2,0.8
Keith Askins,SF,28,MIA,75,1897,10.0,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,1.6,2.8,4.4,0.111,0.0,2.5,2.5,2.2
Stacey Augmon,SF,27,ATL,77,2294,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.11699999999999999,-0.1,0.2,0.1,1.2
Anthony Avent,PF,26,VAN,71,1586,6.9,0.415,0.0,0.165,7.7,18.9,13.1,7.4,1.0,2.0,17.6,17.5,-2.8,1.6,-1.2,-0.037000000000000005,-7.0,0.6,-6.4,-1.7
Vin Baker,PF,24,MIL,82,3319,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,0.08900000000000001,0.4,0.1,0.4,2.1
Steve Bardo,SG,27,DET,9,123,8.4,0.429,0.174,0.261,2.0,18.9,10.8,19.2,1.8,0.6,16.3,11.9,0.0,0.2,0.2,0.069,-4.1,1.6,-2.6,0.0
Charles Barkley*,PF,32,PHO,71,2632,24.8,0.585,0.151,0.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,0.191,4.5,1.4,5.9,5.2
Dana Barros,PG,28,BOS,80,2328,15.6,0.596,0.457,0.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,0.11599999999999999,2.6,-2.4,0.2,1.3
Brent Barry,SG,24,LAC,79,1898,15.9,0.609,0.496,0.22899999999999998,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,3.7,1.2,4.9,0.124,2.7,-1.0,1.7,1.8
Jon Barry,SG,26,GSW,68,712,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,1.4,0.4,1.8,0.122,1.5,-1.3,0.1,0.4
Corey Beck,PG,24,CHH,5,33,0.8,0.282,0.0,0.25,10.8,15.0,12.9,21.0,1.6,0.0,31.1,17.7,-0.1,0.0,-0.1,-0.14,-7.8,-0.4,-8.2,-0.1
Benoit Benjamin,C,31,TOT,83,1896,14.4,0.539,0.005,0.32899999999999996,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,0.1,2.2,2.3,0.057,-3.8,0.5,-3.3,-0.6
Elmer Bennett,PG,25,PHI,8,66,-0.5,0.293,0.0,0.235,1.7,7.2,4.4,18.7,0.8,1.1,27.2,17.4,-0.3,0.0,-0.3,-0.2,-11.0,-3.0,-14.0,-0.2
Mario Bennett,SF,22,PHO,19,230,13.3,0.515,0.016,0.6559999999999999,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,0.2,0.3,0.5,0.098,-2.4,0.4,-2.0,0.0
David Benoit,SF,27,UTA,81,1961,12.2,0.524,0.33,0.193,5.8,17.9,12.0,6.3,1.2,2.1,10.1,16.4,1.6,2.3,3.9,0.096,-0.4,0.8,0.3,1.2
Travis Best,PG,23,IND,59,571,11.5,0.545,0.153,0.552,2.5,7.0,4.8,26.8,1.9,0.4,23.7,21.4,0.2,0.5,0.7,0.057,-2.0,-1.9,-3.9,-0.3
Mookie Blaylock,PG,28,ATL,81,2893,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,0.149,4.6,0.6,5.2,5.3
Corie Blount,PF,27,LAL,57,715,10.9,0.491,0.012,0.263,11.5,16.1,13.8,8.3,1.8,3.4,20.1,14.6,-0.1,1.0,0.9,0.063,-3.0,2.0,-1.1,0.2
Muggsy Bogues,PG,31,CHH,6,77,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0.0,26.2,13.4,0.0,0.0,0.0,0.02,-2.3,-3.7,-6.0,-0.1
Anthony Bonner,PF,27,ORL,4,43,11.3,0.36,0.0,0.467,16.6,34.4,25.7,13.5,3.6,0.0,14.2,22.2,-0.1,0.1,0.0,0.04,-5.3,1.5,-3.8,0.0
Melvin Booker,PG,23,HOU,11,131,6.2,0.401,0.38,0.22,0.9,6.8,3.9,24.5,2.0,0.5,18.0,22.9,-0.3,0.1,-0.2,-0.065,-5.4,-3.2,-8.6,-0.2
Anthony Bowie,SG,32,ORL,74,1078,10.4,0.527,0.114,0.16899999999999998,4.4,8.8,6.6,14.2,1.6,0.7,15.8,14.6,0.7,0.9,1.6,0.071,-2.2,-0.7,-3.0,-0.3
Donnie Boyce,SG,22,ATL,8,41,17.7,0.485,0.348,0.174,13.9,15.0,14.4,13.6,3.9,1.9,19.5,33.7,-0.1,0.1,0.0,0.004,-1.1,-0.7,-1.8,0.0
Shawn Bradley,C,23,TOT,79,2329,15.7,0.48100000000000004,0.005,0.282,10.3,20.4,15.2,4.9,1.1,9.4,15.4,21.8,-1.1,4.1,3.0,0.062,-4.3,4.0,-0.4,1.0
