Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alaa Abdelnaby,PF,22,POR,43,290,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-4.2,-0.7,-5.0,-0.2
Mahmoud Abdul-Rauf,PG,21,DEN,67,1505,12.2,0.44799999999999995,0.099,0.09699999999999999,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1.0,-0.031,-1.7,-4.4,-6.1,-1.6
Mark Acres,C,28,ORL,68,1313,9.2,0.551,0.013999999999999999,0.47200000000000003,11.3,18.7,14.9,2.5,0.9,1.1,14.0,9.3,1.4,1.1,2.5,0.09,-2.1,0.3,-1.8,0.1
Michael Adams,PG,28,DEN,66,2346,22.3,0.53,0.397,0.37200000000000005,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,5.8,0.4,6.3,0.128,7.1,-2.7,4.4,3.8
Mark Aguirre,SF,31,DET,78,2006,16.7,0.526,0.086,0.349,7.6,13.7,10.7,11.6,1.2,0.6,10.9,25.7,2.8,2.7,5.5,0.132,0.9,-0.3,0.7,1.4
Danny Ainge,SG,31,POR,80,1710,17.0,0.574,0.35200000000000004,0.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,4.1,2.1,6.2,0.175,3.4,-0.6,2.8,2.1
Mark Alarie,PF,27,WSB,42,587,11.3,0.496,0.09300000000000001,0.213,7.6,14.2,10.9,11.2,1.3,0.8,14.0,20.3,0.1,0.6,0.6,0.05,-2.4,-1.1,-3.6,-0.2
Steve Alford,PG,26,DAL,34,236,20.5,0.578,0.19699999999999998,0.265,4.8,6.8,5.8,16.4,1.7,0.3,10.9,27.5,0.5,0.1,0.6,0.121,2.4,-3.8,-1.4,0.0
Greg Anderson,PF,26,TOT,68,924,9.1,0.455,0.004,0.426,10.0,25.9,17.3,2.1,1.7,2.7,20.8,16.3,-1.2,0.9,-0.3,-0.017,-6.8,-0.8,-7.5,-1.3
Nick Anderson,SG,23,ORL,70,1971,15.1,0.51,0.068,0.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,1.2,1.9,3.1,0.075,-1.1,0.1,-1.0,0.5
Ron Anderson,SF,32,PHI,82,2340,15.5,0.524,0.040999999999999995,0.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,2.3,1.8,4.1,0.085,-0.5,-1.8,-2.3,-0.2
Willie Anderson,SG,24,SAS,75,2592,13.0,0.499,0.035,0.215,3.1,11.5,7.5,20.2,1.5,1.1,13.3,20.1,1.3,3.5,4.8,0.08900000000000001,-0.8,0.9,0.1,1.4
Michael Ansley,SF,23,ORL,67,877,16.9,0.594,0.0,0.483,14.7,16.8,15.7,4.3,1.5,0.5,9.1,16.3,2.3,0.7,3.1,0.168,1.2,-1.2,0.0,0.4
B.J. Armstrong,PG,23,CHI,82,1731,14.8,0.529,0.047,0.17600000000000002,1.7,8.3,5.1,23.4,2.0,0.1,13.6,19.5,2.3,1.8,4.1,0.114,-0.4,-1.4,-1.8,0.1
Vincent Askew,SG,24,GSW,7,85,10.9,0.5529999999999999,0.0,0.44,9.1,5.2,7.1,20.1,1.1,0.0,16.7,16.8,0.1,0.0,0.2,0.09300000000000001,0.1,-2.7,-2.6,0.0
Keith Askins,SF,23,MIA,39,266,13.5,0.467,0.309,0.309,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,0.2,0.4,0.6,0.10300000000000001,-0.6,2.0,1.4,0.2
Miloš Babić,PF,22,CLE,12,52,6.0,0.391,0.0,0.632,13.4,6.7,10.0,10.9,1.0,1.2,17.1,24.6,-0.1,0.0,-0.1,-0.085,-6.0,-2.6,-8.6,-0.1
Thurl Bailey,PF,29,UTA,82,2486,12.5,0.513,0.003,0.311,5.1,13.6,9.6,7.7,1.1,2.3,11.6,20.0,0.6,3.1,3.7,0.07200000000000001,-2.4,1.2,-1.2,0.5
Cedric Ball,PF,22,LAC,7,26,10.8,0.45,0.0,0.25,20.4,25.3,22.8,0.0,0.0,4.6,18.4,17.0,0.0,0.0,0.0,0.054000000000000006,-7.4,-4.3,-11.7,-0.1
Ken Bannister,PF,30,LAC,47,339,7.8,0.506,0.012,0.802,10.6,20.0,15.3,3.6,0.7,1.2,18.6,16.1,-0.2,0.4,0.2,0.027999999999999997,-5.0,-1.2,-6.3,-0.4
Charles Barkley*,SF,27,PHI,67,2498,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,0.258,9.0,0.9,9.9,7.4
Dana Barros,PG,23,SEA,66,750,18.8,0.6,0.26,0.273,2.7,8.7,5.7,21.9,1.5,0.1,13.4,22.5,2.1,0.4,2.5,0.158,3.0,-3.2,-0.2,0.3
John Battle,SG,28,ATL,79,1863,16.4,0.5379999999999999,0.057,0.36700000000000005,1.9,7.6,4.7,18.4,1.2,0.2,10.1,24.7,3.4,0.6,4.0,0.102,0.7,-3.1,-2.4,-0.2
Kenny Battle,SG,26,TOT,56,945,12.4,0.525,0.085,0.33,8.2,10.3,9.2,7.9,2.8,1.0,14.1,14.7,0.7,0.6,1.3,0.068,-1.1,0.4,-0.7,0.3
William Bedford,C,27,DET,60,562,15.5,0.49200000000000005,0.054000000000000006,0.322,11.1,15.5,13.3,9.2,0.2,4.1,10.4,24.1,0.5,0.8,1.3,0.113,-1.6,0.2,-1.4,0.1
Benoit Benjamin,C,26,TOT,70,2236,15.1,0.541,0.0,0.379,7.8,28.7,18.1,7.7,1.2,4.0,20.6,21.0,-0.7,3.7,3.0,0.064,-3.5,2.3,-1.1,0.5
Winston Bennett,SF,25,CLE,27,334,9.2,0.45,0.0,0.439,10.4,11.8,11.1,11.9,1.2,0.4,13.5,19.3,0.0,0.2,0.2,0.026000000000000002,-3.2,-1.4,-4.6,-0.2
Larry Bird*,SF,34,BOS,60,2277,19.7,0.53,0.195,0.18,2.8,20.4,12.3,25.9,2.3,1.5,14.6,23.7,3.0,3.6,6.6,0.14,2.4,2.3,4.7,3.8
Rolando Blackman,SG,31,DAL,80,2965,16.6,0.545,0.087,0.248,2.4,7.4,4.9,16.8,1.2,0.4,9.8,24.2,4.4,1.0,5.5,0.08900000000000001,1.5,-2.1,-0.6,1.1
Lance Blanks,SG,24,DET,38,214,7.5,0.47600000000000003,0.262,0.23,2.1,8.6,5.3,17.7,2.2,0.6,21.1,17.5,-0.2,0.3,0.1,0.027000000000000003,-3.6,0.1,-3.5,-0.1
Mookie Blaylock,PG,23,NJN,72,2585,13.1,0.455,0.08800000000000001,0.16899999999999998,2.6,7.7,5.1,25.5,3.2,0.9,15.6,20.6,-0.7,2.9,2.1,0.04,-1.2,0.7,-0.5,1.0
Muggsy Bogues,PG,26,CHH,81,2299,15.4,0.49700000000000005,0.023,0.20600000000000002,2.8,8.1,5.4,40.2,2.9,0.1,17.4,12.8,3.1,1.7,4.8,0.1,0.0,-1.0,-1.0,0.6
Manute Bol,C,28,PHI,82,1522,8.4,0.426,0.085,0.25,5.0,20.5,12.9,1.7,0.5,9.6,25.7,7.0,-1.3,2.6,1.3,0.042,-6.6,5.4,-1.2,0.3
