Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,41,LAL,74,1695,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,0.9,2.0,2.9,0.08199999999999999,-2.3,0.0,-2.3,-0.1
Mark Acres,C,26,BOS,62,632,8.2,0.507,0.009000000000000001,0.42100000000000004,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,0.4,0.5,0.9,0.066,-2.1,-0.4,-2.5,-0.1
Michael Adams,PG,26,DEN,77,2787,17.5,0.5670000000000001,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,5.4,2.9,8.3,0.14300000000000002,3.8,-0.6,3.2,3.7
Mark Aguirre,SF,29,TOT,80,2597,16.4,0.524,0.13699999999999998,0.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,2.4,2.1,4.5,0.08199999999999999,1.7,-1.2,0.5,1.7
Danny Ainge,PG,29,TOT,73,2377,18.0,0.5539999999999999,0.29,0.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,5.2,1.4,6.7,0.135,4.0,-1.6,2.3,2.6
Mark Alarie,PF,25,WSB,74,1141,13.3,0.531,0.08800000000000001,0.20199999999999999,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,1.2,1.0,2.2,0.09300000000000001,-0.7,-1.0,-1.8,0.1
Steve Alford,PG,24,TOT,66,906,11.9,0.522,0.17,0.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,0.7,0.7,1.4,0.07200000000000001,-1.7,-1.8,-3.5,-0.3
Randy Allen,SG,24,SAC,7,43,6.9,0.428,0.053,0.105,7.4,10.2,8.7,0.0,1.1,1.3,9.1,20.9,-0.1,0.0,0.0,-0.035,-7.1,-5.2,-12.4,-0.1
Greg Anderson,PF,24,SAS,82,2401,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2.0,2.6,14.2,20.6,0.4,3.1,3.4,0.069,-2.4,-0.1,-2.5,-0.3
Michael Anderson,PG,22,SAS,36,730,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,-0.5,0.6,0.2,0.01,-3.0,-0.4,-3.4,-0.3
Richard Anderson,PF,28,POR,72,1082,12.0,0.509,0.405,0.109,6.0,17.5,11.6,11.4,1.9,0.6,12.9,14.9,0.9,1.2,2.1,0.09300000000000001,-0.7,0.0,-0.7,0.4
Ron Anderson,SF,30,PHI,82,2618,15.3,0.531,0.01,0.19899999999999998,7.1,10.3,8.7,7.9,1.3,0.5,9.1,21.9,3.5,0.9,4.4,0.081,0.7,-1.7,-1.0,0.7
Willie Anderson,SF,22,SAS,81,2738,16.6,0.534,0.016,0.225,5.8,11.1,8.4,21.1,2.5,1.4,15.6,23.8,2.1,2.8,4.9,0.085,0.9,0.6,1.5,2.4
John Bagley,PG,28,NJN,68,1642,11.3,0.467,0.11199999999999999,0.256,2.4,7.6,4.9,33.1,2.1,0.2,22.9,17.3,-0.6,1.0,0.4,0.013000000000000001,-2.5,-1.5,-4.0,-0.8
Thurl Bailey,SF,27,UTA,82,2777,15.6,0.544,0.004,0.34600000000000003,5.0,12.3,8.9,8.5,0.8,2.0,12.4,25.5,2.4,4.1,6.5,0.113,-1.1,0.3,-0.8,0.8
Greg Ballard,SF,34,SEA,2,15,7.1,0.307,0.125,0.5,14.5,38.5,26.1,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.021,-10.7,-11.3,-21.9,-0.1
Ken Bannister,PF,28,LAC,9,130,17.9,0.624,0.027999999999999997,1.472,4.9,22.1,13.6,3.2,2.5,0.9,11.9,20.4,0.3,0.2,0.4,0.15,-1.7,-2.0,-3.7,-0.1
Charles Barkley*,PF,25,PHI,79,3088,27.0,0.653,0.134,0.6609999999999999,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,13.2,2.9,16.1,0.25,8.5,1.3,9.8,9.2
John Battle,SG,26,ATL,82,1672,13.5,0.532,0.054000000000000006,0.379,1.9,7.3,4.6,17.1,1.2,0.3,12.4,20.4,2.2,1.0,3.2,0.092,-0.4,-2.1,-2.5,-0.2
Benoit Benjamin,C,24,LAC,79,2585,17.4,0.593,0.002,0.47,6.8,21.9,14.4,8.7,1.0,4.7,17.8,20.3,2.3,2.9,5.1,0.095,-1.3,1.6,0.4,1.5
Ricky Berry,SG,24,SAC,64,1406,13.1,0.552,0.282,0.293,4.3,10.9,7.5,8.5,1.3,0.9,11.4,21.1,1.6,0.8,2.4,0.083,0.0,-1.8,-1.7,0.1
Walter Berry,PF,24,TOT,69,1355,13.2,0.54,0.004,0.285,6.9,14.8,10.8,8.5,1.0,2.1,13.6,19.5,1.0,1.4,2.4,0.085,-1.9,-0.1,-2.0,0.0
Larry Bird*,SF,32,BOS,6,189,19.8,0.516,0.0,0.183,0.6,21.6,11.2,24.3,1.6,1.6,8.9,27.1,0.3,0.2,0.5,0.129,0.6,-0.1,0.5,0.1
Otis Birdsong,SG,33,BOS,13,108,7.0,0.502,0.083,0.055999999999999994,4.3,9.4,6.9,11.5,1.4,0.5,24.5,18.8,-0.2,0.1,-0.1,-0.051,-4.6,-1.7,-6.3,-0.1
Uwe Blab,C,26,DAL,37,208,10.8,0.54,0.0,0.48100000000000004,5.9,17.3,11.7,8.2,0.7,3.6,18.2,16.0,0.1,0.2,0.3,0.069,-4.2,0.5,-3.7,-0.1
Rolando Blackman,SG,29,DAL,78,2946,15.9,0.5429999999999999,0.068,0.29600000000000004,2.6,7.5,5.1,15.8,1.1,0.4,10.5,23.2,4.2,1.4,5.7,0.092,1.1,-1.7,-0.6,1.0
Muggsy Bogues,PG,24,CHH,79,1755,15.3,0.46299999999999997,0.031,0.21100000000000002,3.2,7.4,5.2,46.2,3.0,0.2,21.4,13.6,1.6,1.0,2.6,0.07,-1.2,-1.9,-3.1,-0.5
Manute Bol,C,26,GSW,80,1769,9.8,0.42100000000000004,0.265,0.192,6.6,19.5,13.1,1.8,0.3,10.8,17.5,9.7,-1.2,2.8,1.7,0.046,-5.7,4.7,-1.0,0.4
Anthony Bowie,SG,25,SAS,18,438,10.6,0.515,0.035,0.10400000000000001,6.0,8.1,7.0,9.3,1.9,0.5,12.7,15.3,0.2,0.3,0.5,0.054000000000000006,-1.9,-0.6,-2.5,-0.1
Sam Bowie,C,27,POR,20,412,13.7,0.49,0.046,0.32,9.2,19.1,14.0,11.4,0.8,4.7,15.9,19.4,0.0,0.5,0.5,0.063,-2.7,1.4,-1.2,0.1
Dudley Bradley,SG,31,ATL,38,267,6.1,0.387,0.36,0.18600000000000003,2.8,10.4,6.5,11.9,2.9,0.4,13.1,16.3,-0.3,0.3,0.0,0.004,-3.3,-0.1,-3.4,-0.1
Adrian Branch,SF,25,POR,67,811,15.7,0.509,0.071,0.275,8.2,9.6,8.8,10.8,2.6,0.2,11.6,26.3,0.7,0.8,1.5,0.087,-0.4,-2.2,-2.6,-0.1
Randy Breuer,C,28,MIL,48,513,13.8,0.496,0.0,0.285,11.3,19.2,15.2,6.2,0.9,4.5,12.6,18.6,0.2,0.7,0.9,0.083,-2.9,0.8,-2.0,0.0
Frank Brickowski,C,29,SAS,64,1822,15.0,0.563,0.003,0.43,8.5,16.3,12.2,10.4,2.6,1.1,17.5,20.1,1.4,2.2,3.6,0.094,-0.5,0.9,0.4,1.1
Scott Brooks,PG,23,PHI,82,1372,14.0,0.5329999999999999,0.41200000000000003,0.18600000000000003,1.5,6.2,3.8,28.9,2.4,0.1,13.9,14.1,2.3,0.6,2.9,0.10300000000000001,1.2,-2.7,-1.4,0.2
Mike Brown,C,25,UTA,66,1051,8.4,0.491,0.0,0.524,10.5,16.3,13.6,5.5,1.2,1.0,20.1,15.4,-0.4,1.8,1.4,0.064,-3.8,1.2,-2.6,-0.2
Tony Brown,SF-SG,28,TOT,43,365,10.3,0.486,0.136,0.263,6.8,6.9,6.8,9.8,2.0,0.7,11.4,16.7,0.2,0.4,0.5,0.071,-1.6,-0.9,-2.5,0.0
Mark Bryant,PF,23,POR,56,803,9.1,0.505,0.0,0.27899999999999997,8.5,15.9,12.1,5.3,1.2,0.5,12.9,15.3,0.4,0.7,1.1,0.063,-2.9,-1.2,-4.1,-0.4
Greg Butler,C,22,NYK,33,140,4.7,0.493,0.063,0.41700000000000004,7.0,15.5,11.1,1.8,0.3,0.8,23.0,20.4,-0.2,0.1,-0.1,-0.034,-7.4,-3.7,-11.1,-0.3
Michael Cage,PF,27,SEA,80,2536,14.7,0.5529999999999999,0.006,0.42100000000000004,11.8,22.3,16.9,6.4,1.7,1.2,14.2,13.7,3.7,2.9,6.7,0.126,0.3,1.3,1.6,2.3
Tony Campbell,SF,26,LAL,63,787,12.5,0.508,0.061,0.24100000000000002,8.0,10.2,9.2,8.5,2.3,0.4,14.0,23.3,0.2,0.9,1.1,0.065,-1.9,-1.5,-3.4,-0.3
Antoine Carr,PF,27,ATL,78,1488,12.7,0.541,0.002,0.32299999999999995,7.6,12.5,10.0,8.6,1.0,2.5,13.2,17.0,1.9,1.4,3.3,0.106,-0.7,0.4,-0.3,0.6
Joe Barry Carroll,C,30,NJN,64,1996,14.2,0.49700000000000005,0.0,0.272,6.4,20.4,13.2,8.0,1.7,2.4,13.6,21.5,0.1,2.2,2.3,0.055999999999999994,-2.6,1.2,-1.4,0.3
Bill Cartwright,C,31,CHI,78,2333,11.0,0.535,0.0,0.401,7.8,17.7,12.9,5.4,0.4,1.1,17.4,20.1,0.1,2.0,2.1,0.042,-3.5,-1.3,-4.8,-1.7
Terry Catledge,PF,25,WSB,79,2077,12.6,0.518,0.006999999999999999,0.373,11.6,18.8,15.0,5.0,1.1,0.7,13.1,17.6,1.4,1.9,3.3,0.077,-1.3,-0.6,-1.9,0.0
Ron Cavenall,C,29,NJN,5,16,7.4,0.5770000000000001,0.0,1.6669999999999998,0.0,14.4,6.9,0.0,0.0,7.4,27.8,18.4,0.0,0.0,0.0,-0.055,-9.7,-0.6,-10.4,0.0
Tom Chambers,PF,29,PHO,81,3002,19.3,0.547,0.052000000000000005,0.364,5.3,18.4,12.1,11.1,1.3,1.0,10.8,28.2,5.1,4.1,9.2,0.146,1.2,0.0,1.2,2.4
Mike Champion,SF,24,SEA,2,4,-43.7,0.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.8,-0.1,0.0,-0.1,-0.9520000000000001,-31.3,-9.6,-40.8,0.0
Rex Chapman,SG,21,CHH,75,2219,12.6,0.467,0.15,0.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,-0.7,0.4,-0.2,-0.005,-0.7,-2.5,-3.2,-0.7
Maurice Cheeks*,PG,32,PHI,71,2298,16.5,0.527,0.019,0.28,1.9,7.1,4.5,32.6,2.2,0.4,12.9,16.2,4.3,1.0,5.3,0.11,1.4,-1.5,-0.1,1.1
Derrick Chievous,SF,21,HOU,81,1539,11.6,0.506,0.038,0.385,8.1,9.9,9.0,7.4,1.5,0.4,15.5,22.9,0.0,1.6,1.6,0.05,-2.5,-1.4,-3.9,-0.7
Ben Coleman,PF,27,PHI,58,703,11.2,0.537,0.0,0.32,7.8,20.6,14.1,3.4,0.7,1.5,14.9,19.1,0.3,0.5,0.8,0.051,-3.4,-2.4,-5.8,-0.7
Steve Colter,PG,26,WSB,80,1425,14.1,0.503,0.055,0.365,4.6,9.6,7.0,21.2,2.3,0.6,10.8,16.7,1.8,1.3,3.1,0.105,-0.1,0.0,-0.1,0.7
Dallas Comegys,PF,24,SAS,67,1119,11.9,0.532,0.006,0.47200000000000003,10.5,12.5,11.5,3.7,1.7,3.4,17.1,17.3,0.3,1.1,1.4,0.06,-3.0,0.1,-2.9,-0.3
Lester Conner,PG,29,NJN,82,2532,17.2,0.531,0.055,0.39799999999999996,4.3,11.6,7.8,33.2,3.4,0.1,18.6,15.8,3.6,2.6,6.2,0.11800000000000001,1.2,1.3,2.4,2.8
Darwin Cook,SG,30,TOT,66,1143,11.8,0.495,0.086,0.163,3.0,7.2,5.0,15.6,2.8,0.5,14.7,20.3,-0.1,1.1,0.9,0.039,-2.3,-1.1,-3.3,-0.4
Michael Cooper,SG,32,LAL,80,1943,11.9,0.5489999999999999,0.425,0.188,2.0,8.5,5.5,20.3,1.8,0.9,14.9,13.4,2.6,1.8,4.4,0.11,0.7,-0.3,0.4,1.2
Wayne Cooper,C,32,DEN,79,1864,13.6,0.53,0.009000000000000001,0.239,11.1,23.8,17.1,5.0,0.9,6.4,13.0,11.6,1.9,3.1,5.0,0.128,-2.4,3.5,1.0,1.4
Tyrone Corbin,SF,26,PHO,77,1655,14.7,0.5920000000000001,0.004,0.39399999999999996,11.8,13.7,12.8,8.9,2.3,0.4,14.7,15.0,3.1,2.3,5.4,0.156,1.9,1.8,3.6,2.3
Dave Corzine,C,32,CHI,81,1483,10.8,0.49700000000000005,0.018000000000000002,0.218,7.4,16.8,12.3,9.5,1.0,1.8,16.2,16.6,-0.1,1.5,1.4,0.046,-3.5,0.2,-3.3,-0.5
Winston Crite,SF,23,PHO,2,6,-20.3,0.0,0.0,0.0,18.5,0.0,8.9,0.0,0.0,0.0,25.0,26.4,-0.1,0.0,-0.1,-0.57,-20.6,-6.5,-27.1,0.0
Pat Cummings,PF,32,MIA,53,1096,11.0,0.534,0.005,0.24600000000000002,8.3,21.0,14.4,6.8,1.3,1.0,20.3,20.3,-0.5,1.1,0.6,0.026000000000000002,-4.0,-0.7,-4.7,-0.7
Terry Cummings,SF,27,MIL,80,2824,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,4.2,3.5,7.7,0.131,1.6,0.0,1.7,2.6
Earl Cureton,C,31,CHH,82,2047,10.1,0.512,0.002,0.265,9.7,17.1,13.2,8.4,1.2,1.8,18.0,12.7,0.3,1.2,1.5,0.035,-2.2,1.7,-0.5,0.8
Dell Curry,SG,24,CHH,48,813,18.3,0.527,0.106,0.08800000000000001,3.4,11.2,7.1,11.2,2.5,0.3,7.5,29.5,0.4,0.5,0.9,0.052000000000000005,1.1,-2.5,-1.4,0.1
Quintin Dailey,SG,28,LAC,69,1722,16.3,0.511,0.009000000000000001,0.297,4.3,8.4,6.3,14.2,2.4,0.2,10.1,27.7,1.1,1.0,2.0,0.055999999999999994,-0.3,-2.4,-2.8,-0.3
Adrian Dantley*,SF,32,TOT,73,2422,17.4,0.581,0.001,0.595,5.5,9.0,7.3,10.9,0.9,0.3,11.9,24.3,5.5,1.9,7.4,0.147,1.5,-1.3,0.2,1.4
Brad Daugherty,C,23,CLE,78,2821,18.5,0.594,0.003,0.518,7.1,20.9,14.4,14.8,1.1,0.8,15.6,22.2,5.0,4.6,9.6,0.16399999999999998,1.2,1.4,2.6,3.3
Brad Davis,PG,33,DAL,78,1395,13.3,0.574,0.26899999999999996,0.325,1.1,7.3,4.3,25.2,1.7,0.8,17.5,16.3,1.8,1.0,2.7,0.094,-0.2,-1.8,-2.0,0.0
Charles Davis,SF,30,CHI,49,545,10.3,0.45899999999999996,0.079,0.13699999999999998,10.3,13.8,12.1,7.9,1.0,0.6,9.8,17.6,0.1,0.4,0.5,0.048,-2.9,-1.8,-4.6,-0.4
