Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tariq Abdul-Wahad,SG,27,TOT,24,441,9.8,0.418,0.013999999999999999,0.22399999999999998,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.003,-3.5,0.3,-3.2,-0.1
Shareef Abdur-Rahim,PF,25,ATL,77,2980,19.8,0.536,0.054000000000000006,0.40299999999999997,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,0.11599999999999999,1.2,0.8,2.0,3.0
Courtney Alexander,SG,24,WAS,56,1325,13.6,0.521,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,1.6,0.6,2.2,0.08,-0.5,-1.6,-2.1,0.0
Victor Alexander,C,32,DET,15,97,9.2,0.36700000000000005,0.039,0.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,-0.3,0.1,-0.1,-0.073,-7.9,-3.5,-11.4,-0.2
Malik Allen,PF,23,MIA,12,161,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.141,-2.3,0.9,-1.4,0.0
Ray Allen*,SG,26,MIL,69,2525,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,7.6,1.3,8.9,0.16899999999999998,6.4,-2.2,4.3,4.0
Rafer Alston,PG,25,MIL,50,600,13.9,0.434,0.37200000000000005,0.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.3,0.5,0.7,0.059000000000000004,-1.1,-2.1,-3.3,-0.2
John Amaechi,PF,31,UTA,54,586,5.4,0.41200000000000003,0.0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,-1.0,0.3,-0.7,-0.055999999999999994,-6.2,-2.1,-8.3,-0.9
Chris Andersen,C,23,DEN,24,262,13.8,0.41700000000000004,0.054000000000000006,0.37799999999999995,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0.0,0.3,0.3,0.057999999999999996,-4.1,2.2,-1.9,0.0
Derek Anderson,SG,27,POR,70,1860,15.5,0.5379999999999999,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,0.13699999999999998,2.0,-1.1,0.9,1.3
Kenny Anderson,PG,31,BOS,76,2430,13.6,0.47200000000000003,0.046,0.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,0.10300000000000001,-1.5,1.1,-0.3,1.0
