Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joe Dumars*,SG,26,DET,75,2578,17.2,0.555,0.052000000000000005,0.312,2.7,6.7,4.7,22.2,1.2,0.0,10.8,22.5,5.8,3.0,8.7,0.162,2.1,-0.5,1.5,2.3
Mike Dunleavy,PG,35,MIL,5,43,5.1,0.485,0.643,0.5710000000000001,0.0,5.4,2.7,30.6,1.1,0.0,31.3,24.9,-0.1,0.0,-0.1,-0.09,-5.4,-5.7,-11.1,-0.1
T.R. Dunn,SF,34,DEN,65,657,9.8,0.499,0.021,0.402,8.4,13.9,11.0,7.5,2.8,0.4,14.3,7.9,0.5,0.9,1.4,0.10099999999999999,-2.3,2.5,0.2,0.4
Ledell Eackles,SG,23,WSB,78,1696,14.3,0.496,0.063,0.298,4.7,6.5,5.6,16.2,1.4,0.1,11.9,29.1,0.2,0.8,1.0,0.028999999999999998,-0.8,-3.4,-4.2,-0.9
Mark Eaton,C,33,UTA,82,2281,10.6,0.561,0.0,0.39299999999999996,9.4,20.8,15.4,2.2,0.7,5.5,17.6,8.2,1.4,3.9,5.3,0.11199999999999999,-2.3,4.2,1.9,2.3
Blue Edwards,SF,24,UTA,82,1889,10.7,0.556,0.053,0.36,4.6,10.6,7.8,11.2,2.0,1.2,18.9,18.6,0.2,2.4,2.7,0.068,-1.5,1.5,0.0,1.0
James Edwards,C,34,DET,82,2283,13.3,0.5489999999999999,0.003,0.381,5.6,11.6,8.6,4.3,0.5,1.0,10.9,22.9,2.7,2.9,5.6,0.11699999999999999,-1.4,-1.0,-2.4,-0.2
Jay Edwards,SG,21,LAC,4,26,7.8,0.42100000000000004,0.28600000000000003,0.429,4.5,4.3,4.4,21.3,1.9,0.0,10.7,15.0,0.0,0.0,0.0,0.022000000000000002,-2.3,-2.7,-5.1,0.0
Kevin Edwards,SG,24,MIA,78,2211,11.6,0.451,0.031,0.191,3.7,10.6,7.0,16.8,2.7,0.9,14.8,22.2,-2.0,2.3,0.3,0.005,-3.1,0.8,-2.3,-0.1
Craig Ehlo,SG,28,CLE,81,2894,14.5,0.539,0.264,0.19699999999999998,5.6,11.4,8.5,19.5,2.2,0.5,13.6,17.7,3.3,3.2,6.5,0.10800000000000001,1.5,1.1,2.6,3.4
Sean Elliott,SF,21,SAS,81,2032,12.5,0.546,0.013999999999999999,0.33399999999999996,7.2,9.2,8.2,10.7,1.1,0.4,13.1,17.4,2.6,2.0,4.6,0.10800000000000001,-0.4,-0.6,-0.9,0.6
Dale Ellis,SG,29,SEA,55,2033,19.0,0.58,0.253,0.233,5.0,8.9,6.9,8.7,1.5,0.2,9.6,25.3,5.4,1.0,6.4,0.15,4.6,-2.1,2.5,2.3
Pervis Ellison,C,22,SAC,34,866,10.3,0.475,0.008,0.311,8.4,17.2,12.8,10.6,0.9,3.9,17.9,17.3,-0.5,0.9,0.4,0.021,-3.9,1.8,-2.1,0.0
Alex English*,SF,36,DEN,80,2211,17.9,0.522,0.004,0.142,5.3,8.4,6.8,15.6,1.1,0.6,6.3,26.0,3.3,1.7,5.1,0.11,1.5,-1.7,-0.2,1.0
Patrick Ewing*,C,27,NYK,82,3165,25.8,0.599,0.002,0.387,8.5,22.4,15.7,10.0,1.2,5.9,12.4,29.4,8.3,5.3,13.5,0.205,2.6,1.9,4.6,5.2
