Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shareef Abdur-Rahim,C,30,SAC,80,2015,13.1,0.524,0.031,0.358,7.0,16.4,11.6,9.2,1.3,1.5,13.3,19.5,1.1,1.7,2.8,0.067,-2.1,0.0,-2.1,-0.1
Hassan Adams,SG,22,NJN,61,495,13.0,0.5770000000000001,0.006999999999999999,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1.0,0.095,-2.4,-1.2,-3.6,-0.2
Maurice Ager,SG,22,DAL,32,214,2.9,0.408,0.214,0.47100000000000003,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,-0.5,0.2,-0.3,-0.06,-7.5,-1.8,-9.3,-0.4
LaMarcus Aldridge,C,21,POR,63,1392,17.1,0.5329999999999999,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,2.5,1.0,3.4,0.11800000000000001,-0.3,-0.6,-0.9,0.4
Malik Allen,PF,28,CHI,60,638,10.4,0.44299999999999995,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,-0.2,1.1,1.0,0.073,-4.9,-0.3,-5.2,-0.5
Ray Allen*,SG,31,SEA,55,2219,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,5.4,0.9,6.3,0.136,5.4,-2.1,3.4,3.0
Tony Allen,SG,25,BOS,33,805,17.0,0.596,0.127,0.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,0.8,1.1,1.9,0.111,0.0,1.1,1.1,0.6
Rafer Alston,PG,30,HOU,82,3040,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.10400000000000001,0.4,0.9,1.3,2.5
Lou Amundson,PF,24,TOT,11,89,9.6,0.41200000000000003,0.0,0.667,17.6,20.2,18.9,1.7,0.6,6.9,20.5,12.7,-0.1,0.1,0.1,0.039,-5.5,1.4,-4.1,0.0
Alan Anderson,SG,24,CHA,17,256,10.1,0.5379999999999999,0.247,0.284,4.9,10.0,7.4,13.8,1.4,0.0,19.4,20.1,0.0,0.1,0.1,0.024,-2.2,-1.8,-4.0,-0.1
Derek Anderson,SF,32,CHA,50,1190,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,2.0,0.9,2.9,0.11699999999999999,1.5,-0.4,1.0,0.9
