Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alaa Abdelnaby,PF,26,TOT,54,506,12.6,0.519,0.009000000000000001,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027000000000000003,-4.6,-1.7,-6.3,-0.6
Mahmoud Abdul-Rauf,PG,25,DEN,73,2082,17.8,0.5429999999999999,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,3.8,1.3,5.0,0.115,2.2,-2.8,-0.6,0.7
Michael Adams,PG,32,CHH,29,443,17.7,0.583,0.547,0.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,1.1,0.5,1.6,0.16899999999999998,3.1,-2.6,0.5,0.3
Rafael Addison,SF,30,DET,79,1776,11.3,0.521,0.142,0.16899999999999998,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,0.9,0.6,1.5,0.04,-1.9,-1.5,-3.4,-0.6
Danny Ainge,SG,35,PHO,74,1374,14.3,0.596,0.507,0.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,2.8,0.6,3.4,0.11800000000000001,2.1,-2.5,-0.4,0.6
Victor Alexander,C,25,GSW,50,1237,12.8,0.53,0.055999999999999994,0.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,0.3,0.8,1.1,0.044000000000000004,-2.4,-0.3,-2.7,-0.2
Derrick Alston,C,22,PHI,64,1032,11.6,0.48100000000000004,0.016,0.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,0.0,1.0,1.0,0.045,-2.9,0.5,-2.4,-0.1
Greg Anderson,PF,30,ATL,51,622,12.6,0.547,0.0,0.6829999999999999,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,0.3,1.3,1.5,0.11800000000000001,-4.1,2.7,-1.4,0.1
Kenny Anderson,PG,24,NJN,72,2689,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,0.122,3.5,-1.8,1.7,2.5
Nick Anderson,SG,27,ORL,76,2588,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.154,4.0,-0.2,3.9,3.8
Willie Anderson,SG,28,SAS,38,556,10.3,0.514,0.11699999999999999,0.253,3.2,7.8,5.6,13.8,2.4,1.2,17.4,17.3,0.0,0.7,0.7,0.061,-2.5,0.8,-1.7,0.0
Greg Anthony,PG,27,NYK,61,943,15.0,0.57,0.529,0.259,0.9,6.8,4.0,27.4,2.8,0.6,14.9,18.6,1.5,1.4,2.9,0.147,1.1,-0.9,0.1,0.5
B.J. Armstrong,PG,27,CHI,82,2577,15.1,0.5770000000000001,0.28300000000000003,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,5.4,2.8,8.1,0.152,1.3,-1.2,0.2,1.4
Darrell Armstrong,PG,26,ORL,3,8,40.2,0.563,0.75,0.25,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,0.1,0.0,0.1,0.49200000000000005,31.7,3.1,34.8,0.1
Vincent Askew,SG,28,SEA,71,1721,13.6,0.5770000000000001,0.187,0.47200000000000003,4.6,7.9,6.2,14.8,1.4,0.6,12.3,17.4,3.3,1.3,4.6,0.128,0.9,-1.1,-0.3,0.7
Keith Askins,SF,27,MIA,50,854,12.3,0.493,0.377,0.275,11.6,15.7,13.6,6.5,2.1,1.5,9.7,13.3,1.0,0.9,1.9,0.107,0.1,0.6,0.6,0.6
Stacey Augmon,SG,26,ATL,76,2362,16.0,0.512,0.03,0.395,7.6,10.7,9.1,14.3,2.3,1.5,12.9,22.7,1.9,3.2,5.1,0.10300000000000001,-0.8,1.2,0.4,1.4
Anthony Avent,PF,25,ORL,71,1066,9.8,0.466,0.0,0.307,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.1,1.5,1.5,0.069,-3.7,1.1,-2.7,-0.2
Vin Baker,PF,23,MIL,82,3361,16.6,0.511,0.02,0.35200000000000004,10.0,20.6,15.1,15.1,1.3,2.6,13.5,21.6,2.7,3.1,5.8,0.083,-0.1,1.7,1.6,3.1
Charles Barkley*,PF,31,PHO,68,2382,25.2,0.5720000000000001,0.192,0.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,7.4,3.3,10.6,0.214,4.9,1.6,6.4,5.1
Dana Barros,PG,27,PHI,82,3318,20.9,0.632,0.365,0.331,0.9,8.7,4.8,32.6,2.4,0.1,15.3,21.2,10.5,2.2,12.7,0.183,5.9,-1.6,4.3,5.3
Jon Barry,SG,25,MIL,52,602,12.6,0.564,0.358,0.597,2.9,7.0,4.9,21.2,2.6,0.5,19.5,15.5,0.7,0.4,1.1,0.084,-0.9,-1.6,-2.5,-0.1
John Battle,SG,32,CLE,28,280,10.8,0.462,0.272,0.228,1.3,3.7,2.5,24.6,1.6,0.3,11.9,24.4,0.0,0.3,0.2,0.038,-2.3,-3.8,-6.1,-0.3
Sergei Bazarevich,PG,29,ATL,10,74,13.6,0.578,0.273,0.409,1.5,9.7,5.5,31.4,0.7,1.0,21.2,20.2,0.1,0.1,0.2,0.10099999999999999,-1.8,-3.1,-4.9,-0.1
Benoit Benjamin,C,30,NJN,61,1598,13.9,0.555,0.0,0.33,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,0.1,2.1,2.2,0.066,-4.2,0.0,-4.3,-0.9
Elmer Bennett,PG,24,CLE,4,18,32.5,0.588,0.182,0.364,0.0,7.2,3.5,46.5,12.6,0.0,19.0,42.0,0.0,0.1,0.1,0.20600000000000002,8.0,5.7,13.8,0.1
Tony Bennett,PG,25,CHH,3,46,5.2,0.5379999999999999,0.6920000000000001,0.0,0.0,4.9,2.6,13.6,0.0,0.0,18.8,16.1,0.0,0.0,0.0,-0.006,-3.0,-4.1,-7.1,-0.1
David Benoit,SF,26,UTA,71,1841,13.9,0.564,0.196,0.267,6.9,17.6,12.5,4.7,1.3,2.1,10.3,18.0,2.3,2.4,4.6,0.121,0.0,0.5,0.5,1.2
James Blackwell,PG,26,TOT,13,80,11.6,0.628,0.0,0.231,2.8,13.0,8.0,20.0,2.6,0.0,25.9,10.6,0.1,0.1,0.2,0.091,-2.1,0.2,-1.9,0.0
Mookie Blaylock,PG,27,ATL,80,3069,19.2,0.531,0.46299999999999997,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,4.6,4.8,9.4,0.147,4.2,1.4,5.5,5.8
Corie Blount,PF,26,CHI,68,889,11.7,0.49700000000000005,0.01,0.319,14.2,17.6,15.9,9.8,1.5,2.8,19.8,14.9,0.3,1.5,1.7,0.094,-2.5,2.0,-0.5,0.3
Muggsy Bogues,PG,30,CHH,78,2629,16.9,0.5329999999999999,0.040999999999999995,0.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,5.8,2.8,8.6,0.157,1.0,-0.8,0.2,1.5
Manute Bol,C,32,GSW,5,81,9.5,0.75,0.5,0.0,1.4,15.2,8.2,0.0,0.0,7.6,9.1,5.7,0.1,0.1,0.1,0.083,-3.9,0.8,-3.0,0.0
Walter Bond,SG,25,TOT,23,290,10.3,0.5770000000000001,0.488,0.23800000000000002,3.6,9.8,6.8,12.1,1.1,1.1,15.5,17.1,0.2,0.2,0.4,0.07200000000000001,0.1,-1.3,-1.2,0.1
Anthony Bonner,PF,26,NYK,58,1126,9.4,0.49700000000000005,0.026000000000000002,0.34700000000000003,12.2,15.0,13.7,10.5,2.2,1.5,26.2,12.3,-0.2,2.0,1.8,0.079,-2.9,3.4,0.6,0.7
Anthony Bowie,SG,31,ORL,77,1261,11.7,0.532,0.10800000000000001,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1.0,1.0,2.0,0.077,-1.2,-0.7,-2.0,0.0
Sam Bowie,C,33,LAL,67,1225,10.4,0.5,0.040999999999999995,0.33299999999999996,6.5,19.5,13.0,13.2,0.9,4.5,22.9,14.0,-0.3,1.4,1.1,0.044000000000000004,-4.2,2.3,-1.9,0.0
Shawn Bradley,C,22,PHI,82,2365,14.8,0.489,0.004,0.335,11.9,20.7,16.2,3.7,1.2,8.5,15.2,17.7,-0.1,3.6,3.5,0.071,-3.6,3.4,-0.2,1.1
Terrell Brandon,PG,24,CLE,67,1961,18.7,0.527,0.159,0.244,2.2,9.9,5.9,35.8,3.1,0.6,14.6,24.2,2.6,3.0,5.6,0.13699999999999998,2.0,0.5,2.5,2.2
Tim Breaux,SF,24,HOU,42,340,8.9,0.449,0.207,0.405,5.7,5.8,5.7,6.6,1.6,0.8,10.1,20.9,-0.2,0.2,0.0,0.0,-4.5,-2.7,-7.2,-0.4
Scott Brooks,PG,29,TOT,59,808,14.9,0.55,0.251,0.287,1.8,7.3,4.5,22.0,2.1,0.3,13.2,18.6,1.3,0.5,1.9,0.11,0.0,-2.1,-2.1,0.0
Chucky Brown,SF,26,HOU,41,814,12.4,0.619,0.017,0.35600000000000004,9.5,16.8,13.3,5.5,0.7,1.2,12.6,12.7,1.3,0.8,2.1,0.12300000000000001,-1.1,-0.3,-1.4,0.1
