Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Kareem Abdul-Jabbar*,C,40,LAL,80,80,2308,10.1,19.0,0.532,0.0,0.0,0.0,10.1,18.9,0.532,4.3,5.6,0.762,2.5,7.6,10.0,2.8,1.0,1.9,3.3,4.5,24.4,0,109,107
Mark Acres,C,25,BOS,79,5,1151,4.6,8.6,0.532,0.0,0.0,0.0,4.6,8.6,0.532,3.0,4.7,0.64,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,0,113,109
Alvan Adams,C,33,PHO,82,25,1646,7.2,14.6,0.496,0.0,0.1,0.5,7.2,14.5,0.496,3.1,3.7,0.8440000000000001,3.4,7.1,10.5,5.3,2.4,1.2,4.0,7.1,17.6,0,103,109
Michael Adams,PG,25,DEN,82,75,2778,6.8,15.2,0.449,2.3,6.2,0.36700000000000005,4.5,9.0,0.505,2.7,3.3,0.8340000000000001,0.7,3.0,3.7,8.2,2.8,0.3,2.4,2.3,18.6,0,115,107
Mark Aguirre,SF,28,DAL,77,77,2610,14.1,29.8,0.475,1.0,3.3,0.302,13.2,26.5,0.496,7.4,9.6,0.77,3.5,4.8,8.2,5.3,1.3,1.1,3.8,4.2,36.6,0,113,109
Danny Ainge,SG,28,BOS,81,81,3018,7.8,15.9,0.491,2.4,5.8,0.415,5.4,10.1,0.534,2.6,2.9,0.878,1.0,3.1,4.0,8.2,1.9,0.3,2.5,3.3,20.6,0,121,112
Mark Alarie,PF,24,WSB,63,0,769,9.2,19.1,0.48,0.3,1.1,0.222,8.9,17.9,0.496,2.2,3.1,0.7140000000000001,4.5,5.7,10.2,2.5,0.6,0.8,3.2,6.8,20.8,0,103,110
Steve Alford,PG,23,DAL,28,0,197,5.3,13.8,0.382,0.3,2.0,0.125,5.0,11.8,0.426,4.0,4.3,0.941,0.8,5.0,5.8,5.8,4.3,0.8,3.0,5.8,14.8,0,101,103
Greg Anderson,PF,23,SAS,82,45,1984,8.8,17.5,0.501,0.0,0.1,0.2,8.8,17.4,0.503,4.6,7.6,0.604,3.7,8.2,11.9,1.8,1.3,2.8,3.3,5.3,22.2,0,103,110
Richard Anderson,PF,27,TOT,74,3,1350,5.9,15.1,0.39,1.6,5.2,0.32,4.2,9.9,0.426,2.0,2.6,0.753,3.1,7.3,10.4,3.8,1.8,0.5,2.1,4.7,15.4,0,105,107
Ron Anderson,SF,29,IND,74,1,1097,9.7,19.5,0.498,0.0,0.1,0.0,9.7,19.4,0.5,4.8,6.3,0.7659999999999999,4.0,5.7,9.6,3.5,1.8,0.3,3.3,4.4,24.2,0,108,108
Joe Arlauckas,SF,22,SAC,9,0,85,7.8,24.1,0.326,0.0,0.0,0.0,7.8,24.1,0.326,3.4,4.5,0.75,3.4,3.9,7.3,4.5,1.7,2.2,2.2,9.0,19.0,0,88,112
Vincent Askew,SG,21,PHI,14,2,234,4.7,15.8,0.297,0.0,0.0,0.0,4.7,15.8,0.297,1.7,2.3,0.727,1.3,3.4,4.7,7.0,2.1,1.3,2.6,2.6,11.1,0,83,111
John Bagley,PG,27,NJN,82,74,2774,6.9,15.7,0.439,0.8,2.8,0.292,6.1,12.9,0.47100000000000003,2.6,3.2,0.8220000000000001,1.1,3.4,4.5,8.4,1.9,0.2,3.5,2.8,17.2,0,102,111
James Bailey,PF,30,PHO,65,0,869,5.9,13.2,0.452,0.0,0.2,0.0,5.9,12.9,0.46,3.8,4.9,0.787,4.0,7.5,11.5,2.3,0.9,1.5,3.8,9.8,15.7,0,97,111
Thurl Bailey,SF,26,UTA,82,10,2804,10.7,21.7,0.49200000000000005,0.0,0.1,0.33299999999999996,10.7,21.6,0.493,5.7,6.9,0.826,2.3,6.7,9.0,2.7,0.8,2.1,3.2,3.1,27.0,0,106,104
Charles Barkley*,PF,24,PHI,80,80,3170,11.9,20.2,0.5870000000000001,0.7,2.5,0.28,11.2,17.8,0.63,11.3,15.0,0.7509999999999999,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,0,126,108
John Battle,SG,25,ATL,67,1,1227,11.3,24.9,0.45399999999999996,0.6,1.7,0.39,10.6,23.2,0.45799999999999996,5.7,7.6,0.75,1.1,3.5,4.6,6.4,1.3,0.2,3.0,3.4,28.9,0,108,111
William Bedford,C,24,DET,38,0,298,7.2,16.5,0.436,0.0,0.0,0.0,7.2,16.5,0.436,2.1,3.8,0.565,4.4,6.2,10.6,0.7,1.3,2.8,3.1,7.7,16.5,0,92,104
Benoit Benjamin,C,23,LAC,66,59,2171,7.5,15.2,0.491,0.0,0.2,0.0,7.5,15.0,0.496,3.9,5.6,0.706,2.5,9.2,11.6,3.8,1.1,4.9,4.9,4.5,18.9,0,94,103
Kent Benson,C,33,CLE,2,0,12,8.2,8.2,1.0,0.0,0.0,0.0,8.2,8.2,1.0,4.1,8.2,0.5,0.0,4.1,4.1,0.0,4.1,4.1,8.2,8.2,20.5,0,82,100
Walter Berry,SF,23,SAS,73,56,1922,12.9,23.0,0.563,0.0,0.0,0.0,12.9,23.0,0.563,4.6,7.7,0.6,4.2,5.2,9.5,2.6,1.3,1.5,3.9,5.0,30.4,0,109,113
Larry Bird*,SF,31,BOS,76,75,2965,14.6,27.6,0.527,1.6,3.9,0.414,12.9,23.7,0.546,6.9,7.5,0.9159999999999999,1.8,9.8,11.6,7.7,2.1,0.9,3.5,2.6,37.6,0,121,106
Otis Birdsong,SG,32,NJN,67,59,1882,8.7,19.0,0.45799999999999996,0.2,0.6,0.36,8.5,18.4,0.461,1.2,2.4,0.511,1.9,2.4,4.3,5.7,1.4,0.3,3.3,3.7,18.9,0,95,113
Uwe Blab,C,25,DAL,73,1,658,4.4,9.9,0.439,0.0,0.0,0.0,4.4,9.9,0.439,3.5,4.9,0.708,3.9,6.2,10.1,2.6,0.6,2.2,3.7,8.1,12.2,0,97,109
Rolando Blackman,SG,28,DAL,71,69,2580,9.5,20.1,0.473,0.0,0.1,0.0,9.5,20.0,0.47600000000000003,6.3,7.3,0.873,1.6,3.1,4.7,5.0,1.2,0.3,2.8,2.1,25.4,0,115,111
Nate Blackwell,PG,22,SAS,10,0,112,6.2,16.8,0.366,0.8,4.5,0.182,5.3,12.3,0.433,2.1,2.5,0.833,0.8,1.6,2.5,7.4,1.2,0.0,3.3,6.6,15.2,0,92,117
Muggsy Bogues,PG,23,WSB,79,14,1628,5.0,12.8,0.39,0.1,0.5,0.188,4.9,12.3,0.39799999999999996,1.7,2.2,0.784,1.1,3.0,4.1,12.1,3.8,0.1,3.0,4.1,11.8,0,101,106
Manute Bol,C,25,WSB,77,4,1136,3.2,7.1,0.455,0.0,0.0,0.0,3.2,7.1,0.457,1.1,2.1,0.531,3.1,8.7,11.8,0.6,0.5,9.0,1.5,6.9,7.6,0,98,101
Dudley Bradley,SG,30,TOT,65,15,1437,5.3,12.4,0.42700000000000005,1.3,3.5,0.363,4.0,8.9,0.452,2.5,3.3,0.763,0.8,3.5,4.3,5.1,3.9,1.5,3.0,5.8,14.3,0,100,106
Adrian Branch,SF,24,NJN,20,3,308,8.9,21.2,0.418,0.2,0.8,0.2,8.7,20.4,0.426,3.2,3.6,0.87,3.2,4.4,7.6,2.5,2.5,1.7,4.6,6.5,21.0,0,89,108
Randy Breuer,C,27,MIL,81,73,2258,8.5,17.2,0.495,0.0,0.0,0.0,8.5,17.2,0.495,4.1,6.2,0.657,4.2,7.8,12.0,2.2,1.0,2.3,2.3,4.3,21.1,0,109,106
Frank Brickowski,C,28,SAS,70,68,2227,8.8,16.6,0.528,0.0,0.1,0.2,8.8,16.5,0.53,5.5,7.2,0.768,3.4,6.5,10.0,5.5,1.5,0.7,4.3,5.7,23.1,0,110,113
