Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,10.0,21.0,0.475,0.2,0.7,0.265,9.8,20.4,0.48200000000000004,7.4,8.6,0.8690000000000001,3.8,9.0,12.8,3.5,1.4,0.7,3.7,4.4,27.6,0,110,105
Malik Allen,PF,25,MIA,45,6,616,7.4,17.5,0.419,0.0,0.0,0.0,7.4,17.5,0.419,2.2,2.9,0.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,0,93,101
Ray Allen*,SG,28,SEA,56,56,2152,11.1,25.2,0.44,3.7,9.4,0.392,7.4,15.8,0.46799999999999997,6.1,6.7,0.904,1.7,5.4,7.1,6.6,1.8,0.3,3.9,3.3,31.9,0,112,110
Rafer Alston,PG,27,MIA,82,28,2581,6.1,16.2,0.376,3.4,9.2,0.371,2.7,7.0,0.382,2.2,2.8,0.769,0.5,4.2,4.8,7.9,2.4,0.4,2.7,4.5,17.7,0,105,102
Chris Andersen,PF,25,DEN,71,0,1029,4.5,10.1,0.44299999999999995,0.0,0.0,0.0,4.5,10.1,0.446,3.1,5.3,0.589,4.4,10.4,14.9,1.7,1.7,5.7,2.4,5.9,12.1,0,100,96
Derek Anderson,SG,29,POR,51,46,1810,7.1,18.8,0.376,2.4,8.0,0.305,4.6,10.9,0.428,4.8,5.8,0.8240000000000001,0.8,4.8,5.6,7.0,2.0,0.1,2.8,2.4,21.3,0,107,107
Kenny Anderson,PG,33,IND,44,31,905,6.8,15.5,0.441,0.1,0.2,0.25,6.8,15.3,0.444,2.1,2.9,0.7290000000000001,1.2,3.8,4.9,7.6,1.6,0.3,3.0,4.4,15.9,0,98,101
Shandon Anderson,SG,30,NYK,80,37,1974,6.5,15.3,0.42200000000000004,1.0,3.5,0.281,5.5,11.8,0.46299999999999997,3.3,4.4,0.764,1.4,4.6,6.0,3.3,1.8,0.5,3.2,4.9,17.2,0,96,105
Carmelo Anthony,SF,19,DEN,82,82,2995,10.7,25.2,0.426,1.2,3.7,0.322,9.5,21.5,0.444,7.0,9.0,0.777,3.1,5.4,8.6,3.9,1.7,0.7,4.2,3.9,29.6,0,102,105
Robert Archibald,C-PF,23,TOT,32,3,256,1.9,7.1,0.273,0.0,0.0,0.0,1.9,7.1,0.273,3.0,6.7,0.452,4.5,6.7,11.2,2.8,3.0,0.6,2.2,10.8,6.9,0,84,98
