Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Arron Afflalo,SG,24,DEN,82,75,2221,6.2,13.3,0.465,2.5,5.7,0.434,3.7,7.7,0.488,1.6,2.2,0.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,0,114,111
Alexis Ajinça,C,21,CHA,6,0,30,8.9,17.7,0.5,0.0,0.0,0.0,8.9,17.7,0.5,0.0,1.8,0.0,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,0,81,103
LaMarcus Aldridge,PF,24,POR,78,78,2922,10.8,21.9,0.495,0.1,0.3,0.313,10.7,21.6,0.498,4.3,5.7,0.757,3.6,8.1,11.7,3.0,1.3,0.9,1.9,4.3,26.1,0,113,107
Joe Alexander,SF,23,CHI,8,0,29,1.8,10.7,0.16699999999999998,0.0,1.8,0.0,1.8,8.9,0.2,3.6,5.3,0.667,3.6,5.3,8.9,3.6,1.8,1.8,0.0,16.0,7.1,0,88,104
Malik Allen,PF,31,DEN,51,3,456,5.1,12.9,0.397,0.1,0.7,0.16699999999999998,5.0,12.2,0.409,1.3,1.4,0.9229999999999999,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,0,93,110
Ray Allen*,SG,34,BOS,80,80,2819,8.6,18.1,0.47700000000000004,2.7,7.4,0.363,5.9,10.7,0.556,4.3,4.7,0.9129999999999999,0.8,3.9,4.7,3.9,1.2,0.5,2.4,3.4,24.2,0,115,108
Tony Allen,SG,28,BOS,54,8,889,7.6,14.9,0.51,0.0,0.3,0.0,7.6,14.6,0.52,4.2,7.0,0.605,3.1,5.5,8.5,4.2,3.5,1.1,3.9,6.4,19.4,0,101,101
Rafer Alston,PG,33,TOT,52,38,1421,5.8,16.6,0.348,2.2,6.3,0.345,3.6,10.4,0.349,2.2,3.0,0.728,0.5,4.3,4.8,6.6,1.9,0.4,3.5,3.8,15.9,0,89,109
Lou Amundson,PF,27,PHO,79,0,1168,6.6,11.9,0.551,0.0,0.0,0.0,6.6,11.9,0.5529999999999999,2.9,5.3,0.545,5.5,9.4,14.9,1.3,1.0,3.1,2.5,7.3,16.0,0,113,107
Chris Andersen,PF,31,DEN,76,0,1695,4.2,7.5,0.5660000000000001,0.0,0.1,0.0,4.2,7.4,0.573,4.9,7.1,0.695,4.4,10.0,14.4,1.0,1.3,4.3,1.8,5.1,13.4,0,126,103
David Andersen,C,29,HOU,63,0,891,8.4,19.5,0.43200000000000005,1.5,4.5,0.34600000000000003,6.9,15.0,0.45799999999999996,2.6,3.8,0.687,3.1,8.8,11.9,2.5,0.9,0.7,2.1,6.8,21.0,0,103,108
Antonio Anderson,SF,24,OKC,1,0,15,3.4,10.3,0.33299999999999996,0.0,0.0,0.0,3.4,10.3,0.33299999999999996,0.0,0.0,0.0,3.4,0.0,3.4,0.0,0.0,0.0,3.4,3.4,6.9,0,66,114
Ryan Anderson,PF,21,ORL,63,6,911,9.7,22.2,0.436,4.5,12.1,0.37,5.2,10.1,0.514,4.1,4.7,0.866,4.0,7.6,11.6,2.1,1.4,0.8,3.2,4.6,27.9,0,112,103
Carmelo Anthony,SF,25,DEN,69,69,2634,13.2,28.9,0.45799999999999996,1.1,3.6,0.316,12.1,25.3,0.478,9.8,11.8,0.83,2.9,5.8,8.7,4.3,1.7,0.6,4.0,4.3,37.4,0,110,109
Joel Anthony,C,27,MIA,80,16,1322,3.1,6.4,0.478,0.0,0.0,0.0,3.1,6.4,0.478,2.7,3.7,0.7170000000000001,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,0,112,103
Gilbert Arenas,PG,28,WAS,32,32,1169,11.3,27.6,0.41100000000000003,2.8,8.1,0.348,8.5,19.5,0.43700000000000006,6.9,9.3,0.7390000000000001,0.8,5.2,6.0,10.3,1.8,0.4,5.2,4.3,32.3,0,103,110
Trevor Ariza,SF,24,HOU,72,71,2629,7.6,19.4,0.39399999999999996,2.6,7.9,0.33399999999999996,5.0,11.5,0.436,2.9,4.4,0.649,1.5,6.3,7.8,5.4,2.4,0.8,3.1,3.1,20.8,0,99,106
Hilton Armstrong,PF-C,25,TOT,33,0,335,4.3,12.2,0.354,0.0,0.2,0.0,4.3,12.0,0.359,2.3,4.9,0.469,4.2,8.3,12.5,3.2,2.3,1.8,3.4,9.1,10.9,0,83,106
Carlos Arroyo,PG,30,MIA,72,35,1585,6.0,12.7,0.475,0.2,0.8,0.28,5.8,11.8,0.489,2.6,3.0,0.8440000000000001,0.9,3.5,4.4,7.6,1.2,0.2,1.8,3.4,14.8,0,115,108
Darrell Arthur,PF,21,MEM,32,1,457,7.1,16.4,0.43200000000000005,0.0,0.1,0.0,7.1,16.3,0.434,1.9,3.4,0.5670000000000001,4.2,8.2,12.3,1.7,1.6,1.6,2.5,6.7,16.1,0,96,108
