Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Quincy Acy,PF,22,TOR,29,0,342,6.5,11.6,0.56,0.2,0.3,0.5,6.4,11.3,0.562,4.8,5.9,0.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,0,120,105
Jeff Adrien,PF,26,CHA,52,5,713,5.3,12.4,0.429,0.0,0.1,0.0,5.3,12.2,0.434,4.8,7.4,0.65,5.0,9.4,14.4,2.7,1.3,2.0,2.4,5.9,15.4,0,105,109
Arron Afflalo,SF,27,ORL,64,64,2307,9.0,20.4,0.439,1.6,5.4,0.3,7.3,15.0,0.489,4.3,5.0,0.857,0.7,4.7,5.4,4.7,0.9,0.2,3.1,3.1,23.9,0,102,112
Josh Akognon,PG,26,DAL,3,0,9,11.3,22.7,0.5,5.7,11.3,0.5,5.7,11.3,0.5,0.0,0.0,0.0,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,0,130,111
Cole Aldrich,C,24,TOT,45,0,388,5.7,10.4,0.55,0.0,0.0,0.0,5.7,10.4,0.55,1.6,2.6,0.6,3.9,11.7,15.6,1.2,0.7,3.0,3.0,7.8,13.0,0,102,105
LaMarcus Aldridge,PF,27,POR,74,74,2790,12.0,24.8,0.484,0.0,0.3,0.14300000000000002,12.0,24.6,0.488,5.3,6.6,0.81,3.3,9.3,12.6,3.6,1.2,1.7,2.7,3.5,29.4,0,108,107
Lavoy Allen,C,23,PHI,79,37,1669,6.5,14.3,0.45399999999999996,0.0,0.0,0.0,6.5,14.3,0.455,1.4,1.9,0.7170000000000001,5.0,7.5,12.5,2.3,0.8,1.7,1.7,5.7,14.4,0,103,106
Ray Allen*,SG,37,MIA,79,0,2035,7.6,16.9,0.449,3.6,8.6,0.419,4.0,8.3,0.48,3.6,4.1,0.8859999999999999,1.0,4.6,5.6,3.5,1.7,0.4,2.7,3.4,22.5,0,112,107
Tony Allen,SG,31,MEM,79,79,2109,7.3,16.4,0.445,0.1,0.6,0.125,7.2,15.8,0.45799999999999996,3.4,4.8,0.7170000000000001,3.1,6.2,9.3,2.5,3.1,1.1,2.4,5.4,18.1,0,102,98
Al-Farouq Aminu,SF,22,NOH,76,71,2066,5.9,12.4,0.475,0.1,0.5,0.21100000000000002,5.8,11.9,0.486,2.7,3.6,0.737,3.6,11.7,15.4,2.7,2.4,1.3,3.0,4.0,14.6,0,101,105
Lou Amundson,PF,30,TOT,39,0,372,4.6,11.6,0.395,0.0,0.0,0.0,4.6,11.6,0.395,1.7,5.1,0.33299999999999996,6.9,8.3,15.1,1.6,2.3,1.7,2.7,7.6,10.8,0,89,105
Chris Andersen,C,34,MIA,42,0,624,6.0,10.4,0.5770000000000001,0.2,0.3,0.667,5.9,10.2,0.575,5.3,7.9,0.677,4.8,9.8,14.6,1.4,1.4,3.7,2.0,7.6,17.6,0,125,100
Alan Anderson,SF,30,TOR,65,2,1495,8.4,21.9,0.38299999999999995,3.4,10.1,0.33299999999999996,5.0,11.8,0.426,4.5,5.2,0.857,1.2,4.0,5.3,3.7,1.7,0.2,2.8,4.7,24.6,0,101,110
James Anderson,SG-SF,23,TOT,39,2,401,6.5,15.8,0.413,2.6,7.5,0.35,3.9,8.3,0.47,3.0,3.5,0.857,2.3,6.8,9.0,5.3,1.9,0.6,3.1,3.1,18.6,0,107,105
Ryan Anderson,PF,24,NOH,81,22,2503,10.2,24.2,0.423,4.6,12.1,0.382,5.6,12.1,0.46399999999999997,3.3,3.9,0.8440000000000001,4.1,7.1,11.2,2.1,0.9,0.7,2.1,3.9,28.4,0,114,112
Carmelo Anthony,PF,28,NYK,67,67,2482,14.4,32.1,0.449,3.4,8.9,0.379,11.0,23.2,0.47600000000000003,9.2,11.0,0.83,2.9,7.0,9.9,3.7,1.1,0.7,3.8,4.4,41.4,0,112,108
Joel Anthony,C,30,MIA,62,3,566,3.3,6.4,0.515,0.0,0.0,0.0,3.3,6.4,0.515,1.6,2.6,0.607,4.2,6.5,10.8,1.2,1.2,3.9,2.1,4.6,8.1,0,108,103
Trevor Ariza,SF,27,WAS,56,15,1471,6.7,16.0,0.41700000000000004,2.7,7.4,0.364,4.0,8.6,0.46299999999999997,2.8,3.4,0.821,1.6,7.9,9.4,4.0,2.5,0.7,3.0,2.5,18.8,0,102,101
Darrell Arthur,PF,24,MEM,59,3,970,9.1,20.1,0.451,0.3,1.0,0.278,8.8,19.1,0.46,1.8,2.6,0.7170000000000001,3.8,5.7,9.5,1.8,1.3,1.8,2.4,7.1,20.3,0,99,102
Ömer Aşık,C,26,HOU,82,82,2464,6.7,12.4,0.541,0.0,0.0,0.0,6.7,12.4,0.542,3.4,6.1,0.562,5.6,13.8,19.4,1.5,0.9,1.8,3.5,4.5,16.9,0,105,103
