Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Alaa Abdelnaby,PF,24,TOT,75,52,1311,9.4,18.2,0.518,0.0,0.0,0.0,9.4,18.2,0.519,3.4,4.5,0.759,4.9,8.1,13.0,1.0,1.0,1.0,3.7,7.3,22.3,0,104,108
Mahmoud Abdul-Rauf,PG,23,DEN,81,81,2710,11.2,25.0,0.45,1.2,3.5,0.355,10.0,21.5,0.465,3.9,4.1,0.935,0.9,3.1,4.0,6.1,1.5,0.1,3.3,3.2,27.6,0,107,110
Mark Acres,C,30,TOT,18,7,269,4.8,9.0,0.531,0.2,0.4,0.5,4.6,8.6,0.532,2.0,2.9,0.688,4.8,7.5,12.3,0.9,0.5,1.1,2.4,6.2,11.7,0,107,111
Michael Adams,PG,30,WSB,70,70,2499,7.2,16.3,0.439,1.3,4.2,0.321,5.8,12.2,0.48,4.7,5.4,0.856,1.0,3.7,4.7,10.3,2.0,0.1,3.4,2.9,20.4,0,110,113
Rafael Addison,SF,28,NJN,68,15,1164,7.8,17.6,0.44299999999999995,0.3,1.5,0.20600000000000002,7.5,16.2,0.46399999999999997,2.4,3.0,0.8140000000000001,1.9,3.7,5.7,2.3,1.0,0.5,2.7,5.4,18.4,0,98,109
Mark Aguirre,SF,33,DET,51,15,1056,9.1,20.6,0.44299999999999995,1.5,4.0,0.361,7.7,16.5,0.46299999999999997,4.8,6.3,0.767,2.1,5.3,7.4,5.1,0.8,0.3,3.3,4.9,24.5,0,108,111
Danny Ainge,SG,33,PHO,80,0,2163,7.5,16.2,0.462,3.3,8.3,0.40299999999999997,4.2,8.0,0.522,2.7,3.2,0.848,1.1,3.7,4.8,5.8,1.5,0.2,2.5,3.9,21.1,0,120,110
Victor Alexander,C,23,GSW,72,59,1753,9.5,18.4,0.516,0.3,0.6,0.455,9.2,17.7,0.518,3.1,4.5,0.685,3.6,7.9,11.6,2.6,0.9,1.5,3.3,6.0,22.3,0,107,110
Eric Anderson,PF,22,NYK,16,0,44,5.8,20.8,0.278,0.0,0.0,0.0,5.8,20.8,0.278,12.7,15.0,0.846,6.9,9.2,16.2,3.5,3.5,1.2,5.8,16.2,24.2,0,94,93
Kenny Anderson,PG,22,NJN,55,55,2010,9.2,21.1,0.435,0.2,0.6,0.28,9.0,20.5,0.44,4.5,5.8,0.7759999999999999,1.3,4.4,5.6,11.2,2.4,0.3,3.8,3.5,23.1,0,106,106
Nick Anderson,SG,25,ORL,79,76,2920,10.1,22.6,0.449,1.5,4.3,0.353,8.6,18.4,0.47100000000000003,5.1,6.9,0.741,2.1,6.1,8.1,4.5,2.2,1.0,2.8,3.4,26.9,0,109,106
Ron Anderson,SF,34,PHI,69,0,1263,8.7,21.0,0.414,1.5,4.6,0.325,7.2,16.4,0.439,2.8,3.4,0.809,2.4,4.7,7.1,3.6,1.2,0.2,2.4,2.9,21.7,0,99,113
Willie Anderson,SG,26,SAS,38,7,560,7.2,16.7,0.43,0.1,0.7,0.125,7.1,16.0,0.444,2.0,2.5,0.7859999999999999,0.6,4.5,5.1,7.1,1.3,0.5,4.0,4.7,16.4,0,91,110
Greg Anthony,PG,25,NYK,70,35,1699,5.2,12.5,0.415,0.1,0.9,0.133,5.1,11.6,0.43700000000000006,3.2,4.8,0.6729999999999999,1.3,3.8,5.1,11.9,3.4,0.4,3.1,4.2,13.7,0,105,99
B.J. Armstrong,PG,25,CHI,82,74,2492,8.5,17.0,0.499,1.3,2.9,0.45299999999999996,7.2,14.1,0.508,2.7,3.1,0.861,0.6,2.5,3.1,6.9,1.4,0.1,1.7,3.5,21.0,0,123,111
Vincent Askew,SG,26,TOT,73,4,1129,6.7,13.6,0.49200000000000005,0.1,0.3,0.33299999999999996,6.6,13.4,0.495,4.6,6.6,0.705,2.7,4.4,7.1,5.4,1.8,0.8,3.0,6.0,18.1,0,112,108
Keith Askins,SF,25,MIA,69,1,935,4.8,11.6,0.413,1.2,3.5,0.33799999999999997,3.6,8.0,0.446,1.6,2.2,0.725,4.0,6.7,10.7,1.7,1.7,1.6,2.0,7.7,12.3,0,105,107
Stacey Augmon,SG,24,ATL,73,66,2112,9.2,18.4,0.501,0.0,0.1,0.0,9.2,18.4,0.504,5.3,7.2,0.7390000000000001,3.3,3.4,6.7,4.0,2.1,0.4,3.7,3.3,23.8,0,109,112
Isaac Austin,C,23,UTA,46,3,306,8.1,18.2,0.446,0.0,0.2,0.0,8.1,18.0,0.45,4.7,7.1,0.659,6.2,6.7,12.8,1.0,1.3,2.3,3.7,9.7,21.0,0,98,107
Anthony Avent,PF,23,MIL,82,78,2285,7.6,17.5,0.433,0.0,0.0,0.0,7.6,17.5,0.434,2.4,3.8,0.6509999999999999,3.9,7.3,11.2,2.0,1.2,1.6,3.1,5.2,17.6,0,93,110
John Bagley,PG,32,BOS,10,0,97,4.7,13.0,0.36,0.0,0.5,0.0,4.7,12.5,0.375,2.6,3.1,0.833,0.5,3.1,3.6,10.4,1.0,0.0,8.9,5.7,12.0,0,70,112
Thurl Bailey,PF,31,MIN,70,3,1276,8.1,17.9,0.455,0.0,0.0,0.0,8.1,17.9,0.455,4.8,5.7,0.838,2.1,6.5,8.6,2.4,0.8,1.9,2.4,3.5,21.0,0,104,113
