Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3.0,13.9,0.214,0.0,0.0,0.0,3.0,13.9,0.214,4.0,4.0,1.0,6.0,4.0,9.9,4.0,1.0,0.0,1.0,8.9,9.9,0,95,114
Arron Afflalo,SG,22,DET,75,9,970,5.6,13.7,0.41100000000000003,0.6,2.7,0.20800000000000002,5.0,10.9,0.461,3.9,4.9,0.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,0,104,104
Maurice Ager,SG,23,TOT,26,3,165,6.7,20.8,0.32299999999999995,1.0,6.1,0.158,5.8,14.7,0.391,1.9,3.8,0.5,1.3,2.9,4.2,2.6,0.0,0.3,1.9,5.4,16.3,0,77,114
Blake Ahearn,PG,23,MIA,12,0,177,4.5,17.1,0.263,3.0,10.2,0.294,1.5,6.9,0.217,9.0,9.3,0.968,0.3,5.4,5.7,5.7,1.8,0.0,4.8,6.0,21.0,0,94,111
LaMarcus Aldridge,PF,22,POR,76,76,2649,11.6,23.9,0.484,0.0,0.1,0.14300000000000002,11.5,23.8,0.486,4.7,6.1,0.762,4.5,7.4,11.9,2.5,1.1,1.9,2.6,4.9,27.8,0,108,107
Malik Allen,PF,29,TOT,73,16,1096,7.5,15.7,0.48,0.0,0.1,0.5,7.5,15.6,0.48,1.1,1.2,0.92,3.2,6.3,9.4,2.1,0.9,1.5,2.2,7.2,16.3,0,100,109
Ray Allen*,SG,32,BOS,73,73,2624,8.8,19.8,0.445,3.6,9.1,0.39799999999999996,5.2,10.7,0.485,4.3,4.8,0.907,1.5,3.9,5.4,4.5,1.3,0.3,2.6,3.0,25.6,0,116,103
Tony Allen,SG,26,BOS,75,11,1373,6.5,15.0,0.434,0.7,2.2,0.316,5.8,12.8,0.455,5.3,7.0,0.762,1.3,5.2,6.5,4.4,2.4,0.8,4.2,6.5,19.0,0,98,99
Lance Allred,C,26,CLE,3,0,10,5.3,21.3,0.25,0.0,0.0,0.0,5.3,21.3,0.25,5.3,10.6,0.5,0.0,5.3,5.3,0.0,0.0,0.0,0.0,5.3,16.0,0,72,112
Morris Almond,SG,22,UTA,9,0,39,5.3,19.8,0.267,1.3,5.3,0.25,4.0,14.5,0.273,5.3,7.9,0.667,0.0,2.6,2.6,4.0,1.3,0.0,2.6,6.6,17.2,0,81,111
Rafer Alston,PG,31,HOU,74,74,2526,7.7,19.4,0.39399999999999996,3.0,8.6,0.35100000000000003,4.6,10.9,0.42700000000000005,2.1,2.9,0.715,0.6,4.9,5.5,8.2,2.1,0.4,3.4,2.9,20.4,0,102,103
Lou Amundson,PF,25,PHI,16,0,64,6.6,13.3,0.5,0.0,0.0,0.0,6.6,13.3,0.5,1.7,5.8,0.28600000000000003,5.8,4.1,10.0,0.0,0.8,0.8,1.7,10.8,14.9,0,101,110
Chris Andersen,C,29,NOH,5,0,34,3.1,11.0,0.28600000000000003,0.0,0.0,0.0,3.1,11.0,0.28600000000000003,3.1,6.3,0.5,3.1,11.0,14.1,0.0,0.0,6.3,1.6,9.4,9.4,0,78,101
Derek Anderson,SG,33,CHA,28,0,396,6.2,16.5,0.376,2.5,6.9,0.365,3.7,9.6,0.384,3.7,5.0,0.737,1.2,5.7,6.9,5.8,1.6,0.1,3.3,6.5,18.6,0,99,111
Carmelo Anthony,SF,23,DEN,77,77,2806,12.5,25.4,0.49200000000000005,1.0,2.8,0.354,11.5,22.6,0.509,8.0,10.1,0.7859999999999999,3.1,6.7,9.8,4.4,1.7,0.7,4.3,4.3,33.9,0,109,107
Joel Anthony,PF,25,MIA,24,1,498,3.0,6.4,0.467,0.0,0.0,0.0,3.0,6.4,0.467,3.1,5.2,0.5920000000000001,4.1,5.9,9.9,0.3,1.0,3.3,1.8,5.9,9.1,0,104,109
Gilbert Arenas,PG,26,WAS,13,8,425,9.8,24.7,0.39799999999999996,2.8,9.8,0.282,7.1,14.9,0.475,9.3,12.1,0.7709999999999999,0.8,5.7,6.4,8.3,2.9,0.1,6.2,3.8,31.8,0,102,109
Trevor Ariza,SF,22,TOT,35,3,546,6.4,12.6,0.507,0.5,1.7,0.278,5.9,10.9,0.542,4.5,6.9,0.653,2.8,7.2,10.0,4.1,2.9,1.0,2.1,4.2,17.7,0,116,103
Darrell Armstrong,PG,39,NJN,50,2,549,3.8,10.5,0.364,2.2,6.6,0.33299999999999996,1.6,3.9,0.415,1.9,2.9,0.667,1.6,4.8,6.4,7.0,2.7,0.2,3.9,5.1,11.8,0,95,109
Hilton Armstrong,C,23,NOH,65,3,732,4.9,10.8,0.45299999999999996,0.0,0.0,0.0,4.9,10.8,0.45299999999999996,3.2,5.1,0.629,4.7,7.1,11.9,1.7,1.1,2.5,4.3,9.5,13.0,0,92,105
Carlos Arroyo,PG,28,ORL,62,20,1269,6.4,14.1,0.451,1.2,3.4,0.345,5.2,10.7,0.485,3.5,4.1,0.853,0.4,4.2,4.6,8.9,1.1,0.1,3.1,3.4,17.4,0,111,109
Chucky Atkins,SG,33,DEN,24,0,352,5.7,16.7,0.344,3.4,10.8,0.316,2.3,5.9,0.395,0.5,1.2,0.444,0.4,3.8,4.2,6.4,1.2,0.1,1.4,3.7,15.4,0,101,111
James Augustine,PF,23,ORL,25,0,149,6.2,11.7,0.529,0.0,0.0,0.0,6.2,11.7,0.529,1.4,2.8,0.5,5.5,4.8,10.4,0.7,1.7,0.7,2.1,6.2,13.8,0,109,106
Kelenna Azubuike,SG,24,GSW,81,17,1732,7.3,16.5,0.445,2.0,5.5,0.364,5.3,11.0,0.485,2.8,3.9,0.7170000000000001,3.0,6.1,9.1,2.1,1.3,1.0,1.6,4.5,19.4,0,112,111
Renaldo Balkman,SF,23,NYK,65,0,952,5.0,10.2,0.489,0.1,0.7,0.083,5.0,9.6,0.517,2.3,5.2,0.43200000000000005,4.6,7.3,11.9,2.2,2.4,1.7,2.0,7.3,12.3,0,104,108
Marcus Banks,PG,26,TOT,36,3,569,7.7,17.2,0.45,3.6,9.2,0.392,4.1,8.0,0.517,2.4,3.1,0.7709999999999999,0.4,3.7,4.0,5.5,1.3,1.2,3.3,5.8,21.5,0,106,111
Leandro Barbosa,SG,25,PHO,82,12,2421,9.7,20.9,0.462,3.4,8.7,0.389,6.3,12.3,0.514,3.6,4.4,0.8220000000000001,0.8,3.9,4.7,4.4,1.5,0.4,2.4,4.0,26.3,0,111,111
J.J. Barea,PG,23,DAL,44,9,460,8.2,19.7,0.418,2.4,6.2,0.389,5.8,13.4,0.431,3.2,4.1,0.8,0.5,5.0,5.4,6.7,1.6,0.1,4.1,5.6,22.1,0,99,108
Andrea Bargnani,PF,22,TOR,78,53,1861,8.0,20.7,0.386,2.6,7.5,0.345,5.4,13.3,0.409,4.1,4.8,0.84,1.4,6.8,8.2,2.5,0.7,1.1,2.5,6.0,22.6,0,98,109
Matt Barnes,PF,27,GSW,73,18,1414,6.4,15.2,0.423,1.8,6.2,0.293,4.6,9.0,0.513,2.0,2.7,0.747,3.2,7.9,11.1,4.8,1.6,1.2,2.9,5.5,16.7,0,105,108
Andre Barrett,PG,25,LAC,4,0,25,4.2,10.4,0.4,2.1,6.3,0.33299999999999996,2.1,4.2,0.5,2.1,4.2,0.5,0.0,2.1,2.1,14.6,0.0,0.0,2.1,2.1,12.5,0,117,116
Earl Barron,C,26,MIA,46,15,889,7.9,19.6,0.40399999999999997,0.1,0.8,0.077,7.8,18.8,0.41700000000000004,3.6,5.2,0.701,4.0,7.8,11.8,1.7,1.1,0.5,2.9,6.8,19.5,0,91,110
Brent Barry,SF,36,SAS,31,1,554,7.5,15.6,0.48100000000000004,4.7,10.9,0.429,2.8,4.7,0.604,1.9,2.0,0.95,1.2,4.2,5.4,5.3,1.7,0.3,1.8,4.2,21.6,0,128,104
Brandon Bass,C,22,DAL,79,1,1557,8.4,16.9,0.499,0.0,0.1,0.0,8.4,16.7,0.503,5.5,6.7,0.8220000000000001,4.1,7.8,11.9,2.0,0.8,1.6,2.8,5.1,22.4,0,112,106
Maceo Baston,PF,32,TOR,15,2,103,8.8,12.9,0.68,0.0,0.0,0.0,8.8,12.9,0.68,3.6,5.2,0.7,4.6,8.8,13.4,1.5,1.0,2.1,2.1,10.3,21.2,0,131,105
Shane Battier,SF,29,HOU,80,78,2907,4.8,11.3,0.428,2.5,6.7,0.377,2.3,4.6,0.504,1.4,1.8,0.743,2.4,5.0,7.4,2.8,1.4,1.6,1.4,3.6,13.6,0,117,103
Marco Belinelli,SG,21,GSW,33,0,241,7.3,18.7,0.387,3.2,8.3,0.39,4.0,10.5,0.385,1.4,1.8,0.778,0.6,2.2,2.8,3.0,1.0,0.0,2.4,3.0,19.1,0,97,115
Charlie Bell,SG,28,MIL,68,5,1628,6.0,15.7,0.381,2.4,7.0,0.341,3.6,8.7,0.413,2.3,2.8,0.805,1.0,4.4,5.4,6.8,1.7,0.1,2.5,3.9,16.6,0,105,115
Raja Bell,SG,31,PHO,75,75,2646,5.9,14.1,0.42100000000000004,3.3,8.2,0.401,2.6,5.9,0.449,1.5,1.7,0.868,0.9,4.3,5.1,3.2,1.0,0.5,1.2,4.1,16.7,0,113,111
Mike Bibby,PG,29,TOT,48,44,1573,8.2,20.0,0.41100000000000003,3.1,8.2,0.375,5.1,11.8,0.43700000000000006,2.6,3.3,0.78,0.5,4.8,5.3,9.6,1.8,0.1,3.9,3.2,22.1,0,104,111
Andris Biedriņš,C,21,GSW,76,59,2078,7.9,12.7,0.626,0.0,0.0,0.0,7.9,12.7,0.626,2.7,4.4,0.62,6.0,11.4,17.4,1.8,1.3,2.2,2.0,6.1,18.6,0,127,106
Chauncey Billups,PG,31,DET,78,78,2522,8.6,19.1,0.44799999999999995,3.0,7.5,0.401,5.6,11.7,0.479,8.7,9.5,0.9179999999999999,0.9,3.7,4.6,11.5,2.2,0.4,3.5,2.8,28.9,0,127,105
Steve Blake,PG,27,POR,81,78,2424,5.9,14.4,0.408,2.7,6.7,0.406,3.2,7.7,0.409,1.1,1.4,0.7659999999999999,0.7,3.7,4.4,9.3,1.2,0.1,2.5,3.0,15.6,0,109,112
Andray Blatche,PF,21,WAS,82,15,1675,8.1,17.2,0.474,0.1,0.4,0.231,8.0,16.8,0.48,3.4,4.9,0.695,5.3,8.4,13.6,2.9,1.7,3.7,3.6,8.3,19.8,0,103,105
Mark Blount,C,32,MIA,69,46,1542,8.2,17.8,0.462,0.6,1.5,0.386,7.6,16.2,0.469,3.0,4.8,0.638,2.4,6.7,9.1,1.4,1.1,1.2,2.4,4.6,20.0,0,97,111
Keith Bogans,SG,27,ORL,82,35,2198,5.6,13.8,0.41,3.5,9.6,0.36200000000000004,2.2,4.2,0.52,1.9,2.6,0.736,1.0,5.2,6.2,2.4,1.4,0.2,1.2,3.8,16.6,0,113,107
Andrew Bogut,C,23,MIL,78,78,2720,9.0,17.6,0.511,0.0,0.1,0.0,9.0,17.4,0.515,3.7,6.2,0.5870000000000001,4.7,10.0,14.7,3.8,1.2,2.6,3.3,4.9,21.6,0,107,109
Matt Bonner,PF,27,SAS,68,3,853,7.7,18.4,0.41600000000000004,2.9,8.7,0.336,4.8,9.8,0.48700000000000004,2.4,2.8,0.8640000000000001,3.4,8.8,12.2,2.0,0.9,1.1,2.5,7.0,20.7,0,104,102
Josh Boone,PF,23,NJN,70,53,1773,7.0,12.8,0.5479999999999999,0.0,0.0,0.0,7.0,12.8,0.5479999999999999,2.9,6.4,0.456,5.7,9.4,15.1,1.6,1.1,1.8,2.0,4.6,17.0,0,110,108
Calvin Booth,C,31,PHI,31,0,204,2.3,7.0,0.33299999999999996,0.0,0.0,0.0,2.3,7.0,0.33299999999999996,1.6,2.6,0.6,1.6,8.3,9.9,2.1,1.6,4.7,1.0,9.1,6.2,0,91,102
Carlos Boozer,PF,26,UTA,81,81,2827,12.9,23.6,0.547,0.0,0.0,0.0,12.9,23.6,0.547,5.3,7.2,0.738,3.6,11.8,15.4,4.2,1.8,0.7,3.8,5.3,31.1,0,112,103
Chris Bosh,C,23,TOR,67,67,2425,11.1,22.5,0.494,0.2,0.5,0.4,10.9,22.0,0.496,10.4,12.3,0.8440000000000001,3.8,9.0,12.8,3.8,1.4,1.5,3.4,3.4,32.8,0,117,105
Bruce Bowen,SF,36,SAS,81,81,2448,3.8,9.5,0.40700000000000003,2.0,4.7,0.419,1.9,4.7,0.39399999999999996,1.0,1.5,0.652,0.7,4.4,5.2,2.0,1.2,0.5,1.0,3.9,10.7,0,106,105
Ryan Bowen,SF,32,NOH,53,4,660,4.0,8.1,0.49,0.0,0.1,0.0,4.0,8.0,0.495,1.3,2.3,0.552,4.4,3.6,8.1,2.0,2.6,0.9,1.2,6.2,9.2,0,115,106
Earl Boykins,PG,31,CHA,36,0,577,5.5,15.6,0.355,1.3,4.0,0.318,4.3,11.6,0.36700000000000005,4.4,5.3,0.831,0.8,2.3,3.1,8.7,1.2,0.0,3.7,1.9,16.8,0,97,114
Elton Brand,PF,28,LAC,8,6,274,9.9,21.7,0.456,0.0,0.0,0.0,9.9,21.7,0.456,7.0,8.9,0.787,4.0,8.2,12.2,3.0,0.6,2.9,3.2,4.0,26.8,0,104,108
Corey Brewer,SF,21,MIN,79,35,1803,5.3,14.1,0.374,0.2,1.0,0.19399999999999998,5.1,13.0,0.389,2.6,3.2,0.8,2.4,6.1,8.5,3.2,2.2,0.7,2.6,5.4,13.3,0,91,110
Ronnie Brewer,SG,22,UTA,76,76,2088,8.7,15.6,0.5579999999999999,0.3,1.2,0.22,8.5,14.4,0.5870000000000001,4.8,6.3,0.759,2.4,3.0,5.4,3.3,3.2,0.5,1.7,2.7,22.5,0,124,106
Primož Brezec,C,28,TOT,50,18,475,4.9,10.5,0.46799999999999997,0.0,0.0,0.0,4.9,10.5,0.46799999999999997,2.7,4.5,0.6,3.3,5.7,9.0,1.2,0.3,0.8,2.7,9.3,12.5,0,95,111
Aaron Brooks,PG,23,HOU,51,0,608,8.1,19.7,0.413,3.1,9.5,0.33,5.0,10.1,0.491,3.7,4.3,0.857,1.1,3.8,4.9,7.6,1.1,0.4,3.8,6.0,23.1,0,107,106
Andre Brown,PF,26,MEM,33,1,286,6.9,13.7,0.5,0.0,0.0,0.0,6.9,13.7,0.5,3.9,8.6,0.449,6.5,9.7,16.2,1.4,1.2,0.7,2.5,6.7,17.6,0,105,110
