Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Kareem Abdul-Jabbar*,C,32,LAL,82,0,3143,12.3,20.3,0.604,0.0,0.0,0.0,12.3,20.3,0.604,5.3,7.0,0.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,0,118,100
Tom Abernethy,PF,25,GSW,67,0,1222,6.0,12.4,0.48100000000000004,0.0,0.0,0.0,6.0,12.4,0.483,2.2,3.2,0.6829999999999999,2.4,5.0,7.5,3.4,1.4,0.5,1.5,4.6,14.1,0,109,108
Alvan Adams,C,25,PHO,75,0,2168,9.8,18.5,0.531,0.0,0.0,0.0,9.8,18.4,0.5329999999999999,4.0,5.0,0.797,3.3,9.5,12.9,6.8,2.3,1.2,4.6,5.0,23.6,0,107,99
Tiny Archibald*,PG,31,BOS,80,80,2864,6.3,13.0,0.48200000000000004,0.1,0.3,0.222,6.2,12.7,0.488,5.9,7.1,0.83,1.0,2.3,3.2,11.0,1.7,0.2,4.0,3.6,18.5,0,115,105
Dennis Awtrey,C,31,CHI,26,0,560,2.3,5.0,0.45,0.0,0.0,0.0,2.3,5.0,0.45,2.7,4.2,0.64,2.4,7.2,9.7,3.4,1.0,1.3,2.3,5.6,7.2,0,102,107
Gus Bailey,SG,28,WSB,20,0,180,4.2,9.1,0.457,0.3,0.3,1.0,3.9,8.8,0.441,1.3,3.4,0.385,1.6,5.7,7.3,6.8,1.8,1.0,2.9,4.7,9.9,0,95,105
James Bailey,PF,22,SEA,67,0,726,7.9,17.6,0.45,0.0,0.0,0.0,7.9,17.6,0.45,4.4,6.6,0.6729999999999999,4.6,8.2,12.8,1.8,1.4,3.5,5.1,7.5,20.3,0,93,98
Greg Ballard,SF,25,WSB,82,0,2438,10.5,21.1,0.495,0.3,0.9,0.34,10.1,20.2,0.502,3.3,4.4,0.753,4.6,7.6,12.2,3.1,1.7,0.7,2.6,3.8,24.5,0,110,104
Mike Bantom,SF,28,IND,77,0,2330,7.6,15.0,0.505,0.0,0.1,0.33299999999999996,7.6,14.9,0.506,2.7,4.1,0.665,3.8,5.2,9.0,5.5,1.7,1.0,3.7,5.3,17.9,0,105,107
Marvin Barnes,PF,27,SDC,20,0,287,4.0,9.9,0.4,0.0,0.0,0.0,4.0,9.9,0.4,2.6,5.3,0.5,5.6,7.1,12.7,3.0,0.8,2.0,3.0,8.6,10.6,0,95,109
Rick Barry*,SF,35,HOU,72,0,1816,8.5,20.1,0.42200000000000004,1.9,5.8,0.33,6.6,14.4,0.45799999999999996,3.7,4.0,0.935,1.4,4.8,6.2,7.0,2.1,0.7,4.0,4.8,22.6,0,106,108
