Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Chris Mullin*,SF,34,IND,82,82,2177,8.4,17.4,0.48100000000000004,2.7,6.1,0.44,5.7,11.3,0.503,3.9,4.1,0.9390000000000001,1.0,5.3,6.2,4.7,2.4,1.0,2.9,4.7,23.3,0,114,101
Eric Murdock,PG,29,MIA,82,1,1395,6.9,16.4,0.42200000000000004,1.1,3.6,0.308,5.8,12.8,0.45399999999999996,4.9,6.1,0.8009999999999999,1.5,4.6,6.1,8.6,4.0,0.5,4.1,6.8,19.8,0,106,100
Lamond Murray,SF,24,LAC,79,65,2579,9.5,19.8,0.48100000000000004,1.1,3.1,0.353,8.4,16.7,0.504,4.4,5.9,0.748,3.5,6.3,9.7,2.9,2.4,1.1,3.4,3.9,24.6,0,107,110
Tracy Murray,SF,26,WAS,82,12,2227,10.5,23.6,0.446,3.7,9.5,0.392,6.8,14.2,0.48200000000000004,4.3,4.9,0.871,1.8,4.7,6.5,2.0,1.6,0.6,2.4,3.9,29.1,0,112,107
Dikembe Mutombo*,C,31,ATL,82,82,2917,7.5,13.9,0.537,0.0,0.0,0.0,7.5,13.9,0.537,5.7,8.5,0.67,5.2,12.3,17.5,1.5,0.6,5.2,3.2,4.8,20.7,0,114,99
Martin Müürsepp,PF,23,DAL,41,7,603,7.3,16.9,0.435,1.4,3.4,0.42100000000000004,5.9,13.5,0.43799999999999994,4.5,5.9,0.7609999999999999,4.1,6.0,10.1,2.7,2.6,1.2,2.6,8.5,20.6,0,108,105
Pete Myers,SG,34,NYK,9,0,40,6.8,13.6,0.5,0.0,0.0,0.0,6.8,13.6,0.5,5.4,8.2,0.667,6.8,6.8,13.6,4.1,5.4,0.0,5.4,9.5,19.0,0,101,93
Steve Nash*,PG,23,PHO,76,9,1664,8.5,18.4,0.45899999999999996,2.6,6.2,0.415,5.9,12.3,0.48100000000000004,2.3,2.7,0.86,1.0,4.0,5.0,8.3,2.0,0.1,3.1,4.6,21.8,0,111,105
Ivano Newbill,PF,27,VAN,28,2,249,4.2,11.9,0.35100000000000003,0.2,0.2,1.0,4.0,11.7,0.33899999999999997,3.6,6.3,0.5670000000000001,5.0,9.4,14.4,1.9,2.1,0.6,3.6,8.0,12.1,0,86,109
Johnny Newman,SF,34,DEN,74,15,2176,8.5,19.7,0.431,0.9,2.6,0.34299999999999997,7.6,17.1,0.444,9.0,10.9,0.82,1.2,2.2,3.5,3.4,1.9,0.6,3.6,5.1,26.8,0,107,115
Jeff Nordgaard,PF,24,MIL,13,0,48,5.5,20.0,0.278,0.0,0.0,0.0,5.5,20.0,0.278,8.9,10.0,0.889,4.4,11.1,15.5,3.3,2.2,0.0,3.3,7.8,20.0,0,93,102
Charles O'Bannon,SG,22,DET,30,0,234,6.0,16.0,0.377,0.0,0.7,0.0,6.0,15.3,0.39399999999999996,2.8,3.5,0.8,3.3,4.4,7.7,4.0,2.1,0.2,2.1,3.5,14.9,0,97,105
Jermaine O'Neal,PF,19,POR,60,9,808,7.4,15.2,0.485,0.0,0.1,0.0,7.4,15.1,0.489,3.0,5.9,0.506,5.3,8.0,13.3,1.1,1.0,3.8,3.6,6.7,17.8,0,96,100
Shaquille O'Neal*,C,25,LAL,60,57,2175,15.8,27.1,0.584,0.0,0.0,0.0,15.8,27.1,0.584,8.5,16.1,0.527,4.9,11.2,16.1,3.3,0.9,3.4,4.1,4.6,40.1,0,113,101
Charles Oakley,PF,34,NYK,79,79,2734,6.1,13.9,0.44,0.0,0.1,0.0,6.1,13.8,0.444,1.9,2.3,0.851,4.3,10.1,14.4,4.0,2.4,0.4,2.5,5.6,14.2,0,102,97
Hakeem Olajuwon*,C,35,HOU,47,45,1633,9.9,20.4,0.483,0.0,0.1,0.0,9.9,20.4,0.486,5.2,6.8,0.755,3.7,11.1,14.9,4.6,2.7,3.1,4.1,4.9,24.9,0,105,101
Brian Oliver,SG,29,ATL,5,0,61,6.3,17.1,0.368,0.0,0.0,0.0,6.3,17.1,0.368,0.9,3.6,0.25,2.7,5.4,8.1,1.8,0.9,0.0,0.9,3.6,13.5,0,88,108
Jimmy Oliver,SG,28,WAS,1,0,10,10.5,20.9,0.5,5.2,10.5,0.5,5.2,10.5,0.5,0.0,0.0,0.0,0.0,10.5,10.5,5.2,0.0,0.0,0.0,5.2,26.1,0,137,106
Kevin Ollie,PG,25,TOT,35,0,430,4.7,12.4,0.37799999999999995,0.0,0.1,0.0,4.7,12.2,0.381,6.2,8.8,0.7,1.1,3.8,4.9,8.2,1.6,0.0,5.5,3.9,15.5,0,90,109
Greg Ostertag,C,24,UTA,63,23,1288,4.8,10.0,0.48100000000000004,0.0,0.0,0.0,4.8,10.0,0.48100000000000004,2.8,5.9,0.479,5.6,10.0,15.6,1.0,1.2,5.5,3.1,6.9,12.4,0,98,100
Bo Outlaw,PF,26,ORL,82,76,2953,5.6,10.1,0.5539999999999999,0.0,0.1,0.25,5.6,10.1,0.557,3.4,5.8,0.575,4.8,7.1,11.9,4.0,2.0,3.4,3.3,4.9,14.6,0,109,101
Doug Overton,PG,28,PHI,23,2,277,4.6,12.1,0.381,0.0,0.6,0.0,4.6,11.5,0.4,2.7,3.1,0.875,0.4,2.3,2.7,7.1,1.5,0.2,4.4,6.5,11.9,0,85,110
Billy Owens,SF,28,SAC,78,78,2348,7.5,16.2,0.46399999999999997,0.6,1.6,0.371,6.9,14.6,0.474,2.6,4.4,0.589,3.8,9.1,12.9,4.9,2.1,0.8,3.4,5.1,18.2,0,100,104
Robert Pack,PG,28,DAL,12,10,292,6.0,17.9,0.337,0.5,1.1,0.5,5.5,16.8,0.326,4.6,6.6,0.6940000000000001,1.5,4.8,6.2,7.7,3.7,0.2,6.9,3.1,17.2,0,78,105
Anthony Parker,SG,22,PHI,37,0,196,6.8,17.1,0.397,2.4,7.6,0.321,4.3,9.5,0.457,3.5,5.4,0.65,2.2,4.9,7.0,5.1,3.0,0.8,3.0,4.6,19.5,0,103,105
Cherokee Parks,C,25,MIN,79,43,1703,6.8,13.7,0.499,0.0,0.0,0.0,6.8,13.6,0.5,3.3,5.1,0.6509999999999999,4.3,9.0,13.3,1.6,1.1,2.6,2.0,7.2,17.0,0,109,105
Gary Payton*,PG,29,SEA,82,82,3145,9.8,21.7,0.45299999999999996,2.3,6.7,0.33799999999999997,7.6,15.0,0.505,4.7,6.4,0.7440000000000001,1.3,5.1,6.4,11.5,3.1,0.3,3.9,3.3,26.7,0,114,103
Anthony Peeler,SG,28,TOT,38,32,1193,8.3,18.3,0.452,2.3,5.4,0.424,6.0,12.8,0.46399999999999997,1.6,2.0,0.7659999999999999,1.6,3.7,5.3,6.0,2.7,0.3,2.2,4.2,20.4,0,110,109
Will Perdue,C,32,SAS,79,30,1491,5.9,10.7,0.5489999999999999,0.0,0.0,0.0,5.9,10.7,0.551,2.5,4.8,0.526,6.4,13.0,19.5,2.1,0.8,1.8,2.9,5.0,14.3,0,108,96
Sam Perkins,PF,36,SEA,81,0,1675,6.3,15.0,0.41600000000000004,2.8,7.1,0.392,3.5,7.9,0.43799999999999994,3.2,4.1,0.789,1.7,6.4,8.1,3.6,2.0,0.9,2.0,5.0,18.5,0,112,104
