Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Jeff Adrien,PF,24,GSW,23,0,196,5.9,13.9,0.426,0.0,0.0,0.0,5.9,13.9,0.426,2.8,4.9,0.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,0,102,110
Arron Afflalo,SG,25,DEN,69,69,2324,6.7,13.5,0.498,2.3,5.4,0.423,4.5,8.2,0.546,3.0,3.5,0.847,1.0,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,0,123,111
Maurice Ager,SG,26,MIN,4,0,29,10.3,18.9,0.545,5.1,6.9,0.75,5.1,12.0,0.429,0.0,0.0,0.0,0.0,3.4,3.4,1.7,1.7,0.0,6.9,6.9,25.7,0,94,114
Alexis Ajinça,C,22,TOT,34,2,340,9.0,20.3,0.444,1.8,5.2,0.353,7.2,15.1,0.475,2.0,2.7,0.722,2.6,9.3,11.9,1.5,1.7,2.9,2.7,11.1,21.8,0,98,107
Solomon Alabi,C,22,TOR,12,0,59,2.6,13.1,0.2,0.0,0.0,0.0,2.6,13.1,0.2,0.0,1.8,0.0,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,0,61,112
Cole Aldrich,C,22,OKC,18,0,142,2.9,5.5,0.5329999999999999,0.0,0.0,0.0,2.9,5.5,0.5329999999999999,0.7,1.5,0.5,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,0,98,104
LaMarcus Aldridge,PF,25,POR,81,81,3211,12.0,24.1,0.5,0.1,0.4,0.174,12.0,23.7,0.505,6.0,7.5,0.7909999999999999,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,0,114,107
Malik Allen,PF,32,ORL,18,0,178,3.3,9.2,0.355,0.0,0.0,0.0,3.3,9.2,0.355,0.3,0.6,0.5,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,0,92,105
Ray Allen*,SG,35,BOS,80,80,2890,8.8,18.0,0.491,3.1,6.9,0.444,5.7,11.0,0.52,3.5,4.0,0.8809999999999999,0.9,4.1,5.0,4.0,1.4,0.3,2.2,2.7,24.3,0,116,104
Tony Allen,SG,29,MEM,72,31,1494,8.8,17.2,0.51,0.1,0.8,0.174,8.6,16.4,0.527,4.8,6.4,0.753,2.4,4.3,6.7,3.6,4.5,1.5,3.0,5.6,22.5,0,110,101
Al-Farouq Aminu,SF,20,LAC,81,14,1452,5.7,14.5,0.39399999999999996,1.6,5.1,0.315,4.1,9.4,0.43700000000000006,3.3,4.2,0.773,2.7,6.8,9.5,2.1,2.1,0.9,3.7,4.3,16.3,0,94,108
Lou Amundson,PF,28,GSW,46,7,691,6.1,13.4,0.45399999999999996,0.0,0.0,0.0,6.1,13.4,0.45399999999999996,2.5,6.4,0.391,5.9,7.6,13.6,1.2,1.0,2.4,1.8,6.4,14.7,0,101,110
Chris Andersen,C,32,DEN,45,0,732,5.6,9.4,0.599,0.0,0.1,0.0,5.6,9.3,0.603,5.9,9.3,0.637,5.1,9.9,15.0,1.4,1.6,4.0,1.7,5.4,17.2,0,129,102
David Andersen,PF,30,TOT,40,0,373,8.0,17.2,0.46299999999999997,1.1,3.3,0.348,6.8,14.0,0.49,2.0,3.1,0.636,2.8,9.1,12.0,1.9,0.7,1.3,3.1,5.7,19.1,0,97,108
James Anderson,SF,21,SAS,26,2,286,5.6,14.7,0.38299999999999995,3.3,8.4,0.391,2.4,6.4,0.371,2.5,3.3,0.778,0.4,3.8,4.2,3.3,0.5,1.1,2.4,4.4,17.1,0,102,110
Ryan Anderson,PF,22,ORL,64,14,1424,8.3,19.4,0.43,5.0,12.6,0.39299999999999996,3.4,6.8,0.5,3.5,4.3,0.812,4.8,8.3,13.1,1.9,1.1,1.4,1.8,5.1,25.2,0,122,102
Carmelo Anthony,SF,26,TOT,77,77,2751,12.5,27.4,0.455,1.7,4.6,0.37799999999999995,10.8,22.9,0.47,9.3,11.0,0.838,2.2,8.1,10.3,4.0,1.2,0.8,3.8,4.1,36.0,0,109,108
Joel Anthony,C,28,MIA,75,11,1463,1.9,3.6,0.535,0.0,0.0,0.0,1.9,3.6,0.535,1.7,2.6,0.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7.0,5.5,0,120,104
Gilbert Arenas,PG,29,TOT,70,16,1796,7.8,21.3,0.366,2.8,9.5,0.297,5.0,11.8,0.423,3.5,4.4,0.784,0.6,4.8,5.5,7.9,2.1,0.6,5.1,5.4,21.9,0,93,106
Trevor Ariza,SF,25,NOH,75,75,2600,6.3,15.9,0.39799999999999996,1.7,5.6,0.303,4.6,10.2,0.45,2.9,4.1,0.701,1.3,7.2,8.5,3.4,2.5,0.6,2.5,3.7,17.2,0,97,104
Hilton Armstrong,C,26,TOT,53,2,488,3.9,8.0,0.48700000000000004,0.2,0.4,0.5,3.7,7.6,0.486,1.7,3.5,0.485,4.4,9.4,13.8,1.5,1.9,2.2,3.0,8.9,9.7,0,95,106
Carlos Arroyo,PG,31,TOT,64,43,1185,5.4,12.2,0.44,1.4,3.1,0.449,4.0,9.1,0.436,1.7,2.1,0.83,0.9,3.7,4.6,5.6,0.9,0.0,2.7,3.2,13.8,0,104,108
Darrell Arthur,PF,22,MEM,80,9,1609,10.1,20.3,0.49700000000000005,0.0,0.2,0.0,10.1,20.1,0.502,3.5,4.3,0.813,3.7,7.4,11.1,1.7,1.7,2.0,2.9,7.4,23.7,0,106,104
Ömer Aşık,C,24,CHI,82,0,989,4.2,7.6,0.5529999999999999,0.0,0.0,0.0,4.2,7.6,0.5529999999999999,3.9,7.8,0.503,6.0,10.4,16.4,1.7,1.1,3.0,3.4,8.2,12.3,0,104,97
D.J. Augustin,PG,23,CHA,82,82,2757,7.7,18.6,0.41600000000000004,2.2,6.5,0.33299999999999996,5.6,12.1,0.461,5.2,5.8,0.9059999999999999,0.7,3.6,4.4,9.7,1.0,0.1,3.0,3.0,22.9,0,112,112
Luke Babbitt,SF,21,POR,24,0,137,6.0,21.9,0.273,1.2,6.4,0.188,4.8,15.5,0.308,1.2,3.6,0.33299999999999996,2.4,9.6,12.0,2.4,0.8,0.8,3.2,6.0,14.3,0,68,107
Renaldo Balkman,SF,26,TOT,8,0,62,4.9,10.5,0.462,0.8,1.6,0.5,4.1,8.9,0.455,2.4,3.2,0.75,1.6,4.1,5.7,1.6,3.2,1.6,0.8,12.2,13.0,0,115,105
Marcus Banks,PG,29,TOR,3,0,22,0.0,4.7,0.0,0.0,0.0,0.0,0.0,4.7,0.0,14.1,18.8,0.75,0.0,2.3,2.3,7.0,2.3,0.0,4.7,9.4,14.1,0,99,114
Leandro Barbosa,SG,28,TOR,58,0,1395,10.9,24.2,0.45,2.7,7.9,0.33799999999999997,8.2,16.3,0.505,4.0,5.1,0.7959999999999999,0.5,3.1,3.7,4.4,1.9,0.2,3.1,4.2,28.5,0,105,115
J.J. Barea,PG,26,DAL,81,2,1669,9.0,20.4,0.439,2.1,6.0,0.349,6.9,14.5,0.47600000000000003,4.2,4.9,0.847,0.9,4.1,5.0,10.0,0.9,0.0,4.3,4.3,24.2,0,106,109
Andrea Bargnani,C,25,TOR,66,66,2353,11.5,25.8,0.44799999999999995,1.7,4.9,0.345,9.8,20.9,0.47200000000000003,6.3,7.7,0.82,1.6,5.9,7.5,2.6,0.7,1.0,3.3,3.5,31.1,0,105,115
Matt Barnes,SF,30,LAL,53,0,1020,6.8,14.5,0.47,1.8,5.5,0.318,5.0,8.9,0.564,3.1,4.0,0.779,3.8,8.0,11.8,3.7,2.0,1.1,3.0,6.6,18.5,0,112,103
Earl Barron,C,29,TOT,21,7,305,5.5,16.9,0.32299999999999995,0.0,0.0,0.0,5.5,16.9,0.32299999999999995,2.6,4.1,0.625,5.5,7.5,13.0,1.9,1.4,1.0,2.7,7.8,13.5,0,83,107
Brandon Bass,PF,25,ORL,76,51,1980,8.8,17.1,0.515,0.0,0.1,0.0,8.8,17.1,0.516,5.0,6.2,0.815,3.6,7.7,11.3,1.5,0.7,1.4,2.6,4.2,22.7,0,113,103
Tony Battie,C,34,PHI,38,0,377,6.2,13.3,0.469,0.3,0.4,0.667,6.0,12.9,0.462,1.1,1.9,0.5710000000000001,2.4,11.4,13.7,1.7,0.7,2.1,1.7,8.2,13.9,0,99,103
