Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Quincy Acy,PF,25,SAC,59,29,876,6.5,11.7,0.556,1.0,2.7,0.38799999999999996,5.5,9.0,0.606,2.7,3.7,0.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,0,124,108
Jordan Adams,SG,21,MEM,2,0,15,6.9,20.6,0.33299999999999996,0.0,3.4,0.0,6.9,17.2,0.4,10.3,17.2,0.6,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,0,84,90
Steven Adams,C,22,OKC,80,80,2014,6.4,10.5,0.613,0.0,0.0,0.0,6.4,10.5,0.613,2.8,4.8,0.5820000000000001,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,0,123,105
Arron Afflalo,SG,30,NYK,71,57,2371,7.7,17.3,0.44299999999999995,2.0,5.2,0.382,5.7,12.2,0.469,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,0,105,112
Alexis Ajinça,C,27,NOP,59,17,861,8.6,18.1,0.47600000000000003,0.0,0.1,0.0,8.6,18.1,0.478,3.0,3.6,0.8390000000000001,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,0,100,107
Cole Aldrich,C,27,LAC,60,5,800,8.4,14.1,0.596,0.0,0.0,0.0,8.4,14.1,0.596,3.8,5.3,0.7140000000000001,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,0,113,94
LaMarcus Aldridge,PF,30,SAS,74,74,2261,12.1,23.7,0.513,0.0,0.4,0.0,12.1,23.3,0.521,5.9,6.8,0.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,0,114,99
Cliff Alexander,PF,20,POR,8,0,36,6.9,13.9,0.5,0.0,0.0,0.0,6.9,13.9,0.5,0.0,0.0,0.0,2.8,5.6,8.3,0.0,1.4,2.8,1.4,1.4,13.9,0,100,107
Lavoy Allen,PF,26,IND,79,28,1599,5.9,11.5,0.516,0.0,0.0,0.0,5.9,11.5,0.516,1.4,2.3,0.63,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,0,110,104
Tony Allen,SG,34,MEM,64,57,1620,6.8,14.9,0.45799999999999996,0.5,1.3,0.35700000000000004,6.4,13.6,0.46799999999999997,2.9,4.4,0.652,3.3,6.1,9.4,2.2,3.5,0.6,2.5,5.6,17.0,0,101,105
Al-Farouq Aminu,SF,25,POR,82,82,2341,6.4,15.4,0.41600000000000004,2.7,7.5,0.361,3.7,7.9,0.46799999999999997,2.5,3.3,0.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,0,105,107
Lou Amundson,PF,33,NYK,29,0,204,4.8,13.4,0.358,0.0,0.0,0.0,4.8,13.4,0.358,3.5,6.8,0.519,5.8,6.6,12.3,3.0,1.5,1.8,3.8,11.1,13.1,0,87,106
Chris Andersen,C,37,TOT,27,15,402,4.9,9.2,0.528,0.5,1.8,0.28600000000000003,4.4,7.4,0.586,3.2,4.6,0.6940000000000001,4.6,7.9,12.5,1.5,1.9,1.7,1.2,3.7,13.4,0,127,106
Alan Anderson,SG,33,WAS,13,0,192,5.3,15.0,0.35600000000000004,3.0,9.4,0.324,2.3,5.6,0.409,2.8,3.8,0.733,0.3,6.6,6.9,3.6,1.0,0.3,0.5,6.3,16.5,0,107,108
James Anderson,SG,26,SAC,51,15,721,4.5,11.9,0.376,1.5,5.7,0.267,2.9,6.1,0.478,1.5,1.9,0.759,0.9,4.9,5.7,2.7,1.4,0.9,2.8,3.6,11.9,0,87,111
Justin Anderson,SF,22,DAL,55,9,647,5.6,13.8,0.406,1.7,6.5,0.265,3.9,7.2,0.5329999999999999,3.5,4.3,0.8,1.4,9.0,10.4,2.3,1.5,2.0,1.9,3.5,16.4,0,103,104
Kyle Anderson,SF,22,SAS,78,11,1245,5.7,12.1,0.46799999999999997,0.5,1.5,0.324,5.2,10.6,0.488,2.5,3.4,0.747,1.0,9.0,10.0,5.1,2.5,1.2,2.4,4.0,14.4,0,104,97
Ryan Anderson,PF,27,NOP,66,7,2008,9.8,22.9,0.42700000000000005,3.2,8.8,0.366,6.6,14.1,0.466,4.9,5.6,0.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,0,108,112
Giannis Antetokounmpo,PG,21,MIL,80,79,2823,9.3,18.3,0.506,0.5,2.0,0.257,8.8,16.3,0.537,5.3,7.4,0.7240000000000001,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,0,109,106
Thanasis Antetokounmpo,SF,23,NYK,2,0,6,25.7,34.3,0.75,0.0,8.6,0.0,25.7,25.7,1.0,0.0,0.0,0.0,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,0,140,110
Carmelo Anthony,SF,31,NYK,72,72,2530,11.5,26.6,0.434,2.1,6.3,0.33899999999999997,9.4,20.3,0.46299999999999997,6.8,8.2,0.8290000000000001,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,0,107,107
Joel Anthony,C,33,DET,19,0,96,3.2,5.3,0.6,0.0,0.0,0.0,3.2,5.3,0.6,3.2,4.2,0.75,4.2,6.8,11.0,0.5,1.1,6.3,1.1,7.9,9.5,0,136,99
Keith Appling,PG,23,ORL,5,0,27,3.7,14.8,0.25,0.0,5.6,0.0,3.7,9.3,0.4,3.7,3.7,1.0,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,0,57,110
Trevor Ariza,SF,30,HOU,81,81,2859,6.1,14.8,0.41600000000000004,3.2,8.6,0.371,3.0,6.2,0.478,2.2,2.8,0.7829999999999999,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,0,110,108
Darrell Arthur,PF,27,DEN,70,16,1516,7.3,16.2,0.452,1.5,3.9,0.385,5.8,12.3,0.473,1.3,1.8,0.755,2.8,6.8,9.7,3.2,1.8,1.6,2.2,6.1,17.4,0,104,108
Ömer Aşık,C,29,NOP,68,64,1178,4.4,8.2,0.5329999999999999,0.0,0.0,0.0,4.4,8.2,0.5329999999999999,2.6,4.7,0.545,5.1,12.4,17.4,1.1,0.9,1.0,2.5,5.2,11.3,0,106,108
