Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Shareef Abdur-Rahim,C,30,SAC,80,45,2015,7.8,16.4,0.474,0.1,0.5,0.15,7.7,15.9,0.484,4.3,5.9,0.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,0,103,108
Hassan Adams,SG,22,NJN,61,8,495,8.0,14.3,0.556,0.0,0.1,0.0,8.0,14.2,0.56,2.5,3.8,0.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,0,109,107
Maurice Ager,SG,22,DAL,32,1,214,5.5,17.5,0.314,1.3,3.8,0.33299999999999996,4.3,13.8,0.309,5.0,8.3,0.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,0,79,106
LaMarcus Aldridge,C,21,POR,63,22,1392,9.4,18.7,0.503,0.0,0.1,0.0,9.4,18.6,0.505,3.2,4.5,0.722,5.6,6.6,12.2,0.9,0.9,2.8,1.7,7.3,22.1,0,113,109
Malik Allen,PF,28,CHI,60,1,638,8.6,20.7,0.415,0.0,0.1,0.0,8.6,20.6,0.41600000000000004,2.2,2.7,0.8240000000000001,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,0,96,100
Ray Allen*,SG,31,SEA,55,55,2219,11.9,27.2,0.43799999999999994,3.9,10.4,0.37200000000000005,8.0,16.7,0.479,6.6,7.3,0.903,1.3,4.5,5.8,5.4,1.9,0.3,3.6,2.7,34.3,0,112,112
Tony Allen,SG,25,BOS,33,18,805,8.6,16.8,0.514,0.5,2.1,0.242,8.1,14.6,0.5529999999999999,6.8,8.7,0.784,2.3,5.8,8.0,3.6,3.2,0.8,4.9,5.6,24.6,0,105,104
Rafer Alston,PG,30,HOU,82,82,3040,6.7,17.8,0.375,3.3,9.2,0.363,3.3,8.5,0.389,2.3,3.1,0.7340000000000001,0.5,4.4,4.9,7.7,2.2,0.2,3.0,3.4,18.9,0,103,102
Lou Amundson,PF,24,TOT,11,0,89,3.6,8.9,0.4,0.0,0.0,0.0,3.6,8.9,0.4,2.4,5.9,0.4,7.7,8.9,16.6,0.6,0.6,4.8,3.0,8.9,9.5,0,91,103
Alan Anderson,SG,24,CHA,17,0,256,7.5,16.5,0.457,1.0,4.1,0.25,6.5,12.4,0.525,3.9,4.7,0.826,2.2,4.3,6.5,4.3,1.4,0.0,4.5,6.7,20.0,0,97,110
Derek Anderson,SF,32,CHA,50,32,1190,5.5,12.9,0.429,2.4,6.7,0.355,3.2,6.2,0.507,4.1,4.6,0.877,1.3,3.7,5.0,5.8,2.3,0.3,2.5,5.0,17.5,0,116,109
Carmelo Anthony,SF,22,DEN,65,65,2486,13.7,28.8,0.47600000000000003,0.8,3.0,0.268,12.9,25.8,0.499,9.1,11.3,0.8079999999999999,2.8,4.9,7.7,4.9,1.5,0.5,4.6,4.0,37.3,0,109,108
