Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Quincy Acy,SF,23,TOT,63,0,847,4.0,8.5,0.46799999999999997,0.2,0.9,0.267,3.7,7.6,0.49200000000000005,2.1,3.2,0.66,4.3,8.7,13.0,1.7,1.4,1.6,1.8,7.3,10.3,0,109,107
Steven Adams,C,20,OKC,81,20,1197,3.9,7.8,0.503,0.0,0.0,0.0,3.9,7.8,0.503,3.3,5.7,0.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,0,108,102
Jeff Adrien,PF,27,TOT,53,12,961,7.8,14.9,0.52,0.0,0.0,0.0,7.8,14.9,0.52,4.1,6.5,0.639,5.5,11.1,16.6,2.1,1.3,2.0,2.1,5.9,19.7,0,114,106
Arron Afflalo,SG,28,ORL,73,73,2552,9.3,20.3,0.45899999999999996,2.6,6.0,0.42700000000000005,6.7,14.3,0.473,5.5,6.7,0.815,0.6,4.6,5.3,5.0,0.7,0.1,2.9,2.7,26.7,0,110,112
Alexis Ajinça,C,25,NOP,56,30,951,7.4,13.6,0.546,0.0,0.1,0.0,7.4,13.6,0.5479999999999999,3.1,3.7,0.836,5.1,10.0,15.2,2.2,1.3,2.5,3.4,10.2,18.0,0,110,107
Cole Aldrich,C,25,NYK,46,2,330,5.3,9.8,0.541,0.0,0.0,0.0,5.3,9.8,0.541,4.2,4.8,0.867,6.0,14.8,20.8,2.3,1.3,4.8,2.9,6.4,14.8,0,120,100
LaMarcus Aldridge,PF,28,POR,69,69,2498,13.2,28.8,0.45799999999999996,0.1,0.3,0.2,13.1,28.5,0.461,6.0,7.3,0.8220000000000001,3.4,12.1,15.5,3.6,1.3,1.4,2.5,3.0,32.5,0,108,104
Lavoy Allen,PF,24,TOT,65,2,1072,6.1,13.6,0.447,0.1,0.6,0.154,6.0,13.1,0.46,1.5,2.3,0.66,5.4,8.7,14.1,3.2,1.1,1.5,2.0,5.7,13.8,0,104,108
Ray Allen*,SG,38,MIA,73,9,1936,6.5,14.8,0.442,3.2,8.4,0.375,3.4,6.4,0.53,2.9,3.2,0.905,0.6,4.9,5.6,3.9,1.5,0.2,2.3,3.1,19.1,0,111,109
Tony Allen,SG,32,MEM,55,28,1278,8.5,17.3,0.494,0.5,2.0,0.23399999999999999,8.1,15.3,0.527,3.2,5.1,0.628,3.3,5.4,8.7,3.9,3.8,0.8,3.8,5.1,20.7,0,102,101
Al-Farouq Aminu,SF,23,NOP,80,65,2045,6.0,12.6,0.474,0.3,1.2,0.271,5.6,11.4,0.496,2.3,3.5,0.664,3.3,9.3,12.6,2.9,2.1,1.0,2.2,3.7,14.6,0,105,108
