Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,39,LAL,78,78,2441,8.3,14.6,0.564,0.0,0.0,0.33299999999999996,8.2,14.6,0.565,3.6,5.1,0.7140000000000001,2.2,5.5,7.7,3.0,0.7,1.4,2.7,3.6,20.1
Alvan Adams,C,32,PHO,68,40,1690,6.6,13.2,0.503,0.0,0.0,0.0,6.6,13.1,0.504,2.9,3.6,0.7879999999999999,1.9,5.3,7.2,4.8,1.3,0.8,3.0,4.4,16.1
Michael Adams,PG,24,WSB,63,0,1303,4.4,10.9,0.40700000000000003,0.8,2.8,0.275,3.6,8.0,0.45399999999999996,2.9,3.4,0.847,1.0,2.3,3.4,6.7,2.3,0.2,2.2,2.4,12.5
Rafael Addison,SF,22,PHO,62,12,711,7.4,16.8,0.441,0.8,2.5,0.32,6.6,14.2,0.46299999999999997,2.6,3.2,0.797,2.1,3.3,5.4,2.3,1.4,0.4,2.7,3.8,18.2
Mark Aguirre,SF,27,DAL,80,80,2663,10.6,21.5,0.495,0.7,2.0,0.353,9.9,19.5,0.51,5.8,7.5,0.77,2.4,3.3,5.8,3.4,1.1,0.4,2.9,3.3,27.8
Danny Ainge,SG,27,BOS,71,66,2499,5.9,12.2,0.486,1.2,2.8,0.44299999999999995,4.7,9.4,0.498,2.1,2.4,0.897,0.7,2.8,3.5,5.8,1.5,0.2,2.0,2.7,15.2
Mark Alarie,PF,23,DEN,64,25,1110,7.0,14.4,0.49,0.1,0.3,0.222,7.0,14.1,0.495,2.2,3.3,0.6629999999999999,2.4,4.6,6.9,2.4,0.7,0.9,1.8,4.5,16.3
Richard Anderson,PF,26,HOU,51,0,312,6.8,16.0,0.424,0.5,1.8,0.25,6.3,14.2,0.447,2.5,3.3,0.759,2.8,6.3,9.1,3.8,0.8,0.3,2.2,4.3,16.6
Ron Anderson,SF,28,IND,63,0,721,6.9,14.7,0.473,0.0,0.2,0.0,6.9,14.4,0.48100000000000004,4.2,5.4,0.787,3.6,3.9,7.5,2.7,1.5,0.1,2.7,3.2,18.1
John Bagley,PG,26,CLE,72,67,2182,5.1,12.1,0.426,0.5,1.7,0.301,4.6,10.4,0.447,1.9,2.2,0.831,0.9,3.3,4.2,6.3,1.5,0.1,2.7,1.9,12.7
James Bailey,PF,29,NJN,34,2,542,7.4,15.9,0.469,0.0,0.0,0.0,7.4,15.9,0.469,3.9,5.3,0.725,3.2,5.9,9.1,1.3,0.8,1.5,3.6,7.9,18.7
