Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,35,LAL,79,79,2554,10.2,17.3,0.588,0.0,0.0,0.0,10.2,17.3,0.589,3.9,5.2,0.7490000000000001,2.4,6.0,8.3,2.8,0.9,2.4,2.8,3.1,24.3
Alvan Adams,C,28,PHO,80,75,2447,7.0,14.4,0.486,0.0,0.0,0.33299999999999996,7.0,14.4,0.48700000000000004,2.6,3.2,0.8290000000000001,2.4,5.7,8.1,5.5,1.7,1.1,3.6,4.2,16.7
Mark Aguirre,SF,23,DAL,81,75,2784,9.9,20.5,0.483,0.2,1.0,0.21100000000000002,9.7,19.6,0.496,5.5,7.6,0.728,2.5,4.1,6.6,4.3,1.0,0.3,3.4,3.2,25.6
Danny Ainge,SG,23,BOS,80,76,2048,6.3,12.7,0.496,0.1,0.5,0.172,6.2,12.1,0.509,1.3,1.7,0.742,1.5,2.3,3.8,4.4,1.9,0.1,1.7,4.6,13.9
Dwight Anderson,PG,22,DEN,5,0,33,7.6,15.3,0.5,0.0,0.0,0.0,7.6,15.3,0.5,7.6,10.9,0.7,0.0,2.2,2.2,3.3,1.1,0.0,5.5,7.6,22.9
J.J. Anderson,SF,22,TOT,65,2,1202,5.7,11.4,0.501,0.0,0.1,0.0,5.7,11.2,0.507,3.0,5.2,0.5710000000000001,3.6,5.2,8.8,2.0,1.9,0.6,2.4,4.6,14.4
Richard Anderson,C,22,SDC,78,5,1274,4.9,12.2,0.40399999999999997,0.2,0.5,0.368,4.7,11.6,0.405,1.4,1.9,0.696,3.1,4.5,7.7,3.4,1.6,0.7,2.6,4.8,11.4
Tiny Archibald*,PG,34,BOS,66,19,1811,4.7,11.0,0.425,0.1,0.5,0.20800000000000002,4.6,10.5,0.435,4.4,5.9,0.743,0.5,1.3,1.8,8.1,0.8,0.1,3.2,2.2,13.8
John Bagley,PG,22,CLE,68,3,990,5.9,13.6,0.43200000000000005,0.0,0.5,0.0,5.9,13.1,0.44799999999999995,2.3,3.1,0.762,0.6,2.9,3.5,6.1,2.0,0.2,4.3,2.7,14.0
James Bailey,PF,25,TOT,75,39,1765,7.9,15.8,0.49700000000000005,0.0,0.0,0.0,7.9,15.8,0.498,4.6,6.6,0.7020000000000001,3.5,6.2,9.7,1.4,0.9,1.2,4.0,5.5,20.3
Greg Ballard,SF,28,WSB,78,78,2840,7.6,16.1,0.473,0.2,0.5,0.35100000000000003,7.5,15.7,0.47700000000000004,2.3,3.0,0.7809999999999999,1.6,4.9,6.4,3.3,1.7,0.3,2.0,2.2,17.8
Gene Banks,PF,23,SAS,81,81,2722,6.7,12.2,0.55,0.0,0.1,0.0,6.7,12.1,0.5529999999999999,2.6,3.7,0.705,2.9,5.2,8.1,3.7,1.0,0.3,2.3,3.0,16.0
Billy Ray Bates,SG,26,TOT,19,3,304,6.5,17.2,0.379,0.2,0.6,0.4,6.3,16.6,0.379,1.3,2.6,0.5,1.3,0.9,2.3,1.7,1.7,0.4,1.4,2.3,14.6
Dave Batton,C,26,WSB,54,5,558,5.5,12.3,0.445,0.0,0.2,0.0,5.5,12.1,0.452,0.5,1.1,0.47100000000000003,2.9,4.8,7.7,1.9,1.0,0.8,1.8,3.6,11.5
Kent Benson,C,28,DET,21,15,599,5.1,10.9,0.467,0.0,0.1,0.0,5.1,10.9,0.47,2.3,3.0,0.76,3.2,6.1,9.3,2.9,0.8,1.0,2.1,3.7,12.5
Larry Bird*,PF,26,BOS,79,79,2982,9.0,17.9,0.504,0.3,0.9,0.28600000000000003,8.8,16.9,0.516,4.2,5.0,0.84,2.3,8.2,10.5,5.5,1.8,0.9,2.9,2.4,22.5
