Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Vladimir Radmanović,PF,22,SEA,72,16,1910,5.2,12.6,0.41,2.0,5.5,0.355,3.2,7.1,0.45299999999999996,1.4,1.9,0.706,1.4,4.7,6.1,1.8,1.2,0.4,1.9,2.6,13.6
Igor Rakočević,PG,24,MIN,42,0,244,3.2,8.6,0.379,0.7,1.8,0.41700000000000004,2.5,6.8,0.37,4.3,5.3,0.8059999999999999,0.6,1.9,2.5,4.9,0.6,0.0,3.4,3.7,11.5
Zach Randolph,PF,21,POR,77,11,1301,7.3,14.3,0.513,0.0,0.1,0.0,7.3,14.1,0.518,3.4,4.5,0.758,3.8,5.6,9.5,1.1,1.2,0.4,1.7,3.9,18.0
Theo Ratliff,C,29,ATL,81,81,2518,3.9,8.5,0.46399999999999997,0.0,0.0,0.0,3.9,8.5,0.46399999999999997,2.2,3.1,0.72,2.2,6.5,8.7,1.0,0.8,3.7,2.0,3.9,10.1
Željko Rebrača,C,30,DET,30,12,488,5.9,10.7,0.552,0.0,0.0,0.0,5.9,10.7,0.552,2.8,3.5,0.792,2.0,4.8,6.8,0.7,0.4,1.3,2.1,5.8,14.6
Michael Redd,SG,23,MIL,82,14,2316,7.1,15.1,0.469,2.8,6.5,0.43799999999999994,4.2,8.6,0.49200000000000005,2.3,2.9,0.805,1.5,4.2,5.8,1.8,1.6,0.2,1.2,2.2,19.3
Don Reid,PF,29,DET,1,0,10,0.0,10.8,0.0,0.0,0.0,0.0,0.0,10.8,0.0,3.6,7.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,3.6
Efthimi Rentzias,C,27,PHI,35,0,144,5.0,14.7,0.33899999999999997,1.0,2.0,0.5,4.0,12.7,0.314,2.0,2.3,0.889,2.5,4.0,6.5,1.7,1.5,0.5,1.0,5.2,13.0
Glen Rice,SF,35,HOU,62,26,1532,4.6,10.7,0.429,2.4,6.0,0.39799999999999996,2.2,4.8,0.46799999999999997,1.5,2.0,0.759,0.7,3.0,3.6,1.5,0.5,0.1,1.3,2.3,13.1
Jason Richardson,SG,22,GSW,82,82,2698,6.4,15.5,0.41,1.6,4.5,0.368,4.7,11.0,0.42700000000000005,2.8,3.6,0.764,1.5,3.6,5.0,3.3,1.2,0.3,2.4,2.7,17.1
Quentin Richardson,SG,22,LAC,59,13,1368,5.3,14.4,0.37200000000000005,1.6,5.2,0.308,3.7,9.2,0.408,2.2,3.3,0.685,2.6,4.8,7.4,1.4,0.9,0.3,1.7,2.4,14.5
Antoine Rigaudeau,SG,31,DAL,11,0,91,3.2,13.8,0.22899999999999998,0.4,2.0,0.2,2.8,11.9,0.233,0.0,0.0,0.0,1.6,1.6,3.2,2.4,1.2,0.0,2.4,4.4,6.7
Clifford Robinson,PF,36,DET,81,69,2825,4.7,11.9,0.39799999999999996,1.1,3.3,0.336,3.6,8.6,0.42200000000000004,2.1,3.0,0.6759999999999999,1.0,3.0,4.1,3.4,1.1,1.1,2.0,3.3,12.6
David Robinson*,C,37,SAS,64,64,1676,4.2,9.0,0.469,0.0,0.0,0.0,4.2,9.0,0.469,3.3,4.6,0.71,3.5,7.4,10.9,1.3,1.1,2.4,1.8,2.7,11.7
Eddie Robinson,SF,26,CHI,64,18,1355,4.1,8.4,0.49200000000000005,0.1,0.4,0.214,4.0,8.0,0.505,1.4,1.7,0.81,2.0,3.3,5.3,1.8,1.6,0.3,1.4,3.2,9.7
Glenn Robinson,SF,30,ATL,69,68,2591,7.5,17.3,0.43200000000000005,1.3,3.7,0.342,6.2,13.7,0.456,3.7,4.3,0.8759999999999999,1.2,5.2,6.3,2.8,1.3,0.4,3.4,2.5,20.0
Rodney Rogers,PF,31,NJN,68,0,1303,5.1,12.6,0.402,1.2,3.6,0.33299999999999996,3.8,8.9,0.43,1.9,2.5,0.7559999999999999,1.7,5.6,7.3,3.0,1.4,0.9,2.5,5.3,13.2
Sean Rooks,C,33,LAC,70,38,1344,3.3,8.0,0.42100000000000004,0.0,0.0,0.0,3.3,7.9,0.42200000000000004,1.3,1.6,0.81,1.4,4.4,5.8,1.8,0.9,1.2,1.8,4.7,8.0
Jalen Rose,SF,30,CHI,82,82,3351,6.9,17.0,0.406,1.4,3.9,0.37,5.5,13.1,0.41600000000000004,4.3,5.0,0.8540000000000001,0.7,3.0,3.8,4.2,0.8,0.2,3.1,2.9,19.5
Malik Rose,PF,28,SAS,79,13,1933,5.4,11.7,0.45899999999999996,0.0,0.1,0.4,5.3,11.6,0.45899999999999996,4.5,5.7,0.7909999999999999,2.8,6.7,9.4,2.3,1.1,0.7,3.2,3.8,15.3
Guy Rucker,PF,25,GSW,3,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,0.0
Kareem Rush,PG,22,LAL,76,0,872,4.0,10.1,0.39299999999999996,0.8,2.8,0.27899999999999997,3.2,7.3,0.43799999999999994,0.7,0.9,0.696,1.1,2.8,3.9,2.8,0.4,0.5,2.6,2.9,9.4
Bryon Russell,SF,32,WAS,70,23,1388,2.8,7.9,0.353,1.2,3.6,0.32899999999999996,1.6,4.3,0.373,1.4,1.8,0.768,1.1,4.3,5.4,1.9,1.8,0.2,1.4,3.4,8.2
Arvydas Sabonis*,C,38,POR,78,1,1209,5.1,10.7,0.47600000000000003,0.1,0.2,0.5,5.0,10.6,0.47600000000000003,3.8,4.9,0.787,2.6,7.4,10.0,4.2,1.8,1.5,2.2,4.2,14.2
John Salmons,PG,23,PHI,64,1,504,3.4,8.3,0.414,0.7,2.2,0.32299999999999995,2.7,6.1,0.447,1.9,2.5,0.743,1.1,3.1,4.2,3.4,1.2,0.4,2.1,3.8,9.4
Soumaila Samake,C,24,LAL,13,1,77,4.7,11.2,0.41700000000000004,0.0,0.0,0.0,4.7,11.2,0.41700000000000004,0.9,0.9,1.0,4.7,6.1,10.8,1.9,0.0,2.3,0.9,6.1,10.3
Jamal Sampson,PF,19,MIL,5,0,8,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.5,4.5,9.0,4.5,4.5,0.0,0.0,0.0,0.0
Pepe Sánchez,PG,25,DET,9,0,37,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,3.9,1.9,5.8,7.8,4.9,0.0,1.9,2.9,0.0
Jeryl Sasser,SG,23,ORL,75,4,1025,2.2,7.3,0.309,0.5,1.5,0.295,1.8,5.7,0.313,1.9,2.7,0.679,2.2,4.2,6.5,2.3,1.6,0.4,1.4,3.2,6.8
Kenny Satterfield,PG,21,TOT,39,6,502,3.9,13.1,0.301,0.4,2.0,0.179,3.6,11.1,0.32299999999999995,1.2,1.8,0.68,1.1,1.9,3.1,4.9,1.4,0.1,3.1,2.6,9.5
Predrag Savović,SG,26,DEN,27,0,256,4.1,13.1,0.312,0.6,3.7,0.154,3.5,9.4,0.373,3.0,4.1,0.7240000000000001,1.3,2.3,3.5,3.1,2.0,0.1,3.0,4.6,11.7
Brian Scalabrine,PF,24,NJN,59,7,724,3.4,8.4,0.402,0.7,1.9,0.359,2.7,6.5,0.415,1.5,1.8,0.833,2.0,5.0,7.0,2.3,0.8,0.9,2.3,3.8,9.0
Ansu Sesay,SF,26,SEA,45,4,448,3.3,8.6,0.38299999999999995,0.0,0.0,0.0,3.3,8.6,0.38299999999999995,1.0,1.7,0.5710000000000001,2.7,3.1,5.9,1.8,1.1,0.4,2.0,5.0,7.6
Brian Shaw,PG,36,LAL,72,0,900,4.0,10.4,0.387,1.5,4.4,0.349,2.5,6.1,0.414,0.4,0.6,0.667,0.8,4.0,4.8,4.1,1.3,0.5,2.2,2.5,10.0
Paul Shirley,PF,25,ATL,2,0,5,0.0,28.8,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Simmons,SG,22,WAS,36,2,378,4.2,10.7,0.39299999999999996,0.0,0.5,0.0,4.2,10.2,0.41100000000000003,3.0,3.3,0.914,3.1,4.2,7.3,1.9,1.0,0.3,0.8,4.9,11.4
Brian Skinner,PF,26,PHI,77,9,1381,4.7,8.6,0.55,0.0,0.0,0.0,4.7,8.6,0.55,2.5,4.2,0.602,3.5,6.0,9.5,0.5,1.2,1.4,1.6,4.6,12.0
Reggie Slater,PF,32,MIN,26,0,141,6.9,12.8,0.54,0.0,0.0,0.0,6.9,12.8,0.54,6.9,11.5,0.6,4.6,3.3,7.9,1.0,1.5,0.3,2.3,7.9,20.7
Tamar Slay,SG,22,NJN,36,0,274,5.1,13.5,0.379,0.9,3.3,0.28,4.2,10.2,0.41,0.9,1.3,0.7,1.1,3.0,4.1,1.8,1.8,0.4,2.6,4.1,12.1
Charles Smith,SG,27,POR,3,0,13,2.8,11.1,0.25,0.0,2.8,0.0,2.8,8.3,0.33299999999999996,8.3,11.1,0.75,0.0,0.0,0.0,2.8,2.8,0.0,2.8,8.3,13.8
Joe Smith,SF,27,MIN,54,21,1117,4.9,10.6,0.46,0.0,0.1,0.0,4.9,10.5,0.46299999999999997,3.3,4.2,0.779,3.6,5.1,8.7,1.2,0.5,1.8,1.4,5.5,13.0
Steve Smith,SG,33,SAS,53,18,1032,3.9,10.2,0.38799999999999996,1.4,4.1,0.331,2.6,6.0,0.428,3.3,4.0,0.833,0.7,2.7,3.5,2.4,1.0,0.3,1.5,2.8,12.6
Eric Snow,PG,29,PHI,82,82,3108,4.2,9.3,0.452,0.1,0.4,0.21899999999999997,4.1,8.9,0.462,3.8,4.4,0.858,0.8,2.7,3.5,6.3,1.5,0.1,2.2,2.7,12.2
Latrell Sprewell,SF,32,NYK,74,73,2859,5.7,14.2,0.40299999999999997,1.7,4.5,0.37200000000000005,4.0,9.7,0.41700000000000004,2.2,2.7,0.794,0.6,3.0,3.6,4.2,1.3,0.3,2.2,1.7,15.3
Jerry Stackhouse,SG,28,WAS,70,70,2747,6.4,15.7,0.409,0.9,3.2,0.29,5.5,12.5,0.439,6.0,6.8,0.878,0.8,2.6,3.4,4.1,0.9,0.4,2.5,1.7,19.8
Vladimir Stepania,C,26,MIA,79,6,1594,4.2,9.6,0.433,0.0,0.0,0.0,4.2,9.6,0.433,1.6,3.0,0.53,4.8,7.7,12.5,0.5,1.0,0.9,1.6,3.8,10.0
