Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,24,TOT,75,52,1311,6.7,13.0,0.518,0.0,0.0,0.0,6.7,13.0,0.519,2.4,3.2,0.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9
Mahmoud Abdul-Rauf,PG,23,DEN,81,81,2710,8.4,18.7,0.45,0.9,2.6,0.355,7.5,16.1,0.465,2.9,3.1,0.935,0.7,2.3,3.0,4.6,1.1,0.1,2.5,2.4,20.6
Mark Acres,C,30,TOT,18,7,269,3.5,6.6,0.531,0.1,0.3,0.5,3.3,6.3,0.532,1.5,2.1,0.688,3.5,5.5,9.0,0.7,0.4,0.8,1.7,4.6,8.6
Michael Adams,PG,30,WSB,70,70,2499,5.3,12.0,0.439,1.0,3.1,0.321,4.3,8.9,0.48,3.4,4.0,0.856,0.7,2.7,3.5,7.6,1.4,0.1,2.5,2.1,14.9
Rafael Addison,SF,28,NJN,68,15,1164,5.6,12.7,0.44299999999999995,0.2,1.1,0.20600000000000002,5.4,11.7,0.46399999999999997,1.8,2.2,0.8140000000000001,1.4,2.7,4.1,1.6,0.7,0.3,2.0,3.9,13.2
Mark Aguirre,SF,33,DET,51,15,1056,6.4,14.4,0.44299999999999995,1.0,2.8,0.361,5.4,11.6,0.46299999999999997,3.4,4.4,0.767,1.5,3.7,5.2,3.6,0.5,0.2,2.3,3.4,17.1
Danny Ainge,SG,33,PHO,80,0,2163,5.6,12.1,0.462,2.5,6.2,0.40299999999999997,3.1,6.0,0.522,2.0,2.4,0.848,0.8,2.7,3.6,4.3,1.1,0.1,1.9,2.9,15.8
Victor Alexander,C,23,GSW,72,59,1753,7.1,13.7,0.516,0.2,0.5,0.455,6.9,13.2,0.518,2.3,3.3,0.685,2.7,5.9,8.6,1.9,0.7,1.1,2.5,4.5,16.6
Eric Anderson,PF,22,NYK,16,0,44,4.1,14.7,0.278,0.0,0.0,0.0,4.1,14.7,0.278,9.0,10.6,0.846,4.9,6.5,11.5,2.5,2.5,0.8,4.1,11.5,17.2
Kenny Anderson,PG,22,NJN,55,55,2010,6.6,15.2,0.435,0.1,0.4,0.28,6.5,14.8,0.44,3.2,4.2,0.7759999999999999,0.9,3.1,4.0,8.0,1.7,0.2,2.7,2.5,16.6
Nick Anderson,SG,25,ORL,79,76,2920,7.3,16.3,0.449,1.1,3.1,0.353,6.2,13.3,0.47100000000000003,3.7,5.0,0.741,1.5,4.4,5.9,3.3,1.6,0.7,2.0,2.5,19.4
Ron Anderson,SF,34,PHI,69,0,1263,6.4,15.5,0.414,1.1,3.4,0.325,5.3,12.1,0.439,2.1,2.5,0.809,1.8,3.5,5.2,2.7,0.9,0.1,1.8,2.1,16.0
Willie Anderson,SG,26,SAS,38,7,560,5.1,12.0,0.43,0.1,0.5,0.125,5.1,11.4,0.444,1.4,1.8,0.7859999999999999,0.5,3.2,3.7,5.1,0.9,0.4,2.8,3.3,11.8
Greg Anthony,PG,25,NYK,70,35,1699,3.7,8.9,0.415,0.1,0.6,0.133,3.6,8.2,0.43700000000000006,2.3,3.4,0.6729999999999999,0.9,2.7,3.6,8.4,2.4,0.3,2.2,3.0,9.7
B.J. Armstrong,PG,25,CHI,82,74,2492,5.9,11.8,0.499,0.9,2.0,0.45299999999999996,5.0,9.8,0.508,1.9,2.2,0.861,0.4,1.8,2.2,4.8,1.0,0.1,1.2,2.4,14.6
Vincent Askew,SG,26,TOT,73,4,1129,4.8,9.9,0.49200000000000005,0.1,0.2,0.33299999999999996,4.8,9.7,0.495,3.3,4.8,0.705,2.0,3.2,5.1,3.9,1.3,0.6,2.2,4.3,13.1
Keith Askins,SF,25,MIA,69,1,935,3.4,8.2,0.413,0.8,2.5,0.33799999999999997,2.5,5.7,0.446,1.1,1.5,0.725,2.8,4.8,7.6,1.2,1.2,1.1,1.4,5.4,8.7
