Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,22,POR,43,0,290,6.8,14.4,0.474,0.0,0.0,0.0,6.8,14.4,0.474,3.1,5.5,0.568,3.4,7.7,11.0,1.5,0.5,1.5,2.7,4.8,16.8
Mahmoud Abdul-Rauf,PG,21,DEN,67,19,1505,10.0,24.1,0.413,0.6,2.4,0.24,9.4,21.7,0.43200000000000005,2.0,2.3,0.857,0.8,2.1,2.9,4.9,1.3,0.1,2.6,3.6,22.5
Mark Acres,C,28,ORL,68,0,1313,3.0,5.9,0.509,0.0,0.1,0.33299999999999996,3.0,5.8,0.512,1.8,2.8,0.653,3.8,6.0,9.8,0.7,0.7,0.7,1.2,6.0,7.8
Michael Adams,PG,28,DEN,66,66,2346,8.6,21.8,0.39399999999999996,2.6,8.7,0.29600000000000004,6.0,13.2,0.45899999999999996,7.1,8.1,0.879,0.9,3.0,3.9,10.6,2.3,0.1,3.7,2.5,26.9
Mark Aguirre,SF,31,DET,78,13,2006,7.5,16.3,0.462,0.4,1.4,0.308,7.1,14.9,0.47700000000000004,4.3,5.7,0.757,2.4,4.3,6.7,2.5,0.8,0.4,2.3,3.8,19.8
Danny Ainge,SG,31,POR,80,0,1710,7.1,15.0,0.47200000000000003,2.1,5.3,0.406,4.9,9.7,0.508,2.4,2.9,0.826,0.9,3.4,4.3,6.0,1.3,0.3,2.1,4.1,18.7
Mark Alarie,PF,27,WSB,42,1,587,6.1,13.8,0.44,0.3,1.3,0.23800000000000002,5.8,12.5,0.461,2.5,2.9,0.8540000000000001,2.5,4.7,7.2,2.8,0.9,0.5,2.5,5.4,15.0
Steve Alford,PG,26,DAL,34,0,236,9.0,17.8,0.504,1.1,3.5,0.304,7.9,14.3,0.5529999999999999,4.0,4.7,0.8390000000000001,1.5,2.1,3.7,3.4,1.2,0.2,2.4,1.7,23.0
Greg Anderson,PF,26,TOT,68,2,924,4.5,10.5,0.43,0.0,0.0,0.0,4.5,10.5,0.431,2.3,4.5,0.522,3.8,8.6,12.4,0.6,1.4,1.8,3.3,5.5,11.4
Nick Anderson,SG,23,ORL,70,42,1971,7.3,15.7,0.467,0.3,1.1,0.293,7.0,14.6,0.479,3.2,4.7,0.6679999999999999,1.7,5.4,7.1,1.9,1.4,0.8,2.1,2.6,18.1
Ron Anderson,SF,32,PHI,82,13,2340,7.9,16.2,0.485,0.1,0.7,0.209,7.7,15.6,0.49700000000000005,2.5,3.0,0.833,1.6,4.1,5.6,1.8,1.0,0.2,1.5,2.5,18.4
Willie Anderson,SG,24,SAS,75,75,2592,6.3,13.8,0.457,0.1,0.5,0.2,6.2,13.3,0.467,2.4,3.0,0.7979999999999999,0.9,3.9,4.9,5.0,1.1,0.6,2.3,3.1,15.0
Michael Ansley,SF,23,ORL,67,1,877,5.9,10.8,0.5479999999999999,0.0,0.0,0.0,5.9,10.8,0.5479999999999999,3.7,5.2,0.7170000000000001,5.0,5.4,10.4,1.0,1.1,0.3,1.3,5.1,15.6
B.J. Armstrong,PG,23,CHI,82,0,1731,6.3,13.1,0.48100000000000004,0.3,0.6,0.5,6.0,12.5,0.48,2.0,2.3,0.8740000000000001,0.5,2.6,3.1,6.3,1.5,0.1,2.2,2.5,15.0
Vincent Askew,SG,24,GSW,7,0,85,5.1,10.6,0.48,0.0,0.0,0.0,5.1,10.6,0.48,3.8,4.7,0.818,3.0,1.7,4.7,5.5,0.8,0.0,2.5,8.9,14.0
Keith Askins,SF,23,MIA,39,1,266,4.6,11.0,0.42,0.8,3.4,0.24,3.8,7.6,0.5,1.6,3.4,0.48,4.1,5.1,9.2,2.6,2.2,1.8,1.5,6.2,11.6
Miloš Babić,PF,22,CLE,12,0,52,4.2,13.2,0.316,0.0,0.0,0.0,4.2,13.2,0.316,4.8,8.3,0.583,4.2,2.1,6.2,2.8,0.7,0.7,3.5,4.8,13.2
Thurl Bailey,PF,29,UTA,82,22,2486,5.8,12.6,0.45799999999999996,0.0,0.0,0.0,5.8,12.6,0.45899999999999996,3.2,3.9,0.8079999999999999,1.5,4.4,5.9,1.8,0.8,1.3,1.9,2.3,14.7
Cedric Ball,PF,22,LAC,7,0,26,4.2,11.1,0.375,0.0,0.0,0.0,4.2,11.1,0.375,2.8,2.8,1.0,6.9,8.3,15.2,0.0,0.0,2.8,2.8,6.9,11.1
Ken Bannister,PF,30,LAC,47,3,339,4.6,8.6,0.531,0.0,0.1,0.0,4.6,8.5,0.5379999999999999,2.7,6.9,0.385,3.6,6.6,10.2,1.0,0.5,0.7,2.7,7.8,11.8
Charles Barkley*,SF,27,PHI,67,67,2498,9.6,16.8,0.57,0.6,2.2,0.284,8.9,14.6,0.614,6.8,9.5,0.722,3.7,6.1,9.8,4.1,1.6,0.5,3.0,2.5,26.6
Dana Barros,PG,23,SEA,66,0,750,7.4,14.9,0.495,1.5,3.9,0.395,5.9,11.0,0.53,3.7,4.1,0.9179999999999999,0.8,2.6,3.4,5.3,1.1,0.0,2.6,1.9,20.1
John Battle,SG,28,ATL,79,2,1863,7.7,16.7,0.461,0.3,0.9,0.28600000000000003,7.4,15.7,0.47100000000000003,5.2,6.1,0.8540000000000001,0.7,2.4,3.1,4.2,0.9,0.1,2.2,2.8,20.8
Kenny Battle,SG,26,TOT,56,8,945,5.1,10.7,0.47200000000000003,0.1,0.9,0.125,5.0,9.8,0.504,2.7,3.5,0.753,3.2,3.5,6.7,2.4,2.3,0.7,2.0,4.1,12.9
William Bedford,C,27,DET,60,4,562,6.8,15.5,0.43799999999999994,0.3,0.8,0.385,6.5,14.7,0.441,3.5,5.0,0.705,3.5,4.9,8.4,2.0,0.1,2.3,2.0,4.9,17.4
Benoit Benjamin,C,26,TOT,70,65,2236,6.2,12.5,0.496,0.0,0.0,0.0,6.2,12.5,0.496,3.4,4.7,0.7120000000000001,2.5,9.1,11.6,1.9,0.9,2.3,3.8,3.0,15.8
Winston Bennett,SF,25,CLE,27,13,334,4.3,11.5,0.374,0.0,0.0,0.0,4.3,11.5,0.374,3.8,5.1,0.745,3.2,3.7,6.9,3.0,0.9,0.2,2.2,5.4,12.4
Larry Bird*,SF,34,BOS,60,60,2277,7.3,16.1,0.45399999999999996,1.2,3.1,0.389,6.1,12.9,0.47,2.6,2.9,0.8909999999999999,0.8,7.2,8.0,6.8,1.7,0.9,3.0,1.9,18.4
Rolando Blackman,SG,31,DAL,80,80,2965,7.7,16.0,0.48200000000000004,0.5,1.4,0.35100000000000003,7.2,14.6,0.494,3.4,4.0,0.865,0.8,2.3,3.1,3.7,0.8,0.2,1.9,1.9,19.3
Lance Blanks,SG,24,DET,38,0,214,4.4,10.3,0.426,0.3,2.7,0.125,4.0,7.6,0.5329999999999999,1.7,2.4,0.7140000000000001,0.7,2.7,3.4,4.4,1.5,0.3,3.0,5.9,10.8
Mookie Blaylock,PG,23,NJN,72,70,2585,6.0,14.5,0.41600000000000004,0.2,1.3,0.154,5.8,13.2,0.441,1.9,2.5,0.79,0.9,2.5,3.5,6.1,2.4,0.6,2.9,2.5,14.2
Muggsy Bogues,PG,26,CHH,81,46,2299,3.8,8.2,0.46,0.0,0.2,0.0,3.8,8.0,0.47100000000000003,1.3,1.7,0.7959999999999999,0.9,2.5,3.4,10.5,2.1,0.0,1.9,2.5,8.9
Manute Bol,C,28,PHI,82,6,1522,1.5,3.9,0.396,0.0,0.3,0.071,1.5,3.5,0.42700000000000005,0.6,1.0,0.585,1.6,6.7,8.3,0.5,0.4,5.8,1.5,4.4,3.7
Anthony Bonner,PF,22,SAC,34,6,750,4.9,11.0,0.44799999999999995,0.0,0.0,0.0,4.9,11.0,0.44799999999999995,2.1,3.6,0.579,2.8,4.9,7.7,2.4,1.9,0.2,2.0,3.0,12.0
Sam Bowie,C,29,NJN,62,51,1916,5.9,13.6,0.434,0.1,0.4,0.182,5.8,13.2,0.442,3.2,4.3,0.732,3.3,5.7,9.0,2.8,0.8,1.7,2.6,3.3,15.1
Randy Breuer,C,30,MIN,73,44,1505,4.7,10.4,0.45299999999999996,0.0,0.0,0.0,4.7,10.4,0.45299999999999996,0.8,1.9,0.44299999999999995,2.7,5.5,8.3,1.7,0.8,1.9,1.7,3.2,10.3
Frank Brickowski,PF,31,MIL,75,73,1912,7.0,13.3,0.527,0.0,0.0,0.0,7.0,13.3,0.528,3.7,4.7,0.7979999999999999,2.4,5.6,8.0,2.5,1.6,0.8,3.0,4.8,17.7
Scott Brooks,PG,25,MIN,80,0,980,5.8,13.6,0.43,1.7,5.0,0.33299999999999996,4.2,8.6,0.485,2.2,2.6,0.847,1.0,1.6,2.6,7.5,1.9,0.2,1.9,4.5,15.6
