Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,26,TOT,54,0,506,8.4,16.4,0.511,0.0,0.1,0.0,8.4,16.3,0.515,1.4,2.5,0.5710000000000001,2.6,5.5,8.1,0.9,1.1,0.9,3.2,7.4,18.2
Mahmoud Abdul-Rauf,PG,25,DEN,73,43,2082,8.2,17.4,0.47,1.4,3.7,0.386,6.7,13.7,0.49200000000000005,2.4,2.7,0.885,0.6,1.8,2.4,4.5,1.3,0.2,2.1,2.2,20.1
Michael Adams,PG,32,CHH,29,0,443,5.4,12.0,0.45299999999999996,2.4,6.6,0.358,3.1,5.4,0.5670000000000001,2.0,2.4,0.833,0.5,1.9,2.4,7.7,1.9,0.1,2.1,3.3,15.3
Rafael Addison,SF,30,DET,79,16,1776,5.7,11.9,0.47600000000000003,0.5,1.7,0.289,5.2,10.2,0.507,1.5,2.0,0.747,1.4,3.5,4.9,2.2,1.1,0.5,1.5,4.8,13.3
Danny Ainge,SG,35,PHO,74,1,1374,5.1,11.1,0.46,2.0,5.6,0.364,3.0,5.4,0.5579999999999999,2.8,3.4,0.8079999999999999,0.7,2.2,2.9,5.5,1.2,0.2,2.1,4.1,15.0
Victor Alexander,C,25,GSW,50,29,1237,6.7,13.0,0.515,0.2,0.7,0.24,6.5,12.3,0.531,1.0,1.7,0.6,2.5,5.9,8.5,1.7,0.8,0.8,2.2,4.2,14.6
Derrick Alston,C,22,PHI,64,1,1032,4.2,9.0,0.465,0.0,0.1,0.0,4.2,8.9,0.47200000000000003,2.1,4.2,0.49200000000000005,3.4,4.2,7.6,1.2,1.4,1.2,1.8,3.7,10.4
Greg Anderson,PF,30,ATL,51,0,622,3.3,6.0,0.5479999999999999,0.0,0.0,0.0,3.3,6.0,0.5479999999999999,2.0,4.1,0.479,3.6,7.3,10.9,1.0,1.3,1.9,1.9,6.0,8.6
Kenny Anderson,PG,24,NJN,72,70,2689,5.5,13.8,0.39899999999999997,1.3,3.9,0.33,4.2,9.9,0.426,4.7,5.5,0.841,1.0,2.4,3.3,9.1,1.4,0.2,3.0,2.5,17.0
Nick Anderson,SG,27,ORL,76,76,2588,6.1,12.8,0.47600000000000003,2.5,6.0,0.415,3.6,6.8,0.528,2.0,2.8,0.7040000000000001,1.2,3.5,4.7,4.4,1.7,0.3,2.0,1.7,16.7
Willie Anderson,SG,28,SAS,38,11,556,4.9,10.5,0.469,0.2,1.2,0.158,4.7,9.3,0.51,1.9,2.7,0.732,1.0,2.6,3.6,3.4,1.7,0.6,2.5,4.6,12.0
Greg Anthony,PG,27,NYK,61,2,943,4.9,11.2,0.43700000000000006,2.1,5.9,0.361,2.7,5.3,0.522,2.3,2.9,0.789,0.3,2.2,2.4,6.1,1.9,0.3,2.2,3.8,14.2
B.J. Armstrong,PG,27,CHI,82,82,2577,5.8,12.5,0.46799999999999997,1.5,3.5,0.42700000000000005,4.3,9.0,0.484,2.9,3.3,0.884,0.3,2.2,2.6,3.4,1.2,0.1,1.4,2.2,16.1
Darrell Armstrong,PG,26,ORL,3,0,8,13.5,36.0,0.375,9.0,27.0,0.33299999999999996,4.5,9.0,0.5,9.0,9.0,1.0,4.5,0.0,4.5,13.5,4.5,0.0,4.5,13.5,45.0
Vincent Askew,SG,28,SEA,71,1,1721,5.2,10.5,0.49200000000000005,0.6,2.0,0.33,4.5,8.6,0.529,3.7,5.0,0.7390000000000001,1.4,2.4,3.8,3.7,1.0,0.3,1.8,4.0,14.7
Keith Askins,SF,27,MIA,50,5,854,3.4,8.7,0.391,0.9,3.3,0.26899999999999996,2.5,5.4,0.465,1.9,2.4,0.807,3.6,4.7,8.3,1.6,1.5,0.7,1.1,4.6,9.7
Stacey Augmon,SG,26,ATL,76,76,2362,6.1,13.4,0.45299999999999996,0.1,0.4,0.26899999999999996,5.9,13.0,0.45899999999999996,3.8,5.3,0.728,2.4,3.2,5.6,3.0,1.5,0.7,2.3,2.5,16.0
Anthony Avent,PF,25,ORL,71,3,1066,3.5,8.2,0.43,0.0,0.0,0.0,3.5,8.2,0.43,1.6,2.5,0.64,3.3,6.6,9.9,1.4,0.9,1.7,1.8,5.7,8.7
Vin Baker,PF,23,MIL,82,82,3361,6.4,13.2,0.483,0.1,0.3,0.292,6.3,12.9,0.48700000000000004,2.7,4.6,0.593,3.1,6.0,9.1,3.2,0.9,1.2,2.4,3.0,15.5
Charles Barkley*,PF,31,PHO,68,66,2382,8.4,17.2,0.486,1.1,3.3,0.33799999999999997,7.3,13.9,0.521,5.7,7.7,0.748,3.1,8.4,11.4,4.2,1.7,0.7,2.3,3.0,23.6
Dana Barros,PG,27,PHI,82,82,3318,6.2,12.6,0.49,2.1,4.6,0.46399999999999997,4.1,8.0,0.505,3.8,4.2,0.899,0.3,2.7,3.0,6.7,1.6,0.0,2.6,1.7,18.3
Jon Barry,SG,25,MIL,52,0,602,3.4,8.0,0.425,1.0,2.9,0.33299999999999996,2.5,5.1,0.47700000000000004,3.6,4.8,0.763,0.9,2.0,2.9,5.1,1.8,0.2,2.5,3.2,11.4
John Battle,SG,32,CLE,28,0,280,5.5,14.7,0.377,1.4,4.0,0.355,4.1,10.7,0.386,2.4,3.3,0.731,0.4,1.0,1.4,4.8,1.0,0.1,2.2,3.6,14.9
