Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,PF,22,TOR,29,0,342,4.4,7.9,0.56,0.1,0.2,0.5,4.3,7.7,0.562,3.3,4.0,0.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2
Jeff Adrien,PF,26,CHA,52,5,713,3.6,8.5,0.429,0.0,0.1,0.0,3.6,8.4,0.434,3.3,5.0,0.65,3.4,6.5,9.9,1.8,0.9,1.4,1.6,4.0,10.6
Arron Afflalo,SF,27,ORL,64,64,2307,6.2,14.1,0.439,1.1,3.7,0.3,5.1,10.4,0.489,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
Josh Akognon,PG,26,DAL,3,0,9,8.0,16.0,0.5,4.0,8.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,20.0
Cole Aldrich,C,24,TOT,45,0,388,4.1,7.4,0.55,0.0,0.0,0.0,4.1,7.4,0.55,1.1,1.9,0.6,2.8,8.4,11.1,0.8,0.5,2.1,2.1,5.6,9.3
LaMarcus Aldridge,PF,27,POR,74,74,2790,8.2,17.0,0.484,0.0,0.2,0.14300000000000002,8.2,16.8,0.488,3.6,4.5,0.81,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1
Lavoy Allen,C,23,PHI,79,37,1669,4.4,9.8,0.45399999999999996,0.0,0.0,0.0,4.4,9.8,0.455,0.9,1.3,0.7170000000000001,3.4,5.1,8.5,1.6,0.5,1.2,1.2,3.9,9.8
Ray Allen*,SG,37,MIA,79,0,2035,5.2,11.5,0.449,2.5,5.9,0.419,2.7,5.6,0.48,2.5,2.8,0.8859999999999999,0.7,3.1,3.8,2.4,1.2,0.3,1.8,2.3,15.3
Tony Allen,SG,31,MEM,79,79,2109,4.8,10.9,0.445,0.1,0.4,0.125,4.8,10.5,0.45799999999999996,2.3,3.2,0.7170000000000001,2.1,4.1,6.2,1.7,2.0,0.8,1.6,3.6,12.0
Al-Farouq Aminu,SF,22,NOH,76,71,2066,3.9,8.3,0.475,0.1,0.3,0.21100000000000002,3.9,7.9,0.486,1.8,2.4,0.737,2.4,7.8,10.2,1.8,1.6,0.9,2.0,2.7,9.7
Lou Amundson,PF,30,TOT,39,0,372,3.1,7.8,0.395,0.0,0.0,0.0,3.1,7.8,0.395,1.2,3.5,0.33299999999999996,4.6,5.6,10.3,1.1,1.5,1.2,1.8,5.1,7.4
Chris Andersen,C,34,MIA,42,0,624,4.1,7.1,0.5770000000000001,0.1,0.2,0.667,4.0,6.9,0.575,3.6,5.4,0.677,3.3,6.6,9.9,1.0,0.9,2.5,1.4,5.1,11.9
Alan Anderson,SF,30,TOR,65,2,1495,5.7,14.8,0.38299999999999995,2.3,6.9,0.33299999999999996,3.4,8.0,0.426,3.0,3.5,0.857,0.8,2.7,3.6,2.5,1.2,0.2,1.9,3.2,16.7
James Anderson,SG-SF,23,TOT,39,2,401,4.7,11.3,0.413,1.9,5.4,0.35,2.8,5.9,0.47,2.2,2.5,0.857,1.6,4.8,6.5,3.8,1.3,0.4,2.2,2.2,13.4
Ryan Anderson,PF,24,NOH,81,22,2503,6.8,16.0,0.423,3.1,8.0,0.382,3.7,8.0,0.46399999999999997,2.2,2.6,0.8440000000000001,2.7,4.7,7.5,1.4,0.6,0.4,1.4,2.6,18.8
Carmelo Anthony,PF,28,NYK,67,67,2482,9.7,21.6,0.449,2.3,6.0,0.379,7.4,15.6,0.47600000000000003,6.2,7.4,0.83,1.9,4.7,6.7,2.5,0.8,0.5,2.5,3.0,27.8
Joel Anthony,C,30,MIA,62,3,566,2.2,4.3,0.515,0.0,0.0,0.0,2.2,4.3,0.515,1.1,1.8,0.607,2.9,4.5,7.3,0.8,0.8,2.7,1.4,3.1,5.5
Trevor Ariza,SF,27,WAS,56,15,1471,4.6,11.0,0.41700000000000004,1.9,5.1,0.364,2.7,5.9,0.46299999999999997,1.9,2.3,0.821,1.1,5.4,6.5,2.8,1.8,0.5,2.1,1.8,13.0
Darrell Arthur,PF,24,MEM,59,3,970,6.0,13.3,0.451,0.2,0.7,0.278,5.8,12.7,0.46,1.2,1.7,0.7170000000000001,2.5,3.7,6.3,1.2,0.9,1.2,1.6,4.7,13.4
Ömer Aşık,C,26,HOU,82,82,2464,4.9,9.0,0.541,0.0,0.0,0.0,4.9,9.0,0.542,2.5,4.4,0.562,4.0,9.9,14.0,1.1,0.7,1.3,2.5,3.3,12.2
D.J. Augustin,PG,25,IND,76,5,1226,3.0,8.6,0.35,2.0,5.6,0.353,1.1,3.1,0.34600000000000003,2.4,2.9,0.838,0.6,2.1,2.7,5.0,1.0,0.1,2.0,1.9,10.5
Gustavo Ayón,C,27,TOT,55,3,734,4.5,8.2,0.551,0.0,0.0,0.0,4.5,8.2,0.551,1.0,2.5,0.4,2.9,6.8,9.8,3.5,1.1,0.8,2.3,5.2,10.0
Jeff Ayres,PF,25,IND,37,0,369,6.0,12.3,0.484,0.2,0.4,0.5,5.8,11.9,0.484,2.0,2.2,0.9129999999999999,2.8,7.3,10.1,1.5,0.6,1.2,2.2,4.3,14.1
Luke Babbitt,PF,23,POR,62,0,730,4.2,11.5,0.368,3.1,8.8,0.348,1.2,2.8,0.429,0.5,0.6,0.769,0.7,6.0,6.8,1.4,0.7,0.2,1.1,4.0,12.0
Leandro Barbosa,PG,30,BOS,41,2,513,5.8,13.5,0.43,1.3,3.3,0.38299999999999995,4.6,10.2,0.445,2.2,2.9,0.7559999999999999,0.6,2.7,3.2,4.1,1.2,0.4,1.5,3.6,15.1
J.J. Barea,PG,28,MIN,74,2,1713,6.6,15.9,0.41700000000000004,2.0,5.9,0.34600000000000003,4.6,10.0,0.45799999999999996,2.2,2.8,0.784,0.7,3.6,4.4,6.2,0.7,0.0,3.0,2.8,17.5
Andrea Bargnani,PF,27,TOR,35,25,1003,6.1,15.3,0.39899999999999997,1.4,4.4,0.309,4.7,10.9,0.436,2.3,2.8,0.8440000000000001,0.9,3.7,4.6,1.4,0.8,0.8,1.9,2.3,15.9
