Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mark Acres,C,27,ORL,80,50,1691,2.9,6.1,0.484,0.1,0.1,0.75,2.9,6.0,0.48,1.8,2.6,0.6920000000000001,3.3,5.9,9.2,1.4,0.8,0.5,1.5,5.3,7.7
Michael Adams,PG,27,DEN,79,74,2690,5.3,13.2,0.402,2.1,5.8,0.366,3.2,7.5,0.431,3.6,4.2,0.85,0.7,2.4,3.0,6.6,1.6,0.0,1.9,1.8,16.3
Mark Aguirre,SF,30,DET,78,40,2005,7.9,16.1,0.488,0.6,1.7,0.33299999999999996,7.3,14.5,0.506,3.4,4.6,0.7559999999999999,2.1,3.4,5.5,2.6,0.6,0.3,2.2,3.6,19.7
Danny Ainge,PG,30,SAC,75,68,2727,6.7,15.2,0.43799999999999994,1.4,3.8,0.374,5.3,11.4,0.46,2.9,3.5,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.4,3.1,17.7
Mark Alarie,PF,26,WSB,82,10,1893,7.1,14.9,0.473,0.2,0.9,0.204,6.9,14.0,0.49,2.1,2.5,0.812,2.9,4.2,7.1,2.7,1.1,0.7,1.9,4.2,16.4
Steve Alford,PG,25,DAL,41,0,302,7.5,16.5,0.457,0.8,2.6,0.318,6.7,13.8,0.483,4.2,4.4,0.946,0.2,2.7,3.0,4.6,1.8,0.4,1.9,2.6,20.0
Randy Allen,SG,25,SAC,63,6,746,5.1,11.5,0.444,0.0,0.3,0.0,5.1,11.2,0.457,1.1,2.1,0.535,2.4,4.3,6.7,1.1,0.8,0.9,1.4,4.9,11.3
Greg Anderson,PF,25,MIL,60,28,1291,6.1,12.0,0.507,0.0,0.0,0.0,6.1,12.0,0.507,2.5,4.7,0.535,3.1,7.3,10.4,0.7,0.9,1.5,2.2,4.9,14.8
Nick Anderson,SG,22,ORL,81,9,1785,7.5,15.2,0.494,0.0,0.3,0.059000000000000004,7.5,14.8,0.504,3.8,5.3,0.705,2.2,4.2,6.4,2.5,1.4,0.7,2.8,2.8,18.8
Richard Anderson,PF,29,CHH,54,2,604,5.2,12.6,0.41700000000000004,2.2,6.0,0.37,3.0,6.6,0.45899999999999996,1.1,1.4,0.7829999999999999,2.0,5.6,7.6,3.3,1.2,0.5,1.5,3.8,13.8
Ron Anderson,SF,31,PHI,78,3,2089,6.5,14.5,0.451,0.1,0.4,0.14300000000000002,6.5,14.1,0.45899999999999996,2.8,3.4,0.838,1.4,3.7,5.1,2.5,1.2,0.2,1.3,2.5,16.0
Willie Anderson,SG,23,SAS,82,81,2788,6.9,14.0,0.49200000000000005,0.1,0.3,0.26899999999999996,6.8,13.6,0.49700000000000005,2.8,3.7,0.748,1.5,3.3,4.8,4.7,1.4,0.7,2.6,3.3,16.6
Michael Ansley,SF,22,ORL,72,5,1221,6.8,13.7,0.49700000000000005,0.0,0.0,0.0,6.8,13.7,0.49700000000000005,4.8,6.7,0.722,5.5,5.2,10.7,1.2,0.7,0.5,1.5,4.5,18.5
B.J. Armstrong,PG,22,CHI,81,0,1291,5.3,10.9,0.485,0.1,0.2,0.5,5.2,10.8,0.484,1.9,2.2,0.885,0.5,2.3,2.8,5.5,1.3,0.2,2.3,2.9,12.6
John Bagley,PG,29,BOS,54,17,1095,3.3,7.2,0.45899999999999996,0.0,0.6,0.055999999999999994,3.3,6.6,0.495,1.0,1.3,0.7440000000000001,0.9,2.1,2.9,9.7,1.3,0.1,3.0,2.5,7.6
Thurl Bailey,SF,28,UTA,82,33,2583,6.6,13.6,0.48100000000000004,0.0,0.1,0.0,6.6,13.5,0.485,3.1,4.0,0.779,1.6,4.1,5.7,1.9,0.4,1.4,1.9,2.4,16.2
Ken Bannister,PF,29,LAC,52,1,589,4.7,9.8,0.478,0.0,0.1,0.0,4.7,9.8,0.48100000000000004,3.2,6.7,0.473,2.4,4.5,6.8,1.1,1.0,0.4,2.7,5.6,12.6
Charles Barkley*,SF,26,PHI,79,79,3085,8.2,13.7,0.6,0.2,1.1,0.217,8.0,12.7,0.632,6.5,8.7,0.7490000000000001,4.2,6.4,10.6,3.6,1.7,0.6,2.8,2.9,23.2
Dana Barros,PG,22,SEA,81,25,1630,6.6,16.3,0.405,2.1,5.3,0.39899999999999997,4.5,11.0,0.408,2.0,2.4,0.809,0.8,2.1,2.9,4.5,1.2,0.0,2.7,2.1,17.3
John Battle,SG,27,ATL,60,48,1477,6.7,13.3,0.506,0.0,0.3,0.154,6.7,12.9,0.514,2.5,3.3,0.7559999999999999,0.7,1.8,2.4,3.8,0.7,0.1,2.2,2.8,15.9
Kenny Battle,SG,25,PHO,59,8,729,4.6,8.4,0.547,0.0,0.2,0.25,4.5,8.2,0.5539999999999999,2.7,4.0,0.6709999999999999,2.2,4.0,6.1,1.9,1.7,0.5,1.6,4.6,12.0
William Bedford,C,26,DET,42,0,246,7.9,18.3,0.43200000000000005,0.1,0.9,0.16699999999999998,7.8,17.4,0.445,1.3,3.2,0.409,2.2,6.3,8.5,0.6,0.4,2.5,3.1,5.7,17.3
Benoit Benjamin,C,25,LAC,71,58,2313,5.6,10.7,0.526,0.0,0.0,0.0,5.6,10.7,0.527,3.7,5.0,0.732,2.4,7.8,10.2,2.5,0.9,2.9,2.9,3.4,14.9
Winston Bennett,SF,24,CLE,55,34,990,5.0,10.4,0.479,0.0,0.0,0.0,5.0,10.4,0.479,2.3,3.5,0.667,3.1,3.8,6.8,2.0,0.8,0.4,2.3,4.8,12.3
Larry Bird*,SF,33,BOS,75,75,2944,8.8,18.6,0.473,0.8,2.4,0.33299999999999996,8.0,16.2,0.494,3.9,4.2,0.93,1.1,7.6,8.7,6.9,1.3,0.7,3.0,2.1,22.3
Uwe Blab,C,27,TOT,47,33,531,2.6,6.6,0.39799999999999996,0.0,0.0,0.0,2.6,6.6,0.39799999999999996,1.4,2.5,0.541,2.0,5.4,7.3,1.7,0.1,1.5,2.4,6.9,6.6
Rolando Blackman,SG,30,DAL,80,80,2934,7.7,15.4,0.498,0.2,0.5,0.302,7.5,14.9,0.505,3.5,4.2,0.8440000000000001,1.1,2.4,3.4,3.5,0.9,0.3,2.1,1.6,19.0
Mookie Blaylock,PG,22,NJN,50,17,1267,6.0,16.2,0.371,0.5,2.3,0.225,5.5,14.0,0.395,1.8,2.3,0.778,1.2,2.8,4.0,6.0,2.3,0.4,3.2,3.1,14.3
Muggsy Bogues,PG,25,CHH,81,65,2743,4.3,8.7,0.491,0.1,0.3,0.192,4.2,8.4,0.503,1.4,1.8,0.7909999999999999,0.6,2.1,2.7,11.4,2.2,0.0,1.9,2.2,10.0
Manute Bol,C,27,GSW,75,20,1310,1.5,4.6,0.331,0.2,1.3,0.188,1.3,3.3,0.38799999999999996,0.7,1.3,0.51,0.9,6.7,7.6,1.0,0.4,6.5,1.4,5.3,4.0
Anthony Bowie,SG,26,HOU,66,0,918,4.7,11.5,0.406,0.2,0.8,0.28600000000000003,4.4,10.7,0.415,1.6,2.1,0.741,1.4,3.2,4.6,3.8,1.6,0.2,2.3,3.1,11.1
Sam Bowie,C,28,NJN,68,54,2207,5.7,13.6,0.41600000000000004,0.2,0.5,0.32299999999999995,5.5,13.1,0.42,4.8,6.2,0.7759999999999999,3.4,7.9,11.3,1.5,0.6,2.0,2.0,3.4,16.3
Adrian Branch,SF,26,MIN,11,0,91,9.9,24.1,0.41,0.4,0.4,1.0,9.5,23.7,0.4,5.5,8.7,0.636,3.2,4.7,7.9,1.6,2.4,0.0,3.2,5.5,25.7
Randy Breuer,C,29,TOT,81,55,1879,5.7,13.3,0.428,0.0,0.0,0.0,5.7,13.3,0.429,2.4,3.7,0.653,3.0,5.0,8.0,1.9,0.8,2.1,1.8,3.8,13.8
Frank Brickowski,C,30,SAS,78,12,1438,5.3,9.7,0.545,0.0,0.1,0.0,5.3,9.6,0.5479999999999999,2.4,3.5,0.674,2.2,6.0,8.2,2.6,1.7,0.9,2.3,5.7,12.9
Scott Brooks,PG,24,PHI,72,1,975,4.4,10.2,0.431,1.1,2.9,0.392,3.2,7.3,0.447,1.8,2.1,0.877,0.6,1.8,2.4,7.6,1.7,0.0,1.4,3.9,11.8
Chucky Brown,SF,21,CLE,75,35,1339,5.6,12.0,0.47,0.0,0.2,0.0,5.6,11.8,0.47700000000000004,3.4,4.4,0.762,2.2,4.0,6.2,1.3,0.9,0.7,1.9,4.0,14.7
Mike Brown,C,26,UTA,82,0,1397,4.6,8.9,0.515,0.0,0.1,0.5,4.5,8.8,0.515,4.0,5.1,0.789,2.9,6.8,9.6,1.2,0.8,0.7,2.3,4.8,13.2
Raymond Brown,PF,24,UTA,16,0,56,5.1,18.0,0.28600000000000003,0.0,0.0,0.0,5.1,18.0,0.28600000000000003,0.0,1.3,0.0,6.4,3.2,9.6,2.6,0.0,0.0,3.9,7.1,10.3
Tony Brown,SF,29,MIL,61,10,635,5.0,11.7,0.42700000000000005,0.3,1.1,0.25,4.7,10.5,0.446,2.2,3.2,0.679,2.2,1.9,4.1,2.3,1.8,0.2,2.9,4.5,12.4
Stanley Brundy,SF,22,NJN,16,0,128,4.2,8.4,0.5,0.0,0.0,0.0,4.2,8.4,0.5,2.0,5.1,0.389,4.2,3.1,7.3,0.8,1.7,1.4,1.7,6.8,10.4
