Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,41,LAL,74,74,1695,6.6,14.0,0.475,0.0,0.1,0.0,6.6,13.9,0.47700000000000004,2.6,3.5,0.7390000000000001,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9
Mark Acres,C,26,BOS,62,0,632,3.1,6.5,0.48200000000000004,0.1,0.1,1.0,3.1,6.4,0.478,1.5,2.7,0.542,3.4,5.0,8.3,1.1,1.1,0.3,1.3,5.4,7.8
Michael Adams,PG,26,DEN,77,77,2787,6.0,14.0,0.433,2.1,6.0,0.35600000000000004,3.9,8.0,0.49,4.2,5.1,0.8190000000000001,0.9,2.7,3.7,6.3,2.1,0.1,2.3,1.9,18.4
Mark Aguirre,SF,29,TOT,80,76,2597,8.1,17.6,0.461,0.7,2.4,0.293,7.4,15.2,0.488,4.0,5.4,0.733,2.0,3.3,5.4,3.9,0.6,0.5,2.9,3.2,20.9
Danny Ainge,PG,29,TOT,73,54,2377,7.3,15.9,0.457,1.8,4.6,0.38,5.5,11.3,0.488,3.1,3.6,0.8540000000000001,1.1,2.8,3.9,6.1,1.4,0.1,2.2,2.8,19.4
Mark Alarie,PF,25,WSB,74,5,1141,6.5,13.6,0.478,0.4,1.2,0.342,6.1,12.4,0.491,2.3,2.7,0.8390000000000001,3.2,4.8,8.0,2.0,0.8,0.7,2.0,5.0,15.7
Steve Alford,PG,24,TOT,66,3,906,5.9,12.9,0.457,0.8,2.2,0.364,5.1,10.7,0.47600000000000003,2.0,2.4,0.82,0.4,2.5,2.9,3.7,1.8,0.1,1.8,2.3,14.5
Randy Allen,SG,24,SAC,7,0,43,6.7,15.9,0.42100000000000004,0.0,0.8,0.0,6.7,15.1,0.444,0.8,1.7,0.5,2.5,3.3,5.9,0.0,0.8,0.8,1.7,5.9,14.2
Greg Anderson,PF,24,SAS,82,56,2401,6.9,13.7,0.503,0.0,0.0,0.0,6.9,13.7,0.505,3.1,6.0,0.514,3.8,6.3,10.1,0.9,1.5,1.5,2.7,3.3,16.9
Michael Anderson,PG,22,SAS,36,12,730,3.6,8.6,0.41700000000000004,0.0,0.3,0.14300000000000002,3.6,8.3,0.429,2.8,4.0,0.695,2.2,2.2,4.4,7.5,2.2,0.1,4.1,3.2,10.1
