Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,37,LAL,79,79,2630,9.9,16.5,0.599,0.0,0.0,0.0,9.9,16.5,0.6,4.0,5.4,0.732,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7
Alvan Adams,PF,30,PHO,82,69,2136,8.0,15.4,0.52,0.0,0.0,0.0,8.0,15.4,0.52,4.2,4.8,0.883,2.6,5.8,8.4,5.2,1.9,0.8,3.3,4.3,20.3
Mark Aguirre,SF,25,DAL,80,79,2699,10.6,20.9,0.506,0.4,1.1,0.318,10.2,19.8,0.517,5.9,7.7,0.759,2.5,3.9,6.4,3.3,0.8,0.3,3.4,3.3,27.4
Danny Ainge,SG,25,BOS,75,73,2564,5.9,11.1,0.529,0.2,0.8,0.268,5.7,10.3,0.5489999999999999,1.7,1.9,0.868,1.1,2.7,3.8,5.6,1.7,0.1,2.1,3.2,13.6
Chuck Aleksinas,C,25,GSW,74,4,1114,5.2,10.9,0.478,0.0,0.0,0.0,5.2,10.9,0.479,1.8,2.4,0.733,2.8,5.9,8.7,1.2,0.5,0.5,2.3,5.5,12.2
J.J. Anderson,SF,24,UTA,44,0,457,4.8,11.7,0.409,0.0,0.2,0.0,4.8,11.6,0.415,2.1,3.5,0.6,2.3,4.2,6.5,1.7,2.3,0.7,2.5,5.5,11.7
Ron Anderson,SF,26,CLE,36,7,520,5.8,13.5,0.431,0.1,0.1,0.5,5.7,13.4,0.43,2.8,3.5,0.82,2.7,3.4,6.1,2.4,0.6,0.5,2.4,2.8,14.5
John Bagley,PG,24,CLE,81,65,2401,5.1,10.4,0.488,0.0,0.4,0.115,5.0,10.0,0.502,1.9,2.5,0.7490000000000001,0.8,3.6,4.4,10.5,1.9,0.1,3.1,2.0,12.1
James Bailey,PF,27,NYK,74,28,1297,4.3,9.7,0.447,0.0,0.0,0.0,4.3,9.7,0.44799999999999995,2.0,3.0,0.6759999999999999,3.4,6.2,9.5,1.1,0.8,1.4,2.8,7.9,10.7
Thurl Bailey,PF,23,UTA,80,68,2481,7.4,15.0,0.49,0.0,0.0,1.0,7.3,15.0,0.49,2.9,3.4,0.8420000000000001,2.2,5.4,7.6,2.0,0.7,1.5,2.2,3.1,17.6
Greg Ballard,SF,30,WSB,82,77,2664,6.3,13.2,0.48,0.2,0.6,0.304,6.1,12.6,0.488,1.6,2.0,0.795,2.0,5.1,7.2,2.8,1.4,0.4,1.4,3.0,14.5
Gene Banks,SF,25,SAS,82,41,2091,5.0,8.5,0.586,0.0,0.1,0.33299999999999996,5.0,8.4,0.588,3.4,4.4,0.774,2.3,5.4,7.7,4.0,1.1,0.2,2.4,3.8,13.4
Ken Bannister,PF,24,NYK,75,50,1404,5.4,11.4,0.47,0.0,0.0,0.0,5.4,11.4,0.47,2.3,4.9,0.474,2.8,5.7,8.5,1.0,1.0,1.0,3.6,7.2,13.1
Charles Barkley*,PF,21,PHI,82,60,2347,6.5,12.0,0.545,0.0,0.1,0.16699999999999998,6.5,11.9,0.5479999999999999,4.5,6.1,0.733,4.1,6.7,10.8,2.4,1.5,1.2,3.2,4.6,17.6
Kent Benson,C,30,DET,72,35,1401,5.2,10.2,0.506,0.0,0.1,0.0,5.2,10.1,0.51,2.0,2.4,0.809,2.6,5.7,8.3,2.4,1.4,1.1,1.7,5.3,12.3
Larry Bird*,SF,28,BOS,80,77,3161,10.5,20.0,0.522,0.6,1.5,0.42700000000000005,9.8,18.6,0.529,4.6,5.2,0.882,1.9,7.7,9.6,6.0,1.5,1.1,2.8,2.4,26.1
Otis Birdsong,SG,29,NJN,56,45,1842,9.7,18.9,0.511,0.1,0.4,0.19,9.6,18.5,0.518,3.1,5.1,0.622,1.2,1.7,2.9,4.5,1.6,0.1,2.3,2.8,22.6
Rolando Blackman,SG,25,DAL,81,80,2834,7.9,15.6,0.508,0.1,0.3,0.3,7.9,15.4,0.512,4.3,5.2,0.828,1.4,2.5,3.8,3.7,0.8,0.2,2.1,1.2,20.3
Cory Blackwell,SF,21,SEA,60,0,551,5.7,15.5,0.36700000000000005,0.0,0.1,0.0,5.7,15.4,0.37,1.8,3.6,0.509,2.7,3.5,6.3,1.7,1.6,0.2,2.9,3.6,13.2
Sam Bowie,C,23,POR,76,62,2216,4.9,9.0,0.537,0.0,0.0,0.0,4.9,9.0,0.537,2.6,3.7,0.711,3.4,7.3,10.7,3.5,0.9,3.3,2.8,4.5,12.3
