Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,31,LAL,80,0,3157,8.9,15.4,0.5770000000000001,0,0,0,8.9,15.4,0.5770000000000001,4.0,5.4,0.736,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7
Tom Abernethy,PF,24,GSW,70,0,1219,5.2,10.1,0.515,0,0,0,5.2,10.1,0.515,2.1,2.8,0.745,2.2,4.2,6.4,2.3,1.2,0.4,0.9,3.9,12.5
Alvan Adams,C,24,PHO,77,0,2364,8.7,16.3,0.53,0,0,0,8.7,16.3,0.53,3.5,4.4,0.799,3.4,7.4,10.7,5.5,1.7,1.0,4.2,3.7,20.8
Lucius Allen,PG,31,KCK,31,0,413,6.0,15.2,0.397,0,0,0,6.0,15.2,0.397,1.7,2.9,0.5760000000000001,1.2,2.8,4.0,3.8,1.8,0.5,2.6,4.5,13.7
Kim Anderson,SF,23,POR,21,0,224,3.9,12.4,0.312,0,0,0,3.9,12.4,0.312,2.4,4.5,0.536,2.7,4.5,7.2,2.4,0.6,0.8,3.5,6.8,10.1
Tiny Archibald*,PG,30,BOS,69,0,1662,5.6,12.4,0.452,0,0,0,5.6,12.4,0.452,5.2,6.6,0.7879999999999999,0.5,1.7,2.2,7.0,1.2,0.1,4.3,2.9,16.5
Tate Armstrong,SG,23,CHI,26,0,259,3.9,9.7,0.4,0,0,0,3.9,9.7,0.4,1.4,1.8,0.769,1.0,1.8,2.8,4.3,1.4,0.0,2.9,3.1,9.2
Dennis Awtrey,C,30,TOT,63,0,746,2.1,5.2,0.41100000000000003,0,0,0,2.1,5.2,0.41100000000000003,2.0,2.7,0.732,2.0,5.3,7.3,3.3,0.8,0.6,2.5,5.1,6.2
Gus Bailey,SG,27,NOJ,2,0,9,8.0,28.0,0.28600000000000003,0,0,0,8.0,28.0,0.28600000000000003,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,4.0,4.0,16.0
Greg Ballard,SF,24,WSB,82,0,1552,6.0,13.0,0.465,0,0,0,6.0,13.0,0.465,2.8,4.0,0.6920000000000001,3.3,7.1,10.4,2.7,1.3,0.7,2.3,3.9,14.8
