Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,28,SAC,31,0,530,7.0,18.5,0.377,0.3,2.1,0.161,6.7,16.4,0.405,1.1,1.1,1.0,0.4,2.1,2.5,3.9,1.1,0.1,1.3,2.1,15.4
Tariq Abdul-Wahad,SG,23,SAC,59,16,959,5.4,13.4,0.40299999999999997,0.2,0.7,0.21100000000000002,5.3,12.7,0.414,3.2,4.7,0.672,1.7,2.7,4.4,1.9,1.3,0.5,2.4,3.0,14.1
Shareef Abdur-Rahim,SF,21,VAN,82,82,2950,8.0,16.4,0.485,0.3,0.6,0.41200000000000003,7.7,15.8,0.488,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
Cory Alexander,PG,24,TOT,60,22,1298,4.7,11.1,0.428,1.8,4.9,0.375,2.9,6.2,0.469,2.2,2.8,0.784,0.5,3.6,4.0,5.8,1.9,0.3,3.1,2.7,13.5
Ray Allen*,SG,22,MIL,82,82,3287,6.2,14.4,0.428,1.5,4.0,0.364,4.7,10.4,0.45299999999999996,3.7,4.3,0.875,1.4,3.0,4.4,3.9,1.2,0.1,2.9,2.7,17.5
Derek Anderson,SF,23,CLE,66,13,1839,4.7,11.5,0.408,0.3,1.6,0.20199999999999999,4.3,9.8,0.442,5.4,6.2,0.873,1.1,2.6,3.7,4.4,1.7,0.3,2.5,2.7,15.1
Greg Anderson,C,33,ATL,50,0,398,3.3,7.3,0.444,0.0,0.5,0.0,3.3,6.9,0.474,1.4,3.7,0.39,3.5,7.1,10.7,1.4,1.7,0.9,1.5,7.7,8.0
Kenny Anderson,PG,27,TOT,61,56,1858,5.2,13.1,0.39799999999999996,1.1,3.1,0.35600000000000004,4.1,10.0,0.41100000000000003,3.0,3.8,0.789,0.8,2.6,3.4,6.7,1.7,0.0,2.8,2.6,14.5
Nick Anderson,SF,30,ORL,58,44,1701,7.3,16.0,0.455,1.6,4.5,0.36,5.6,11.4,0.493,2.7,4.2,0.638,2.1,4.2,6.3,2.5,1.5,0.5,1.8,2.1,18.8
Shandon Anderson,SG,24,UTA,82,2,1602,6.0,11.2,0.5379999999999999,0.2,0.7,0.21899999999999997,5.9,10.5,0.56,3.1,4.2,0.735,1.9,3.2,5.1,2.0,1.5,0.4,2.0,3.3,15.3
Chris Anstey,C,23,DAL,41,8,680,4.9,12.2,0.39799999999999996,0.2,0.8,0.188,4.7,11.4,0.414,2.8,3.9,0.716,2.8,5.5,8.3,1.9,1.6,1.4,2.2,5.0,12.7
Greg Anthony,PG,30,SEA,80,0,1021,5.3,12.3,0.43,2.3,5.6,0.415,3.0,6.7,0.442,1.9,2.8,0.6629999999999999,0.6,3.3,3.9,7.2,2.3,0.1,3.2,3.4,14.8
B.J. Armstrong,PG,30,TOT,66,0,831,4.5,9.2,0.493,0.4,1.5,0.257,4.2,7.7,0.539,1.8,2.2,0.84,0.7,2.6,3.3,6.5,1.3,0.0,1.8,3.2,11.3
Darrell Armstrong,PG,29,ORL,48,17,1236,4.5,11.1,0.41100000000000003,0.7,2.0,0.368,3.8,9.1,0.42,3.1,3.6,0.8540000000000001,1.9,2.7,4.6,6.9,1.7,0.1,3.3,2.8,12.9
Vincent Askew,SG,31,POR,30,5,443,1.5,4.4,0.35200000000000004,0.0,0.2,0.0,1.5,4.2,0.365,2.3,3.2,0.718,1.7,3.8,5.5,3.1,1.5,0.4,2.8,3.2,5.4
Keith Askins,SF,30,MIA,46,12,681,2.1,6.4,0.32,1.1,3.9,0.284,1.0,2.5,0.375,0.6,1.0,0.632,1.5,3.9,5.3,1.5,1.4,0.6,1.4,5.7,5.9
