Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,38,LAL,79,79,2629,10.3,18.3,0.564,0.0,0.0,0.0,10.3,18.3,0.565,4.6,6.0,0.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3
Alvan Adams,C,31,PHO,78,45,2005,6.1,12.2,0.502,0.0,0.0,0.0,6.1,12.2,0.504,2.9,3.6,0.7829999999999999,2.7,5.9,8.6,5.8,1.8,0.8,3.7,4.9,15.1
Michael Adams,PG,23,SAC,18,0,139,4.1,11.4,0.364,0.0,0.8,0.0,4.1,10.6,0.39,2.1,3.1,0.667,0.5,1.0,1.6,5.7,2.3,0.3,2.8,2.3,10.4
Mark Aguirre,SF,26,DAL,74,73,2501,9.6,19.1,0.503,0.2,0.8,0.28600000000000003,9.4,18.3,0.513,4.6,6.5,0.705,2.5,3.9,6.4,4.9,0.9,0.2,3.6,3.3,24.0
Danny Ainge,SG,26,BOS,80,78,2407,5.3,10.5,0.504,0.4,1.1,0.35600000000000004,4.9,9.4,0.521,1.8,2.0,0.904,0.7,2.8,3.5,6.1,1.4,0.1,1.9,3.1,12.8
Ron Anderson,SF,27,TOT,77,30,1676,6.7,13.5,0.494,0.0,0.2,0.222,6.6,13.3,0.498,1.8,2.7,0.669,2.8,3.1,5.9,3.1,1.2,0.1,1.8,2.7,15.2
John Bagley,PG,25,CLE,78,77,2472,5.3,12.6,0.423,0.1,0.5,0.243,5.2,12.1,0.431,2.5,3.1,0.7909999999999999,1.1,2.9,4.0,10.7,1.8,0.1,3.5,2.4,13.3
James Bailey,PF,28,NYK,48,36,1245,5.8,12.8,0.456,0.0,0.1,0.0,5.8,12.7,0.46,3.7,4.8,0.772,2.9,6.7,9.7,1.4,1.0,1.2,2.9,6.0,15.4
Thurl Bailey,PF,24,UTA,82,13,2358,7.4,16.4,0.44799999999999995,0.0,0.1,0.0,7.4,16.3,0.451,3.5,4.2,0.83,2.3,5.3,7.5,2.3,0.6,1.7,2.2,2.4,18.3
Greg Ballard,SF,31,GSW,75,14,1792,5.5,11.5,0.47700000000000004,0.3,0.7,0.486,5.1,10.7,0.47700000000000004,2.0,2.5,0.802,2.7,5.7,8.4,1.7,1.3,0.2,1.1,3.5,13.3
Gene Banks,SF,26,CHI,82,33,2139,6.0,11.6,0.517,0.0,0.3,0.0,6.0,11.3,0.532,3.1,4.3,0.718,3.0,3.1,6.1,4.2,1.4,0.2,2.3,3.6,15.1
Ken Bannister,PF,25,NYK,70,15,1405,6.0,12.3,0.491,0.0,0.0,0.0,6.0,12.2,0.49200000000000005,3.4,6.4,0.526,2.3,6.0,8.3,1.1,1.1,0.6,3.3,5.3,15.4
Charles Barkley*,PF,22,PHI,80,80,2952,7.3,12.7,0.5720000000000001,0.2,0.9,0.22699999999999998,7.0,11.8,0.598,4.8,7.0,0.685,4.3,8.2,12.5,3.8,2.1,1.5,4.3,4.1,19.5
John Battle,SG,23,ATL,64,0,639,5.7,12.5,0.455,0.0,0.4,0.0,5.7,12.1,0.47,4.2,5.8,0.728,0.7,2.8,3.5,4.2,1.3,0.2,2.6,4.5,15.6
Benoit Benjamin,C,21,LAC,79,37,2088,5.6,11.4,0.49,0.0,0.1,0.33299999999999996,5.6,11.3,0.491,3.9,5.3,0.746,2.8,7.6,10.3,1.4,1.1,3.6,2.5,4.9,15.1
Kent Benson,C,31,DET,72,51,1344,5.4,11.1,0.484,0.0,0.1,0.5,5.4,11.1,0.484,1.8,2.2,0.795,3.2,6.9,10.1,2.1,1.6,1.4,1.6,5.2,12.6
Larry Bird*,SF,29,BOS,82,81,3113,9.2,18.6,0.496,0.9,2.2,0.423,8.3,16.3,0.506,5.1,5.7,0.8959999999999999,2.2,7.1,9.3,6.4,1.9,0.6,3.1,2.1,24.5
Otis Birdsong,SG,30,NJN,77,74,2395,8.1,15.9,0.513,0.1,0.3,0.364,8.0,15.5,0.516,1.8,3.2,0.581,1.3,1.7,3.0,3.9,1.3,0.3,2.7,3.4,18.2
Uwe Blab,C,23,DAL,48,0,409,3.9,8.3,0.46799999999999997,0.0,0.0,0.0,3.9,8.3,0.46799999999999997,3.2,5.9,0.537,2.2,5.8,8.0,1.5,0.3,1.1,2.5,5.7,10.9
Rolando Blackman,SG,26,DAL,82,81,2787,8.7,17.0,0.514,0.1,0.4,0.138,8.7,16.7,0.522,5.2,6.2,0.836,1.1,2.6,3.8,3.5,1.0,0.3,2.4,1.8,22.8
Manute Bol,C,23,WSB,80,60,2090,2.2,4.8,0.46,0.0,0.0,0.0,2.2,4.8,0.462,0.7,1.5,0.488,2.1,6.1,8.2,0.4,0.5,6.8,1.1,4.4,5.1
Sam Bowie,C,24,POR,38,34,1132,5.3,11.0,0.484,0.0,0.0,0.0,5.3,11.0,0.484,3.6,5.1,0.708,3.0,7.4,10.4,3.1,0.7,3.1,2.8,4.5,14.2
Dudley Bradley,SG,28,WSB,70,7,842,3.1,8.9,0.349,0.7,2.9,0.25,2.4,6.0,0.397,1.4,2.4,0.5710000000000001,1.0,3.0,4.1,4.6,3.6,0.1,1.9,4.3,8.3
Mike Bratz,PG,30,SAC,33,0,269,3.5,9.4,0.371,0.5,1.9,0.28600000000000003,2.9,7.5,0.39299999999999996,1.9,2.4,0.778,0.3,2.8,3.1,5.2,1.7,0.0,2.3,5.8,9.4
Randy Breuer,C,25,MIL,82,63,1792,5.5,11.5,0.47700000000000004,0.0,0.0,0.0,5.5,11.4,0.478,2.8,4.0,0.7120000000000001,3.2,6.0,9.2,2.3,1.0,2.3,2.5,4.3,13.8
