Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,23,POR,71,1,934,6.9,13.9,0.493,0.0,0.0,0.0,6.9,13.9,0.493,2.9,3.9,0.752,3.1,6.9,10.0,1.2,1.0,0.6,2.5,5.1,16.7
Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,8.3,19.8,0.42100000000000004,0.7,2.2,0.33,7.6,17.6,0.433,2.2,2.5,0.87,0.5,2.2,2.7,4.5,1.0,0.1,2.7,3.0,19.6
Mark Acres,C,29,ORL,68,6,926,3.0,5.9,0.517,0.0,0.1,0.33299999999999996,3.0,5.8,0.52,2.0,2.6,0.7609999999999999,3.8,6.0,9.8,0.9,1.0,0.6,1.3,5.4,8.1
Michael Adams,PG,29,WSB,78,78,2795,6.2,15.9,0.39299999999999996,1.6,5.0,0.324,4.6,10.9,0.425,4.0,4.6,0.8690000000000001,0.7,3.2,4.0,7.7,1.9,0.1,2.7,2.1,18.1
Rafael Addison,SF,27,NJN,76,8,1175,5.7,13.2,0.433,0.4,1.5,0.28600000000000003,5.3,11.7,0.452,1.7,2.3,0.737,2.0,3.1,5.1,2.1,0.9,0.9,1.4,3.3,13.6
Mark Aguirre,SF,32,DET,75,12,1582,7.7,17.9,0.431,0.3,1.6,0.21100000000000002,7.4,16.3,0.45299999999999996,3.6,5.2,0.687,1.5,3.8,5.4,2.9,1.2,0.3,2.4,3.9,19.4
Danny Ainge,SG,32,POR,81,6,1595,6.7,15.3,0.442,1.8,5.2,0.33899999999999997,5.0,10.1,0.496,2.4,3.0,0.8240000000000001,0.9,2.4,3.3,4.6,1.6,0.3,1.6,3.3,17.7
Victor Alexander,C,22,GSW,80,28,1350,6.5,12.2,0.529,0.0,0.0,0.0,6.5,12.2,0.531,2.7,4.0,0.691,2.8,6.1,9.0,0.9,1.2,1.7,2.4,4.7,15.7
Greg Anderson,PF,27,DEN,82,82,2793,5.0,11.0,0.456,0.0,0.1,0.0,5.0,11.0,0.45799999999999996,2.2,3.5,0.623,4.3,7.8,12.1,1.0,1.1,0.8,2.6,3.4,12.2
Kenny Anderson,PG,21,NJN,64,13,1086,6.2,15.9,0.39,0.1,0.4,0.231,6.1,15.5,0.39399999999999996,2.4,3.2,0.745,1.3,3.0,4.2,6.7,2.2,0.3,3.2,2.3,14.9
Nick Anderson,SG,24,ORL,60,59,2203,7.9,17.0,0.46299999999999997,0.5,1.4,0.353,7.4,15.6,0.47200000000000003,3.3,5.0,0.667,1.6,4.7,6.3,2.7,1.6,0.5,2.1,2.2,19.5
Ron Anderson,SF,33,PHI,82,11,2432,6.9,14.9,0.465,0.6,1.9,0.331,6.3,13.0,0.485,2.1,2.4,0.877,1.4,2.7,4.1,2.0,1.3,0.2,1.6,1.9,16.6
Willie Anderson,SG,25,SAS,57,55,1889,5.9,13.1,0.455,0.2,1.1,0.23199999999999998,5.7,12.0,0.475,2.0,2.6,0.775,1.2,4.5,5.7,5.8,1.0,1.0,2.7,2.9,14.2
Michael Ansley,SF,24,TOT,10,0,45,6.4,14.4,0.444,0.0,0.0,0.0,6.4,14.4,0.444,4.0,4.8,0.833,1.6,3.2,4.8,1.6,0.0,0.0,2.4,5.6,16.8
Greg Anthony,PG,24,NYK,82,1,1510,3.8,10.4,0.37,0.2,1.3,0.145,3.6,9.1,0.40299999999999997,2.8,3.8,0.741,0.8,2.5,3.2,7.5,1.4,0.2,2.3,4.1,10.7
B.J. Armstrong,PG,24,CHI,82,3,1875,6.4,13.4,0.48100000000000004,0.7,1.7,0.402,5.8,11.7,0.49200000000000005,2.0,2.5,0.8059999999999999,0.4,2.4,2.8,5.1,0.9,0.1,1.8,1.7,15.5
Vincent Askew,SG,25,GSW,80,10,1496,4.6,9.1,0.509,0.0,0.2,0.1,4.6,8.9,0.52,2.7,3.9,0.6940000000000001,2.1,3.5,5.6,4.5,1.1,0.6,2.0,3.1,12.0
Keith Askins,SF,24,MIA,59,4,843,3.6,8.8,0.41,1.1,3.1,0.342,2.5,5.6,0.447,1.1,1.6,0.703,2.8,3.3,6.1,1.6,1.7,0.6,2.0,4.7,9.4
Stacey Augmon,SG,23,ATL,82,82,2505,6.3,12.9,0.489,0.0,0.1,0.16699999999999998,6.3,12.8,0.49200000000000005,3.1,4.6,0.6659999999999999,2.7,3.3,6.0,2.9,1.8,0.4,2.6,2.3,15.7
Isaac Austin,C,22,UTA,31,0,112,6.8,14.8,0.457,0.0,0.0,0.0,6.8,14.8,0.457,6.1,9.6,0.633,3.5,7.7,11.3,1.6,0.6,0.6,2.6,6.4,19.6
