Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,PF,25,SAC,59,29,876,4.9,8.8,0.556,0.8,2.0,0.38799999999999996,4.1,6.8,0.606,2.1,2.8,0.735,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6
Jordan Adams,SG,21,MEM,2,0,15,4.8,14.4,0.33299999999999996,0.0,2.4,0.0,4.8,12.0,0.4,7.2,12.0,0.6,0.0,4.8,4.8,7.2,7.2,0.0,4.8,4.8,16.8
Steven Adams,C,22,OKC,80,80,2014,4.7,7.6,0.613,0.0,0.0,0.0,4.7,7.6,0.613,2.0,3.5,0.5820000000000001,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4
Arron Afflalo,SG,30,NYK,71,57,2371,5.4,12.1,0.44299999999999995,1.4,3.6,0.382,4.0,8.5,0.469,1.7,2.0,0.84,0.3,3.7,4.0,2.2,0.4,0.2,1.2,2.2,13.8
Alexis Ajinça,C,27,NOP,59,17,861,6.3,13.2,0.47600000000000003,0.0,0.0,0.0,6.3,13.1,0.478,2.2,2.6,0.8390000000000001,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7
Cole Aldrich,C,27,LAC,60,5,800,6.0,10.1,0.596,0.0,0.0,0.0,6.0,10.1,0.596,2.7,3.8,0.7140000000000001,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8
LaMarcus Aldridge,PF,30,SAS,74,74,2261,8.5,16.6,0.513,0.0,0.3,0.0,8.5,16.4,0.521,4.1,4.8,0.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2
Cliff Alexander,PF,20,POR,8,0,36,5.0,10.0,0.5,0.0,0.0,0.0,5.0,10.0,0.5,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0
Lavoy Allen,PF,26,IND,79,28,1599,4.3,8.3,0.516,0.0,0.0,0.0,4.3,8.3,0.516,1.0,1.6,0.63,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6
Tony Allen,SG,34,MEM,64,57,1620,4.8,10.4,0.45799999999999996,0.3,0.9,0.35700000000000004,4.4,9.5,0.46799999999999997,2.0,3.1,0.652,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9
Al-Farouq Aminu,SF,25,POR,82,82,2341,4.6,11.1,0.41600000000000004,1.9,5.4,0.361,2.7,5.7,0.46799999999999997,1.8,2.4,0.737,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9
Lou Amundson,PF,33,NYK,29,0,204,3.4,9.4,0.358,0.0,0.0,0.0,3.4,9.4,0.358,2.5,4.8,0.519,4.1,4.6,8.6,2.1,1.1,1.2,2.6,7.8,9.2
Chris Andersen,C,37,TOT,27,15,402,3.4,6.4,0.528,0.4,1.3,0.28600000000000003,3.0,5.2,0.586,2.2,3.2,0.6940000000000001,3.2,5.6,8.8,1.1,1.3,1.2,0.8,2.6,9.4
Alan Anderson,SG,33,WAS,13,0,192,3.9,11.1,0.35600000000000004,2.3,6.9,0.324,1.7,4.1,0.409,2.1,2.8,0.733,0.2,4.9,5.1,2.6,0.7,0.2,0.4,4.7,12.2
James Anderson,SG,26,SAC,51,15,721,3.3,8.9,0.376,1.1,4.3,0.267,2.2,4.6,0.478,1.1,1.4,0.759,0.6,3.6,4.3,2.0,1.0,0.7,2.1,2.7,8.9
Justin Anderson,SF,22,DAL,55,9,647,4.0,9.7,0.406,1.2,4.6,0.265,2.7,5.1,0.5329999999999999,2.4,3.1,0.8,1.0,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6
Kyle Anderson,SF,22,SAS,78,11,1245,4.0,8.5,0.46799999999999997,0.3,1.1,0.324,3.6,7.5,0.488,1.8,2.4,0.747,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1
Ryan Anderson,PF,27,NOP,66,7,2008,7.1,16.7,0.42700000000000005,2.3,6.4,0.366,4.8,10.2,0.466,3.6,4.1,0.873,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2.0,20.2
Giannis Antetokounmpo,PG,21,MIL,80,79,2823,6.5,12.9,0.506,0.4,1.4,0.257,6.2,11.5,0.537,3.8,5.2,0.7240000000000001,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2
Thanasis Antetokounmpo,SF,23,NYK,2,0,6,18.0,24.0,0.75,0.0,6.0,0.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,36.0
Carmelo Anthony,SF,31,NYK,72,72,2530,8.1,18.6,0.434,1.5,4.4,0.33899999999999997,6.6,14.2,0.46299999999999997,4.8,5.7,0.8290000000000001,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4
Joel Anthony,C,33,DET,19,0,96,2.3,3.7,0.6,0.0,0.0,0.0,2.3,3.7,0.6,2.3,3.0,0.75,3.0,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8
Keith Appling,PG,23,ORL,5,0,27,2.7,10.7,0.25,0.0,4.0,0.0,2.7,6.7,0.4,2.7,2.7,1.0,0.0,1.3,1.3,1.3,1.3,0.0,4.0,6.7,8.0
Trevor Ariza,SF,30,HOU,81,81,2859,4.5,10.8,0.41600000000000004,2.3,6.3,0.371,2.2,4.5,0.478,1.6,2.0,0.7829999999999999,0.8,3.8,4.6,2.4,2.0,0.3,1.4,2.2,12.9
Darrell Arthur,PF,27,DEN,70,16,1516,5.2,11.6,0.452,1.1,2.8,0.385,4.2,8.8,0.473,0.9,1.3,0.755,2.0,4.9,7.0,2.3,1.3,1.1,1.6,4.4,12.5
Ömer Aşık,C,29,NOP,68,64,1178,3.2,6.0,0.5329999999999999,0.0,0.0,0.0,3.2,6.0,0.5329999999999999,1.9,3.4,0.545,3.7,9.0,12.7,0.8,0.6,0.7,1.8,3.8,8.2
D.J. Augustin,PG,28,TOT,62,0,1178,4.5,10.7,0.423,2.1,5.1,0.405,2.4,5.6,0.44,3.1,3.9,0.805,0.2,2.7,2.9,6.1,1.2,0.1,2.6,2.6,14.3
Jeff Ayres,C,28,LAC,17,0,107,4.0,7.7,0.522,0.0,0.3,0.0,4.0,7.4,0.545,2.0,2.0,1.0,1.3,6.1,7.4,1.7,0.0,1.0,2.0,6.1,10.1
Luke Babbitt,SF,26,NOP,47,13,845,5.2,12.3,0.42200000000000004,1.9,4.6,0.40399999999999997,3.3,7.7,0.433,1.7,2.1,0.78,1.1,5.2,6.3,2.3,0.5,0.3,1.0,3.8,13.9
Cameron Bairstow,C,25,CHI,18,2,103,4.5,14.0,0.325,0.3,1.7,0.2,4.2,12.2,0.34299999999999997,2.4,2.8,0.875,1.4,8.4,9.8,2.1,0.7,1.0,1.4,6.6,11.9
Leandro Barbosa,SG,33,GSW,68,0,1079,5.7,12.3,0.462,1.3,3.7,0.355,4.4,8.7,0.508,1.7,2.1,0.8390000000000001,0.9,3.0,3.9,2.7,1.5,0.3,1.8,3.6,14.4
J.J. Barea,PG,31,DAL,74,16,1667,6.8,15.4,0.446,2.2,5.6,0.385,4.7,9.7,0.48100000000000004,1.6,2.1,0.7709999999999999,0.6,2.7,3.3,6.5,0.6,0.0,2.4,2.4,17.4
Andrea Bargnani,C,30,BRK,46,0,634,7.2,15.8,0.455,0.2,0.9,0.188,7.0,14.9,0.47100000000000003,2.7,3.2,0.825,1.6,3.9,5.5,1.0,0.2,0.5,1.5,3.5,17.3
Harrison Barnes,SF,23,GSW,66,59,2042,5.2,11.2,0.466,1.4,3.8,0.38299999999999995,3.8,7.4,0.508,1.8,2.4,0.7609999999999999,1.4,4.4,5.7,2.1,0.7,0.2,1.0,2.4,13.6
Matt Barnes,SF,35,MEM,76,45,2190,4.3,11.4,0.381,2.0,6.1,0.322,2.4,5.3,0.449,1.8,2.3,0.804,1.4,5.5,6.9,2.7,1.3,0.9,2.0,3.8,12.5
Will Barton,SG,25,DEN,82,1,2353,6.5,15.0,0.43200000000000005,1.7,5.0,0.345,4.8,10.1,0.47600000000000003,3.3,4.1,0.8059999999999999,0.9,6.4,7.3,3.1,1.1,0.6,2.1,2.2,18.0
Brandon Bass,PF,30,LAL,66,0,1342,4.7,8.5,0.5489999999999999,0.0,0.1,0.0,4.7,8.5,0.552,3.4,4.0,0.845,2.8,4.9,7.6,2.0,0.9,1.5,1.1,3.4,12.7
