Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,26,HOU,48,0,18.8,3.1,7.8,0.397,0,0,0,3.1,7.8,0.397,0.397,2.5,3.4,0.735,0,0,6.3,1.1,0,0,0,2.3,8.7
Kareem Abdul-Jabbar*,C,25,MIL,76,0,42.8,12.9,23.3,0.5539999999999999,0,0,0,12.9,23.3,0.5539999999999999,0.5539999999999999,4.3,6.1,0.713,0,0,16.1,5.0,0,0,0,2.7,30.2
Don Adams,SF,25,TOT,74,0,25.3,3.6,9.2,0.391,0,0,0,3.6,9.2,0.391,0.391,2.0,2.5,0.7879999999999999,0,0,6.0,1.6,0,0,0,3.1,9.1
Rick Adelman,PG,26,POR,76,0,24.0,2.8,6.9,0.408,0,0,0,2.8,6.9,0.408,0.408,1.0,1.3,0.716,0,0,2.1,3.9,0,0,0,2.0,6.6
Lucius Allen,PG,25,MIL,80,0,33.7,6.8,14.1,0.484,0,0,0,6.8,14.1,0.484,0.484,1.8,2.5,0.715,0,0,3.5,5.3,0,0,0,2.4,15.5
Tiny Archibald*,PG,24,KCO,80,0,46.0,12.9,26.3,0.488,0,0,0,12.9,26.3,0.488,0.488,8.3,9.8,0.847,0,0,2.8,11.4,0,0,0,2.6,34.0
Dennis Awtrey,C,24,TOT,82,0,20.6,1.8,3.7,0.479,0,0,0,1.8,3.7,0.479,0.479,1.0,1.9,0.562,0,0,5.5,2.7,0,0,0,2.9,4.6
Dick Barnett,SG,36,NYK,51,0,10.1,1.7,4.4,0.389,0,0,0,1.7,4.4,0.389,0.389,0.3,0.6,0.5329999999999999,0,0,0.8,1.0,0,0,0,1.0,3.8
Jim Barnett,PG,28,GSW,82,0,27.0,4.8,10.3,0.467,0,0,0,4.8,10.3,0.467,0.467,2.2,2.6,0.843,0,0,3.1,3.7,0,0,0,1.8,11.8
Rick Barry*,SF,28,GSW,82,0,37.5,9.0,19.9,0.452,0,0,0,9.0,19.9,0.452,0.452,4.4,4.8,0.902,0,0,8.9,4.9,0,0,0,3.0,22.3
Butch Beard,PG,25,SEA,73,0,19.2,2.6,6.0,0.439,0,0,0,2.6,6.0,0.439,0.439,1.4,1.9,0.7140000000000001,0,0,2.4,3.4,0,0,0,1.9,6.6
Walt Bellamy*,C,33,ATL,74,0,37.9,6.1,12.2,0.505,0,0,0,6.1,12.2,0.505,0.505,3.8,7.1,0.5379999999999999,0,0,13.0,2.4,0,0,0,3.3,16.1
Henry Bibby,PG,23,NYK,55,0,8.6,1.4,3.7,0.38,0,0,0,1.4,3.7,0.38,0.38,1.3,1.6,0.8490000000000001,0,0,1.5,1.2,0,0,0,1.2,4.2
Dave Bing*,PG,29,DET,82,0,41.0,8.4,18.8,0.44799999999999995,0,0,0,8.4,18.8,0.44799999999999995,0.44799999999999995,5.6,6.8,0.8140000000000001,0,0,3.6,7.8,0,0,0,2.8,22.4
John Block,PF,28,TOT,73,0,28.0,5.4,12.1,0.441,0,0,0,5.4,12.1,0.441,0.441,4.1,5.2,0.794,0,0,7.7,1.5,0,0,0,3.3,14.8
Tom Boerwinkle,C,27,CHI,8,0,22.0,1.1,3.0,0.375,0,0,0,1.1,3.0,0.375,0.375,1.5,2.5,0.6,0,0,6.8,5.0,0,0,0,2.8,3.8
Freddie Boyd,PG,22,PHI,82,0,28.7,4.4,11.3,0.392,0,0,0,4.4,11.3,0.392,0.392,1.7,2.4,0.68,0,0,2.6,3.7,0,0,0,2.2,10.5
Steve Bracey,PG,22,ATL,70,0,15.0,2.7,5.6,0.486,0,0,0,2.7,5.6,0.486,0.486,1.0,1.6,0.664,0,0,1.5,1.8,0,0,0,1.8,6.5
Bill Bradley*,SF,29,NYK,82,0,36.6,7.0,15.3,0.45899999999999996,0,0,0,7.0,15.3,0.45899999999999996,0.45899999999999996,2.1,2.4,0.871,0,0,3.7,4.5,0,0,0,3.3,16.1
Bill Bridges,PF,33,TOT,82,0,35.0,4.1,8.8,0.461,0,0,0,4.1,8.8,0.461,0.461,2.2,3.1,0.7020000000000001,0,0,11.0,2.7,0,0,0,3.6,10.3
John Brisker,SF,25,SEA,70,0,23.3,5.0,11.6,0.435,0,0,0,5.0,11.6,0.435,0.435,2.8,3.4,0.8220000000000001,0,0,4.6,2.1,0,0,0,2.4,12.8
Fred Brown,SG,24,SEA,79,0,29.4,6.0,13.1,0.455,0,0,0,6.0,13.1,0.455,0.455,1.5,1.9,0.818,0,0,4.0,5.5,0,0,0,2.9,13.5
Roger Brown,C,22,LAL,1,0,5.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.33299999999999996,0,0,0.0,0.0,0,0,0,1.0,1.0
