Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,30,BUF,22,0,8.9,1.1,3.4,0.33799999999999997,0,0,0,1.1,3.4,0.33799999999999997,0.33799999999999997,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,0,1.0,3.8
Kareem Abdul-Jabbar*,C,29,LAL,82,0,36.8,10.8,18.7,0.579,0,0,0,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,0,3.2,26.2
Tom Abernethy,SF,22,LAL,70,0,19.7,2.4,5.0,0.484,0,0,0,2.4,5.0,0.484,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.7,0.1,0,1.7,6.3
Alvan Adams,C,22,PHO,72,0,31.6,7.3,15.3,0.474,0,0,0,7.3,15.3,0.474,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,0,3.6,18.0
Don Adams,SF,29,BUF,77,0,22.2,2.8,6.8,0.41100000000000003,0,0,0,2.8,6.8,0.41100000000000003,0.41100000000000003,1.7,2.2,0.746,1.7,3.1,4.8,1.9,1.0,0.2,0,2.6,7.3
Lucius Allen,PG,29,LAL,78,0,31.8,6.1,13.3,0.456,0,0,0,6.1,13.3,0.456,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,0,2.3,14.6
Jerome Anderson,SG,23,IND,27,0,6.1,1.0,2.2,0.441,0,0,0,1.0,2.2,0.441,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,0,1.0,2.4
Tiny Archibald*,PG,28,NYN,34,0,37.6,7.4,16.5,0.446,0,0,0,7.4,16.5,0.446,0.446,5.8,7.4,0.785,0.6,1.7,2.4,7.5,1.7,0.3,0,2.3,20.5
Jim Ard,C,28,BOS,63,0,15.4,1.5,4.0,0.37799999999999995,0,0,0,1.5,4.0,0.37799999999999995,0.37799999999999995,0.8,1.2,0.645,1.2,3.5,4.7,0.8,0.3,0.4,0,2.0,3.8
Bird Averitt,SG,24,BUF,75,0,15.1,3.1,8.3,0.37799999999999995,0,0,0,3.1,8.3,0.37799999999999995,0.37799999999999995,1.6,2.3,0.716,0.3,0.8,1.0,1.8,0.4,0.1,0,1.7,7.9
